id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/14/value
2802901227,1,34,16,0,0,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-04-19T11:09:55.826Z,2025-04-19T12:17:19Z,,,,,5661889263,30,"7oxxp38dxp40lby1kwg4xpn56, a9234jafv17dcvbu54expih91, arxu3yjspsjmmobkj92c79ze2, d39zrjj1sao1lkkzief35sctl, 2fw3pz0v22kdbiognam8zsvoq, 53kd57a8pwjno3l6cou3nexn9, c1f7vp2u7fndbs1q67yhze1hw, dlxtr9p8d7k733qhpq9qyydey, 50pntfz4g78co2q68kno332z9, bwn0e8pjrikjcpold20o2os2c, 9618hk1lq7i6see347k7plkyy, 5fvzbq3mstt7eatkjpodbvpm2, 91c1ud1vk02de6uexycm07ml0, 8g3a6qtlb0xy12ntska7n8phw, 5hkcvpt8l2qjwovhon9wuo0es, 9wpb7yiz7zdsb7bj70ornyfis, 3ajcjogpfwl26hddeqetp75sk, d2tr2mopsk225739f7xlc12ei, 98u2encce9933qd4y2kukej85, d34pugygez0vtpx1t8p5bnq0a",5661889271,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5661889269,130,4,5661889273,194,53kd57a8pwjno3l6cou3nexn9,5661889265,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5661889267,59,"1, 5, 2, 10, 22, 3, 28, 8, 9, 23, 20, 11, 14, 18, 26, 25, 12, 4, 16, 24",5661889277,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5661889275,197,18883,,,,,,,,,,,,,,,,,,,,,,,,,,
2802901767,1,34,16,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-04-19T11:10:56.955Z,2025-04-19T12:04:56Z,,,,,5661892129,197,18882,5661892117,30,"6i2n7bcfphn89v0eccet2fop, di62c8bxsf1t8jrhzu47qb7u2, eaa9sktij53071abummj4pkwk, 1wg15zg0fffyoag6owdh35vkk, 1zud0qdtf6c6wzkgqhz6b94a1, bqc4ov50nt2cguo0rrxw2a02x, 9ka422rjynvrx4kofh5q8ivop, 5ynhzqvpks5u5bjgno6snhyzu, 80mvshlrrlu5vt41gkruwn8fe, 6zw6j1zpm7vs8zkx5z6enqpgq, ec7y1s97xpoab87z786zt0r56, 84wint64ygxx3pi5fz3mr12j8, 9myvqb7eriz90u02vjkizjzmc, 9julhxqc94tmamhicz9gfysyc, 1zdrpi7b401hv9w9mtykzyor9, 45kijyqwuvgoc6hx51yueyeol, 63x3zhf3u5z3d3ylx0xjvwd90, 1xquqxm7zxe002v8dc2z46sb9, 72d57i3mfqxtbsmm196kdv0fd, 7zztpnbw4cfyw6q231nqy8nv9",5661892123,130,18,5661892121,59,"77, 3, 7, 5, 19, 37, 34, 21, 20, 9, 10, 14, 15, 27, 30, 1, 2, 4, 6, 23",5661892119,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5661892125,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5661892131,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5661892127,194,5ynhzqvpks5u5bjgno6snhyzu,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930225,2,32,1,0,0,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-04-19T12:00:39.663Z,2025-04-19T12:00:39Z,,,,,5662040305,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930227,2,32,1,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-04-19T12:00:39.663Z,2025-04-19T12:00:42Z,,,,,5662040327,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930239,3,1,1,0,0,8eab5wbcnttsiosd1o8c71gmk,1,50.0,49.7,2025-04-19T12:00:39.664Z,2025-04-19T12:07:08Z,d39zrjj1sao1lkkzief35sctl,F. Krebs,,,5662040369,140,32.5,5662040373,212,18.6,5662040371,141,45.4,5662040367,56,Back,5662040377,279,S,5662040375,213,3.30,5662060917,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930251,4,1,1,0,2,8eab5wbcnttsiosd1o8c71gmk,1,35.9,38.2,2025-04-19T12:00:42.240Z,2025-04-19T12:00:44Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5662040449,141,82.4,5662040453,213,0.66,5662040443,157,,5662040451,212,49.3,5662040447,140,73.1,5662040445,56,Left,5662040455,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930255,5,1,1,0,4,8eab5wbcnttsiosd1o8c71gmk,0,73.2,81.8,2025-04-19T12:00:44.240Z,2025-04-19T12:00:45Z,50pntfz4g78co2q68kno332z9,J. Tuominen,,,5662040477,213,0.89,5662040475,212,16.8,5662040465,3,,5662040467,168,,5662040469,56,Left,5662040473,141,100.0,5662040471,140,83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930279,3,5,1,0,5,duspptyvnr5kpx2iko5gerhnz,1,13.8,-1.2,2025-04-19T12:00:45.052Z,2025-04-19T12:55:15Z,bqc4ov50nt2cguo0rrxw2a02x,T. Reid,,,5662040565,347,,5662040563,56,Back,5662040605,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930259,6,5,1,0,5,8eab5wbcnttsiosd1o8c71gmk,0,86.2,101.2,2025-04-19T12:00:45.052Z,2025-04-19T12:00:50Z,50pntfz4g78co2q68kno332z9,J. Tuominen,,,5662040493,347,,5662040491,56,Left,5662040617,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930319,4,1,1,0,9,duspptyvnr5kpx2iko5gerhnz,0,9.1,0.0,2025-04-19T12:00:49.514Z,2025-04-19T12:00:53Z,bqc4ov50nt2cguo0rrxw2a02x,T. Reid,,,5662040789,1,,5662040777,107,,5662040783,141,10.0,5662040781,140,28.9,5662040803,189,,5662040779,56,Back,5662040787,213,0.36,5662040785,212,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930359,8,1,1,0,14,8eab5wbcnttsiosd1o8c71gmk,1,72.9,61.5,2025-04-19T12:00:54.338Z,2025-04-19T12:00:58Z,arxu3yjspsjmmobkj92c79ze2,J. Niska,,,5662041015,213,4.64,5662041007,56,Center,5662041009,140,71.6,5662041013,212,19.4,5662041011,141,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930371,9,1,1,0,18,8eab5wbcnttsiosd1o8c71gmk,0,72.5,33.3,2025-04-19T12:00:58.336Z,2025-04-19T12:07:43Z,a9234jafv17dcvbu54expih91,A. Granlund,,,5662041053,56,Center,5662041057,141,65.7,5662041051,155,,5662041055,140,88.6,5662041061,212,27.8,5662041063,213,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930385,5,12,1,0,20,duspptyvnr5kpx2iko5gerhnz,1,13.3,27.4,2025-04-19T12:01:00.057Z,2025-04-19T12:01:01Z,di62c8bxsf1t8jrhzu47qb7u2,J. Lakkamäki,,,5662041109,212,18.6,5662041113,15,,5662041103,56,Back,5662041111,213,0.26,5662041105,140,30.4,5662041107,141,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930407,10,1,1,0,22,8eab5wbcnttsiosd1o8c71gmk,0,70.0,73.5,2025-04-19T12:01:02.320Z,2025-04-19T12:01:03Z,53kd57a8pwjno3l6cou3nexn9,J. Hämäläinen,,,5662041203,140,80.1,5662041201,56,Left,5662041207,212,11.7,5662041205,141,80.8,5662041209,213,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930429,7,3,1,0,25,duspptyvnr5kpx2iko5gerhnz,0,24.4,15.5,2025-04-19T12:01:05.339Z,2025-04-19T12:54:56Z,di62c8bxsf1t8jrhzu47qb7u2,J. Lakkamäki,,,5662041303,285,,5662041301,56,Back,5662041443,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930447,11,7,1,0,25,8eab5wbcnttsiosd1o8c71gmk,1,75.6,84.5,2025-04-19T12:01:05.340Z,2025-04-19T12:54:55Z,9618hk1lq7i6see347k7plkyy,M. Sarr,,,5662041425,286,,5662041423,56,Left,5662041427,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
