id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/10/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2822532955,1,34,16,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-06-14T13:13:29.249Z,2025-06-14T14:03:44Z,,,,,5770520845,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5770520849,197,20305,5770520839,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5770520837,30,"91fm2241o9p5nxo84p43tedhx, cn6gncw8nbyds83xx6cxbzrpw, bse78hbpbf32wr6nboc5zds0k, 4votdnyh0srvboatz6a20d5p0, 3ajk1fh1r7rxjmsljdm5zs639, 7r2ifipuieqiar5n00o2j5uj9, an77jbrily6wipsqhwliubhsl, 4accnmk8l7khcvpzibgdxjl04, 9rle4eqj5q7d4y7hgu570vgfd, 80whrqt5ch885cdrzpzlez85w, j4mqmt0lccgzq4nf87ljkoyy, emm3t5nn22co95xzp49nie9lg, 3tpjeq8mn2sy9v6a8hcesp9wq, 18e98agfd0xvy161ax3ru08pg, c9987xq26uc7bq68l76clyxud, 2iff45qvldope3itiwthnvgx6, 1s5o68av3fr18by5wv21hx3pw, cu75ndbeja7m9o2g789b0h34k, 5lx97p0c2ja9g4vjofjr2o5pl, 40t0vgttcswr26hzn9ckdaxp0",5770520847,194,9rle4eqj5q7d4y7hgu570vgfd,5770520843,130,4,5770520851,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5770520841,59,"1, 29, 4, 37, 5, 38, 19, 26, 14, 18, 9, 11, 22, 6, 8, 17, 25, 99, 3, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822533317,1,34,16,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-06-14T13:14:28.554Z,2025-06-14T14:51:39Z,,,,,5770522649,130,8,5770522655,197,16086,5770522645,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5770522653,194,5j2hy92q8f17nppznxrp8kxxx,5770522643,30,"ebqj8v33xv3otev2pycc6xomh, e0p7anuqsx00gybhm4wnkoesp, 9fpgvc2avj64hiii3wd6w74k, 4aoegh7yokqb5ix45ruvqjalm, 95h8ci71qugckn045d3rumlm1, 18p445rm69t2xc13vggv5oueh, eswp4t4r8ktirsnkodz26gyui, 7198rz1vtgazkeytaltke2noq, 8jb026oewf17pg61vdstcgj4l, 5j2hy92q8f17nppznxrp8kxxx, 4cooeu9zahategmvpj3zdr6xh, 7jv2mo9fes84761ebn6437axg, 59ktumjupjwefkwh3sciw4qac, 7mn880d3dieg0qb49tlzx1mfp, 9e99gi213xgj9ekx62q7c7w2c, bas4d4drvf8kefls9tszu0oic, bl6vj48jfq2s09w7sezntwgt0, 7pb4hvyrks628c3cbm1m7105w, 14qiwbaa44dy3quxn0by90wlw, 2e3yktcpxvr1dxy2z1z1dolxw",5770522647,59,"25, 2, 13, 15, 3, 6, 99, 8, 20, 4, 7, 19, 97, 10, 14, 21, 22, 30, 18, 24",5770522657,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5770522651,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822540617,2,32,1,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-06-14T14:00:14.476Z,2025-06-14T14:00:15Z,,,,,5770562083,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822540615,2,32,1,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-06-14T14:00:14.476Z,2025-06-14T14:00:14Z,,,,,5770562081,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822540619,3,1,1,0,0,303582z192rnbr2x28o2t7u38,1,50.0,50.0,2025-06-14T14:00:14.477Z,2025-06-14T14:00:17Z,8jb026oewf17pg61vdstcgj4l,T. Pukki,,,5770562089,141,56.1,5770562091,212,13.5,5770562085,56,Back,5770562095,279,S,5770562087,140,37.8,5770562093,213,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822540621,4,1,1,0,2,303582z192rnbr2x28o2t7u38,1,39.4,60.8,2025-06-14T14:00:17.255Z,2025-06-14T14:00:19Z,4aoegh7yokqb5ix45ruvqjalm,J. Kallinen,,,5770562105,212,12.2,5770562101,140,27.9,5770562099,56,Back,5770562103,141,63.3,5770562107,213,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822540629,5,1,1,0,4,303582z192rnbr2x28o2t7u38,1,27.1,60.8,2025-06-14T14:00:19.326Z,2025-06-14T14:00:24Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5770562171,141,24.4,5770562167,56,Back,5770562175,213,4.62,5770562173,212,24.9,5770562169,140,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822540635,6,1,1,0,10,303582z192rnbr2x28o2t7u38,1,29.2,22.1,2025-06-14T14:00:24.482Z,2025-06-14T14:00:27Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5770562187,141,47.8,5770562183,56,Back,5770562191,213,1.75,5770562185,140,26.1,5770562189,212,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822540647,7,1,1,0,12,303582z192rnbr2x28o2t7u38,1,28.0,46.7,2025-06-14T14:00:27.302Z,2025-06-14T14:00:33Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5770562233,141,20.1,5770562229,56,Back,5770562237,213,4.97,5770562235,212,18.7,5770562231,140,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822540649,8,1,1,0,18,303582z192rnbr2x28o2t7u38,1,50.5,13.7,2025-06-14T14:00:32.950Z,2025-06-14T14:00:33Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5770562243,140,59.6,5770562247,212,11.6,5770562245,141,23.3,5770562249,213,0.60,5770562241,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
