id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2815667573,1,34,16,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-05-17T13:10:46.643Z,2025-05-17T13:58:24Z,,,,5732312711,197,20305,5732312713,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5732312705,130,8,5732312703,59,"1, 29, 18, 17, 33, 38, 10, 24, 37, 14, 22, 6, 8, 19, 26, 80, 99, 3, 4, 5",5732312699,30,"91fm2241o9p5nxo84p43tedhx, cn6gncw8nbyds83xx6cxbzrpw, 80whrqt5ch885cdrzpzlez85w, 2iff45qvldope3itiwthnvgx6, 9p03mfw1a51fwu8fklock97je, 7r2ifipuieqiar5n00o2j5uj9, 61ib1kknf11ab4v4f1magyu39, a1dhi0sqw2yeffewd34n6z7fu, 4votdnyh0srvboatz6a20d5p0, 9rle4eqj5q7d4y7hgu570vgfd, 3tpjeq8mn2sy9v6a8hcesp9wq, 18e98agfd0xvy161ax3ru08pg, c9987xq26uc7bq68l76clyxud, an77jbrily6wipsqhwliubhsl, 4accnmk8l7khcvpzibgdxjl04, anfjghysnr4o03nqnxs98e0ic, cu75ndbeja7m9o2g789b0h34k, 5lx97p0c2ja9g4vjofjr2o5pl, bse78hbpbf32wr6nboc5zds0k, 3ajk1fh1r7rxjmsljdm5zs639",5732312707,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5732312709,194,9rle4eqj5q7d4y7hgu570vgfd,5732312701,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815667737,1,34,16,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-05-17T13:10:57.178Z,2025-05-17T14:04:36Z,,,,5732313577,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",5732313579,59,"80, 30, 35, 20, 4, 14, 10, 8, 18, 6, 16, 7, 9, 21, 43, 1, 28",5732313585,194,2lsv3xzudv78cddzsvl76zgx6,5732313587,197,28964,5732313589,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5732313581,130,5,5732313575,30,"eklpacb4xe0yb13zxi642gys4, b7594v117himyndjrpkval8us, 64pptq46unjnsxn6wc3avhtec, 36gi7l0qvkbru5w6v2nym00ve, 2lsv3xzudv78cddzsvl76zgx6, eyxig53mzy4qlf208vpchs7is, 1iyf79yql5sm8m6i8nwxntsve, u8remrfu8ug41xu71brhukmh, f5f9sfvtizyppg8kqtmp9y3ca, 10qxrh1rh7uyhtm3scj8glqs, 4zizd9804wk2k5v0l7ph0u0kq, 46ums24te70jl5qclztg8xhwp, cnf3yzk0zcrlrfejwd2iebbpw, 1nysj6xb60fhhjhtle8pakbo4, 8v9ms04dm6d99xb9lt5qdk74k, aoa60lf22i1v66vmyf7sfiay, 8tzmahdp1kkbot7nulpirqhh",5732313583,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709985,2,32,1,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-05-17T14:01:23.041Z,2025-05-17T14:01:23Z,,,,5732516113,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709995,2,32,1,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-05-17T14:01:23.041Z,2025-05-17T14:01:25Z,,,,5732516149,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710053,3,1,1,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,49.9,50.0,2025-05-17T14:01:23.042Z,2025-05-17T14:01:28Z,9rle4eqj5q7d4y7hgu570vgfd,N. Jokelainen,,5732516361,141,54.3,5732516369,279,S,5732516363,212,14.7,5732516365,213,2.94,5732516359,140,36.2,5732516357,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710061,4,1,1,0,5,cy6zs39z79dcfbr4xzkp38z7q,0,35.3,49.1,2025-05-17T14:01:28.212Z,2025-05-17T14:01:29Z,2iff45qvldope3itiwthnvgx6,O. Tiihonen,,5732516401,140,74.4,5732516405,212,46.3,5732516407,213,0.48,5732516409,1,,5732516403,141,80.5,5732516397,157,,5732516399,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710089,3,1,1,0,6,3ptum5fjcgw51mqui0gu6uuf4,1,26.7,12.5,2025-05-17T14:01:29.059Z,2025-05-17T14:01:32Z,b7594v117himyndjrpkval8us,E. Okereke,,5732516511,212,15.6,5732516505,56,Back,5732516513,213,5.89,5732516503,3,,5732516507,140,40.4,5732516509,141,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710141,5,1,1,0,11,3ptum5fjcgw51mqui0gu6uuf4,0,41.1,3.8,2025-05-17T14:01:34.075Z,2025-05-17T14:01:35Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,5732516713,213,0.49,5732516705,56,Center,5732516711,212,29.4,5732516707,140,65.7,5732516709,141,24.3,5732516703,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710171,5,1,1,0,12,cy6zs39z79dcfbr4xzkp38z7q,0,35.9,70.9,2025-05-17T14:01:35.898Z,2025-05-17T14:01:38Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,5732516847,140,47.1,5732516853,213,0.79,5732516849,141,88.3,5732516851,212,16.7,5732516843,3,,5732516845,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710181,6,61,1,0,15,3ptum5fjcgw51mqui0gu6uuf4,0,51.5,8.6,2025-05-17T14:01:38.666Z,2025-05-17T14:01:38Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,5732516891,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
