id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2806079541,1,34,16,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-04-26T11:09:49.122Z,2025-04-26T13:31:39Z,,,,,5679355489,130,4,5679355483,30,"91fm2241o9p5nxo84p43tedhx, 5lx97p0c2ja9g4vjofjr2o5pl, 80whrqt5ch885cdrzpzlez85w, 4votdnyh0srvboatz6a20d5p0, 9p03mfw1a51fwu8fklock97je, 3ajk1fh1r7rxjmsljdm5zs639, a1dhi0sqw2yeffewd34n6z7fu, 2iff45qvldope3itiwthnvgx6, j4mqmt0lccgzq4nf87ljkoyy, 9rle4eqj5q7d4y7hgu570vgfd, 3tpjeq8mn2sy9v6a8hcesp9wq, 7wd41kdu78udzrxi9feh2drhm, 18e98agfd0xvy161ax3ru08pg, c9987xq26uc7bq68l76clyxud, 61ib1kknf11ab4v4f1magyu39, an77jbrily6wipsqhwliubhsl, anfjghysnr4o03nqnxs98e0ic, cu75ndbeja7m9o2g789b0h34k, 33va022bhya45v496wz8usn6y, 7r2ifipuieqiar5n00o2j5uj9",5679355487,59,"1, 3, 18, 37, 33, 5, 24, 17, 9, 14, 22, 7, 6, 8, 10, 19, 80, 99, 16, 38",5679355497,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5679355493,194,9rle4eqj5q7d4y7hgu570vgfd,5679355485,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5679355495,197,20305,5679355491,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806079903,1,34,16,0,0,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-04-26T11:10:32.533Z,2025-04-26T12:10:52Z,,,,,5679357239,194,2fw3pz0v22kdbiognam8zsvoq,5679357233,59,"1, 24, 2, 10, 22, 16, 28, 8, 9, 23, 20, 11, 14, 26, 17, 25, 12, 4, 5",5679357237,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5679357243,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5679357231,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5679357229,30,"7oxxp38dxp40lby1kwg4xpn56, d34pugygez0vtpx1t8p5bnq0a, arxu3yjspsjmmobkj92c79ze2, d39zrjj1sao1lkkzief35sctl, 2fw3pz0v22kdbiognam8zsvoq, 98u2encce9933qd4y2kukej85, c1f7vp2u7fndbs1q67yhze1hw, dlxtr9p8d7k733qhpq9qyydey, 50pntfz4g78co2q68kno332z9, bwn0e8pjrikjcpold20o2os2c, 9618hk1lq7i6see347k7plkyy, 5fvzbq3mstt7eatkjpodbvpm2, 91c1ud1vk02de6uexycm07ml0, 5hkcvpt8l2qjwovhon9wuo0es, c90jak72lerrxc3kpo73cupsk, 9wpb7yiz7zdsb7bj70ornyfis, 3ajcjogpfwl26hddeqetp75sk, d2tr2mopsk225739f7xlc12ei, a9234jafv17dcvbu54expih91",5679357241,197,18883,5679357235,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806120961,2,32,1,0,0,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-04-26T12:06:58.658Z,2025-04-26T12:07:00Z,,,,,5679570615,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806120949,3,32,1,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-04-26T12:06:58.658Z,2025-04-26T12:06:58Z,,,,,5679570549,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121015,3,1,1,0,0,8eab5wbcnttsiosd1o8c71gmk,1,50.0,50.0,2025-04-26T12:06:58.659Z,2025-04-26T12:08:04Z,d39zrjj1sao1lkkzief35sctl,F. Krebs,,,5679570913,213,2.94,5679570905,56,Back,5679570915,279,S,5679570907,140,34.5,5679570909,141,54.9,5679570911,212,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121053,4,1,1,0,3,8eab5wbcnttsiosd1o8c71gmk,1,33.8,55.2,2025-04-26T12:07:01.967Z,2025-04-26T12:07:04Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5679571159,157,,5679571171,1,,5679571163,140,71.1,5679571169,213,0.51,5679571167,212,44.9,5679571165,141,87.5,5679571161,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121129,6,44,1,0,6,8eab5wbcnttsiosd1o8c71gmk,1,75.0,87.2,2025-04-26T12:07:04.812Z,2025-04-26T12:51:55Z,9618hk1lq7i6see347k7plkyy,M. Sarr,,,5679571491,286,,5679571489,56,Left,5679571531,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121061,4,44,1,0,6,cy6zs39z79dcfbr4xzkp38z7q,0,25.0,12.8,2025-04-26T12:07:04.813Z,2025-04-26T12:51:55Z,5lx97p0c2ja9g4vjofjr2o5pl,J. Lehtonen,,,5679571195,285,,5679571547,233,6,5679571193,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121073,5,1,1,0,6,8eab5wbcnttsiosd1o8c71gmk,0,71.1,87.5,2025-04-26T12:07:05.541Z,2025-04-26T12:08:33Z,9618hk1lq7i6see347k7plkyy,M. Sarr,,,5679571235,140,75.6,5679571241,213,5.28,5679571233,56,Center,5679571239,212,8.7,5679571237,141,76.7,5679571231,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121107,5,1,1,0,7,cy6zs39z79dcfbr4xzkp38z7q,0,16.5,14.7,2025-04-26T12:07:06.413Z,2025-04-26T12:10:35Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,,5679571383,56,Back,5679571387,141,12.2,5679571389,212,17.7,5679571393,1,,5679571391,213,6.19,5679571381,157,,5679571385,140,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
