id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value
2812391413,1,34,16,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-05-10T11:01:41.484Z,2025-05-10T11:56:42Z,,,,5714220963,197,9120,5714220959,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5714220953,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5714220957,130,3,5714220965,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5714220955,59,"1, 23, 22, 10, 15, 16, 7, 34, 19, 20, 13, 12, 6, 8, 11, 17, 18, 21, 25, 32",5714220951,30,"b6uchs6rc43tlb0qj2tw3xzh1, 3ani6i6zvyyz715jalqfbcvoq, beq1o3wl29kdr4qtahdij1m21, doxrlp6910n9l5b5zl8ee73ai, 289f8ysumkm0ilmx2z472cei2, dpegzp0t66wtgyc69v4rj6cyc, c11fpnugs2ihyqk07ohha54np, 7z2gs2b8ccchwf0h92hwx8d90, 27tqgrgwe7bvct5ffmr0sqdey, 9c2ajg42wya1u4lh1eeye2jo4, aa40go6nrv6mpdny6zdc1jeg9, 1p8qp744v6uor8li9wfcwi0dm, 5skki9qedwo05d1scee0obu1h, 59d5otjevb4zussjofufdg4ph, 5t58neiqhud2d4h64owu8fwiy, 2vvnbkdgeje34aivohozzvm5l, 6bci7uqkdfkqzfyp3kq9lh3pw, 2yyodldan4gscxb0jjrpkygyy, 5irotktf4k5ynobf0zugdom0a, 6r9gyu0ks64c9z4kfsfjj105w",5714220961,194,b6uchs6rc43tlb0qj2tw3xzh1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812393337,1,34,16,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-05-10T11:06:30.406Z,2025-05-10T12:01:53Z,,,,5714229895,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5714229881,30,"dl6lfojhwzis2gboqxonxu904, 8bk1u1zlolcgphg6dwdezdre, 2c4lqno6q9hrin5ywos5rt9uc, apryim5dle6o29qp6hpio06sq, 8igk37zt3ixjxdtr1t9kwfnit, c5oixwvc8sk4fxliorsk7a311, ro21tqqaeslyebto6ukon5zo, c538ewmcaz4z73gcftzedbob9, btr893a8ljoe8av97ji8kwr11, 5wtugxjwq7fvbeqcak5j5l5nt, 23yj26f5kapxyx90glndxs3kk, b9s6ecsxs323kktg3cs3pisk4, 4lgvhmh5otjikwqiwbc2yu8kp, 1ds8j4s1h4fydkkhl9qe9l5yi, 1nww1pe0ouxnuwt8q9zy4xrmc, e7mg2hccr1pqnai6u291nlx5g, 7dvn6m2z49c2n1ev0o9rvk93o, 41fgl6geucap62xgimc78e238, byudescfxvi1kxlpncbv0mymt, 9bd4vf4tdzfipobqzp2r7gbft",5714229885,59,"33, 14, 2, 8, 17, 4, 5, 37, 9, 23, 19, 27, 11, 15, 18, 29, 77, 16, 21, 26",5714229891,194,c5oixwvc8sk4fxliorsk7a311,5714229893,197,18887,5714229887,130,4,5714229889,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5714229883,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422133,2,32,1,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-05-10T12:00:09.836Z,2025-05-10T12:00:12Z,,,,5714374759,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422125,2,32,1,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-05-10T12:00:09.836Z,2025-05-10T12:00:10Z,,,,5714374705,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422159,3,1,1,0,0,1c7dv8ays675v9kp6a04sd8pq,1,50.0,50.0,2025-05-10T12:00:09.837Z,2025-05-10T12:00:14Z,27tqgrgwe7bvct5ffmr0sqdey,D. Krasniqi,,5714374871,140,24.7,5714374869,56,Back,5714374877,213,3.17,5714374879,279,S,5714374875,212,26.6,5714374873,141,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422175,4,1,1,0,3,1c7dv8ays675v9kp6a04sd8pq,0,27.4,45.8,2025-05-10T12:00:13.653Z,2025-05-10T12:00:17Z,b6uchs6rc43tlb0qj2tw3xzh1,J. Kreidl,,5714375025,1,,5714375021,212,49.4,5714375007,157,,5714375019,141,34.8,5714375023,213,6.13,5714375011,56,Center,5714375015,140,73.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422207,3,12,1,0,9,8sy0cxovuxo76tuoas3uo55xj,1,39.0,62.3,2025-05-10T12:00:19.478Z,2025-05-10T12:00:20Z,c5oixwvc8sk4fxliorsk7a311,J. Toivio,,5714375205,15,,5714375167,141,63.0,5714375169,212,2.3,5714375171,213,0.21,5714375165,140,41.1,5714375163,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422255,4,1,1,0,12,8sy0cxovuxo76tuoas3uo55xj,1,39.0,56.1,2025-05-10T12:00:22.085Z,2025-05-10T12:06:54Z,apryim5dle6o29qp6hpio06sq,F. Ellé,,5714375419,3,,5714375431,140,39.4,5714375435,212,0.6,5714375425,168,,5714375437,213,5.44,5714375433,141,55.4,5714375429,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422267,5,1,1,0,14,8sy0cxovuxo76tuoas3uo55xj,1,37.5,42.1,2025-05-10T12:00:24.021Z,2025-05-10T12:08:07Z,5wtugxjwq7fvbeqcak5j5l5nt,M. Larsen,,5714375491,140,45.2,5714410007,155,,5714375495,212,19.7,5714375497,213,1.15,5714375489,56,Back,5714375493,141,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422311,10,1,1,0,15,8sy0cxovuxo76tuoas3uo55xj,0,47.4,65.8,2025-05-10T12:00:24.997Z,2025-05-10T12:08:29Z,23yj26f5kapxyx90glndxs3kk,M. Glasson,,5714411729,212,8.7,5714411869,155,,5714411723,56,Center,5714411727,141,63.6,5714411725,140,55.6,5714411731,213,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
