id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2802982129,1,34,16,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-04-19T13:09:51.190Z,2025-04-19T14:14:09Z,,,,,5662314355,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5662314353,197,23634,5662314343,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5662314345,59,"1, 6, 3, 8, 4, 28, 10, 18, 21, 70, 7, 9, 5, 19, 11, 20, 33, 80",5662314347,130,4,5662314351,194,7glr1eur910fj5b5fg743job9,5662314349,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5662314341,30,"dcv3bj7tkpb8of9xh3br2510q, ag78l8kpc7icq4payr6mgyej8, 2qks3nbpd8o6igkqjl9e4po4q, bmbdwons7wudqebn3o3flm19l, 3zfwycbtlksz95tsqcog03yp6, czynssza36ggpaezb0i14si22, ayl3txfejfa46xvwnzzd76vze, f2qohaex1g5tvz10leo2ia6s, 1coz8r44qcr2aau1u09888i6s, 93961wszqaocy96z45j4a232s, 7glr1eur910fj5b5fg743job9, dytql3b2co1cst72z5qf879pl, 17p2jqe16w5j9qh5f8yr80g7o, ciursygt8i2deeszjdebb28yx, 9tz8pzof2v3ktjwsyt3gl18gk, 2tnl1pjxxg2n4564fz9hcdsoa, 6l2pjfuvjdnb6vkv4b0eb8mc4, dssxj3ymyofvhfjgmpg1ftuga",,,,,,,,,,,,,,,,,,,,,,,,,,,
2802985533,1,34,16,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-04-19T13:13:48.724Z,2025-04-19T13:57:30Z,,,,,5662333791,30,"cikb5rw9wtq5th334wj89dhey, 64pptq46unjnsxn6wc3avhtec, 3xtbzw2dg5my9jn99xqh5gdpm, u8remrfu8ug41xu71brhukmh, b7594v117himyndjrpkval8us, 2lsv3xzudv78cddzsvl76zgx6, 36gi7l0qvkbru5w6v2nym00ve, 10qxrh1rh7uyhtm3scj8glqs, 1nysj6xb60fhhjhtle8pakbo4, 1iyf79yql5sm8m6i8nwxntsve, 4zizd9804wk2k5v0l7ph0u0kq, bboslspmgrlysvtol90dpfzzd, 10cno5ydqi7fif5ehw91ak26s, 8v9ms04dm6d99xb9lt5qdk74k, eklpacb4xe0yb13zxi642gys4, 8tzmahdp1kkbot7nulpirqhh, 46ums24te70jl5qclztg8xhwp, 596d6ros8xtxb2hhy2zh7xf6c",5662333801,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5662333809,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5662333807,197,19182,5662333803,194,2lsv3xzudv78cddzsvl76zgx6,5662333797,130,4,5662333795,59,"32, 35, 33, 8, 30, 4, 20, 6, 21, 10, 16, 15, 26, 43, 80, 28, 7, 19",5662333793,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2803021993,2,32,1,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-04-19T13:59:58.645Z,2025-04-19T14:00:01Z,,,,,5662519571,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803021987,2,32,1,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-04-19T13:59:58.645Z,2025-04-19T13:59:58Z,,,,,5662519549,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803021999,3,1,1,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,50.0,50.0,2025-04-19T13:59:58.646Z,2025-04-19T14:00:02Z,1nysj6xb60fhhjhtle8pakbo4,A. Lundberg,,,5662519589,141,49.3,5662519593,213,3.17,5662519595,279,S,5662519585,56,Back,5662519587,140,31.0,5662519591,212,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022049,4,1,1,0,4,3ptum5fjcgw51mqui0gu6uuf4,0,33.0,50.3,2025-04-19T14:00:03.193Z,2025-04-19T14:19:01Z,10qxrh1rh7uyhtm3scj8glqs,N. Kujasalo,,,5662519831,155,,5662519841,213,6.16,5662519839,212,46.7,5662519843,1,,5662519833,56,Center,5662519837,141,41.6,5662519835,140,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022075,4,1,1,0,7,ea3yd0dgq6uy6pupkpn17j5xg,1,20.0,61.5,2025-04-19T14:00:06.518Z,2025-04-19T14:00:08Z,czynssza36ggpaezb0i14si22,S. Chukwudi,,,5662519921,140,18.5,5662519929,213,4.62,5662519923,141,36.3,5662519925,212,17.2,5662519919,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022123,5,1,1,0,9,ea3yd0dgq6uy6pupkpn17j5xg,1,18.5,36.3,2025-04-19T14:00:08.022Z,2025-04-19T14:00:12Z,3zfwycbtlksz95tsqcog03yp6,Kelvin Pires,,,5662520099,141,2.6,5662520095,56,Back,5662520097,140,30.1,5662520101,212,26.0,5662520103,213,5.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022131,6,61,1,0,14,ea3yd0dgq6uy6pupkpn17j5xg,0,36.5,2.9,2025-04-19T14:00:12.741Z,2025-04-19T14:00:13Z,ag78l8kpc7icq4payr6mgyej8,S. Yussif,,,5662520125,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022159,5,5,1,0,14,3ptum5fjcgw51mqui0gu6uuf4,1,61.6,101.4,2025-04-19T14:00:13.478Z,2025-04-19T14:22:36Z,4zizd9804wk2k5v0l7ph0u0kq,A. Huttunen,,,5662520267,56,Left,5662520271,233,7,5662520269,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
