id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2823300613,1,34,16,0,0,3cbke8cbou2ms925872vk6dwx,1,0.0,0.0,2025-06-18T17:07:17.773Z,2025-06-18T18:10:24Z,,,,5774831357,197,24423,5774831351,130,17,5774831359,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5774831345,30,"dxlvcn8a2lhtne6py7w4tbpw5, nxt066bqaqw7grehjw514d7t, bl43lr9kdb35de8gxvuk4xgk4, bpjmwp030jnapyjfii8nyqdhx, 6q0g98fnbdx5sg52lazo2sqac, 166chk5he9ehkh9col37bw3jd, bbdoe533sbua0ikwxa8ldo91x, 19yfn0sushy5fc003vhn0skwl, d8t6nh7paunxlvadzlfx69xx, b0wmozayt7xbjz6ihhdiczq0a, dlpw0ifxzwotsw2ttopgispka, 8do2uv6sab8cz1556kk5o1q1g, 2h5u151i11d49on3k9cdtfqqc, 3nrf0fvktniv392ytt09npp1w, 9l78gdpk7fx57b8am6to05gfe, 455wfzlw9g457wbrz07i0drtg, d6muts0aeup4vfihqd9sr7310, 72oiz92rfd5sxtpxxnqb7kpre",5774831349,59,"1, 3, 15, 40, 24, 42, 28, 44, 7, 10, 12, 9, 11, 20, 6, 25, 2, 4",5774831355,194,d8t6nh7paunxlvadzlfx69xx,5774831347,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5774831353,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2823303097,1,34,16,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-06-18T17:19:11.871Z,2025-06-18T18:13:09Z,,,,5774845383,194,5ynhzqvpks5u5bjgno6snhyzu,5774845373,30,"6i2n7bcfphn89v0eccet2fop, 9ka422rjynvrx4kofh5q8ivop, eaa9sktij53071abummj4pkwk, 7zztpnbw4cfyw6q231nqy8nv9, 1zud0qdtf6c6wzkgqhz6b94a1, 1t44y6xzubkclt6i6nzgkgr1l, 5ynhzqvpks5u5bjgno6snhyzu, 80mvshlrrlu5vt41gkruwn8fe, ec7y1s97xpoab87z786zt0r56, 84wint64ygxx3pi5fz3mr12j8, ebhnuikcvtrbmw5e80r1fds2y, 9julhxqc94tmamhicz9gfysyc, bn62iwa6vrs5z6ow9q2kpq590, 9ihsujntesz6gck21nfrch72s, 9mki2meutffzyo7nd0zo94zkk, 3eoljk5s3ohabqzfydfp4xses, di62c8bxsf1t8jrhzu47qb7u2, 1xquqxm7zxe002v8dc2z46sb9, bbp11n61bl9mjlis2ulxub66s, 9q34h8cxk1soscoghuga44phw",5774845385,197,18882,5774845375,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5774845381,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5774845387,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5774845377,59,"77, 34, 7, 23, 19, 29, 21, 20, 10, 14, 11, 27, 17, 18, 26, 22, 3, 4, 31, 35",5774845379,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310555,2,32,1,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-06-18T18:02:24.945Z,2025-06-18T18:02:25Z,,,,5774887277,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310557,2,32,1,0,0,3cbke8cbou2ms925872vk6dwx,1,0.0,0.0,2025-06-18T18:02:24.945Z,2025-06-18T18:02:25Z,,,,5774887283,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310563,3,1,1,0,0,3cbke8cbou2ms925872vk6dwx,1,49.6,49.4,2025-06-18T18:02:24.946Z,2025-06-18T18:02:28Z,b0wmozayt7xbjz6ihhdiczq0a,J. Latonen,,5774887345,140,22.8,5774887353,279,S,5774887351,213,3.11,5774887343,56,Back,5774887347,141,50.7,5774887349,212,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310585,4,1,1,0,3,3cbke8cbou2ms925872vk6dwx,0,22.8,50.7,2025-06-18T18:02:28.312Z,2025-06-18T18:02:34Z,dxlvcn8a2lhtne6py7w4tbpw5,Á. Craninx,,5774887463,212,52.5,5774887459,140,65.2,5774887457,56,Right,5774887467,1,,5774887461,141,9.8,5774887465,213,5.72,5774887455,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310587,3,44,1,0,8,duspptyvnr5kpx2iko5gerhnz,1,33.5,91.9,2025-06-18T18:02:32.979Z,2025-06-18T18:52:34Z,ec7y1s97xpoab87z786zt0r56,M. Fall,,5774887471,56,Back,5774887473,285,,5774887523,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310593,5,44,1,0,8,3cbke8cbou2ms925872vk6dwx,0,66.5,8.1,2025-06-18T18:02:32.980Z,2025-06-18T18:52:35Z,166chk5he9ehkh9col37bw3jd,O. Olufunwa,,5774887501,286,,5774887527,233,3,5774887499,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310595,4,12,1,0,8,duspptyvnr5kpx2iko5gerhnz,1,31.0,94.5,2025-06-18T18:02:33.410Z,2025-06-18T18:02:36Z,ec7y1s97xpoab87z786zt0r56,M. Fall,,5774887505,140,33.2,5774887547,15,,5774887507,141,100.0,5774887509,212,5.5,5774887511,213,1.14,5774887517,167,,5774887503,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310597,5,5,1,0,9,duspptyvnr5kpx2iko5gerhnz,0,33.8,102.0,2025-06-18T18:02:34.596Z,2025-06-18T18:02:37Z,ec7y1s97xpoab87z786zt0r56,M. Fall,,5774887567,233,6,5774887515,347,,5774887513,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
