id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/15/value,qualifier/16/value,qualifier/17/value
2796100027,1,34,16,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-04-05T13:15:06.254Z,2025-04-05T13:57:53Z,,,,,5624390859,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5624390865,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5624390861,194,c5oixwvc8sk4fxliorsk7a311,5624390863,197,18887,5624390855,59,"1, 14, 21, 5, 17, 4, 23, 37, 77, 9, 10, 7, 19, 11, 15, 18, 29, 16, 2, 26",5624390853,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5624390857,130,2,5624390851,30,"eomg9p2mo39ce40d1elkxerpx, 8bk1u1zlolcgphg6dwdezdre, byudescfxvi1kxlpncbv0mymt, ro21tqqaeslyebto6ukon5zo, 8igk37zt3ixjxdtr1t9kwfnit, c5oixwvc8sk4fxliorsk7a311, 5wtugxjwq7fvbeqcak5j5l5nt, c538ewmcaz4z73gcftzedbob9, 7dvn6m2z49c2n1ev0o9rvk93o, btr893a8ljoe8av97ji8kwr11, 4m7qbjhm8zl0z7px053siv6j9, 11xqkd2im28nwotbqeuhflcd1, 23yj26f5kapxyx90glndxs3kk, 4lgvhmh5otjikwqiwbc2yu8kp, 1ds8j4s1h4fydkkhl9qe9l5yi, 1nww1pe0ouxnuwt8q9zy4xrmc, e7mg2hccr1pqnai6u291nlx5g, 41fgl6geucap62xgimc78e238, 2c4lqno6q9hrin5ywos5rt9uc, 9bd4vf4tdzfipobqzp2r7gbft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796116407,1,34,16,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-04-05T13:30:45.365Z,2025-04-05T13:58:47Z,,,,,5624482609,194,7glr1eur910fj5b5fg743job9,5624482605,130,4,5624482613,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5624482611,197,20357,5624482599,30,"dcv3bj7tkpb8of9xh3br2510q, ag78l8kpc7icq4payr6mgyej8, 2qks3nbpd8o6igkqjl9e4po4q, ayl3txfejfa46xvwnzzd76vze, 3zfwycbtlksz95tsqcog03yp6, czynssza36ggpaezb0i14si22, bmbdwons7wudqebn3o3flm19l, f2qohaex1g5tvz10leo2ia6s, dytql3b2co1cst72z5qf879pl, 93961wszqaocy96z45j4a232s, 7glr1eur910fj5b5fg743job9, ciursygt8i2deeszjdebb28yx, 1coz8r44qcr2aau1u09888i6s, e9tx4ca2kjj4kj9vm70fv2p04, 6l2pjfuvjdnb6vkv4b0eb8mc4, dssxj3ymyofvhfjgmpg1ftuga, 17p2jqe16w5j9qh5f8yr80g7o, 9tz8pzof2v3ktjwsyt3gl18gk, bxd2pse7enn5c11fu8jlqjcwk, 2tnl1pjxxg2n4564fz9hcdsoa",5624482607,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5624482603,59,"1, 6, 3, 10, 4, 28, 8, 18, 9, 70, 7, 19, 21, 30, 33, 80, 5, 11, 15, 20",5624482601,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796149527,2,32,1,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-04-05T14:01:28.185Z,2025-04-05T14:01:28Z,,,,,5624648777,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796149557,2,32,1,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-04-05T14:01:28.185Z,2025-04-05T14:01:29Z,,,,,5624648931,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796149625,3,1,1,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,50.0,50.0,2025-04-05T14:01:28.186Z,2025-04-05T14:01:30Z,dytql3b2co1cst72z5qf879pl,J. Streng,,,5624649339,213,3.14,5624649343,279,S,5624649325,56,Back,5624649333,141,50.0,5624649337,212,13.8,5624649331,140,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796149723,4,1,1,0,2,ea3yd0dgq6uy6pupkpn17j5xg,1,35.6,49.7,2025-04-05T14:01:30.699Z,2025-04-05T14:01:33Z,f2qohaex1g5tvz10leo2ia6s,M. Arsalo,,,5624649825,140,23.9,5624649831,213,3.65,5624649823,56,Back,5624649827,141,39.7,5624649829,212,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796149815,5,1,1,0,4,ea3yd0dgq6uy6pupkpn17j5xg,1,21.8,34.3,2025-04-05T14:01:33.083Z,2025-04-05T14:01:35Z,3zfwycbtlksz95tsqcog03yp6,Kelvin Pires,,,5624650295,212,21.4,5624650291,140,28.8,5624650297,213,5.06,5624650293,141,4.7,5624650289,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796149967,6,1,1,0,7,ea3yd0dgq6uy6pupkpn17j5xg,1,28.8,4.7,2025-04-05T14:01:35.259Z,2025-04-05T14:01:38Z,ag78l8kpc7icq4payr6mgyej8,S. Yussif,,,5624650961,56,Back,5624650967,212,16.4,5624650963,140,17.6,5624650965,141,21.5,5624650969,213,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796150063,7,1,1,0,10,ea3yd0dgq6uy6pupkpn17j5xg,1,18.3,25.2,2025-04-05T14:01:38.539Z,2025-04-05T14:01:41Z,3zfwycbtlksz95tsqcog03yp6,Kelvin Pires,,,5624651459,213,1.45,5624651455,141,63.3,5624651457,212,26.1,5624651451,56,Back,5624651453,140,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796150199,8,1,1,0,13,ea3yd0dgq6uy6pupkpn17j5xg,1,21.3,64.6,2025-04-05T14:01:41.371Z,2025-04-05T14:01:45Z,czynssza36ggpaezb0i14si22,S. Chukwudi,,,5624652103,140,28.8,5624652107,212,12.3,5624652101,56,Back,5624652105,141,78.4,5624652109,213,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
