id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/12/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value
2818175439,1,34,16,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-05-24T13:07:49.712Z,2025-05-24T14:01:33Z,,,,5746112233,194,91fm2241o9p5nxo84p43tedhx,5746112235,197,20305,5746112227,59,"1, 29, 18, 17, 33, 38, 22, 19, 9, 14, 10, 37, 6, 24, 99, 26, 3, 4, 5",5746112229,130,8,5746112237,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746112231,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5746112223,30,"91fm2241o9p5nxo84p43tedhx, cn6gncw8nbyds83xx6cxbzrpw, 80whrqt5ch885cdrzpzlez85w, 2iff45qvldope3itiwthnvgx6, 9p03mfw1a51fwu8fklock97je, 7r2ifipuieqiar5n00o2j5uj9, 3tpjeq8mn2sy9v6a8hcesp9wq, an77jbrily6wipsqhwliubhsl, j4mqmt0lccgzq4nf87ljkoyy, 9rle4eqj5q7d4y7hgu570vgfd, 61ib1kknf11ab4v4f1magyu39, 4votdnyh0srvboatz6a20d5p0, 18e98agfd0xvy161ax3ru08pg, a1dhi0sqw2yeffewd34n6z7fu, cu75ndbeja7m9o2g789b0h34k, 4accnmk8l7khcvpzibgdxjl04, 5lx97p0c2ja9g4vjofjr2o5pl, bse78hbpbf32wr6nboc5zds0k, 3ajk1fh1r7rxjmsljdm5zs639",5746112225,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,
2818179631,1,34,16,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-05-24T13:14:48.632Z,2025-05-24T13:57:59Z,,,,5746135915,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746135913,197,22088,5746135901,30,"5h0xmzqj69qpakvv8b3gfin6d, afacx0e14xrz11u9dnbry92ei, enc30jhvcxxy3c53muws4gbje, cpxcd9wihjrac0ttpvfzv5kkq, 1vt9w739g9cui1qrjhld5jgt1, bt9canh10jbb5pms11dzi1j2t, cayn625x26mewt9gp2xrmh4ut, 74od0bd25ox7cv2sfmebf72s5, 7wysiv77u3wt6pk31uzzl7dre, 7hr8mxix88otsvgitsv184g0k, a30y638aa4uo6vudqgrcjvpat, 8r3xgvgtysw3a026rrhebyxre, 6yreepfqr0qh9o2mlglzkri6t, 6aoswcs32ubpn2g50tqcopg5w, dprt62xpys5habrdk1kg6sbu1, 87xd8a3n7mtk57za6pcc5l5n9, 5msckfem6wvr8h2egmxqgn5zo, a6c8kxkcb77ldh3dpondvd2sq, 2ds2jprriwxkden7xw0pvhe51, auivgwfbffghtuzi2i5e9mxw4",5746135907,130,17,5746135911,194,5h0xmzqj69qpakvv8b3gfin6d,5746135909,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746135905,59,"1, 13, 19, 3, 5, 22, 42, 14, 9, 17, 7, 8, 10, 18, 27, 15, 30, 12, 16, 24",5746135903,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,
2818204575,2,32,1,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-05-24T13:59:59.105Z,2025-05-24T14:00:01Z,,,,5746276715,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818204571,2,32,1,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-05-24T13:59:59.105Z,2025-05-24T14:00:38Z,,,,5746276701,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818204579,3,1,1,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,50.1,50.0,2025-05-24T13:59:59.106Z,2025-05-24T14:00:38Z,74od0bd25ox7cv2sfmebf72s5,A. Popovitš,,5746276731,213,3.06,5746276723,141,52.7,5746276733,279,S,5746276719,56,Back,5746276727,212,22.4,5746276721,140,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818204589,4,1,1,0,4,2rdnn9p03qrmmv34tyx1nahpa,0,29.8,52.1,2025-05-24T14:00:03.319Z,2025-05-24T14:00:37Z,1vt9w739g9cui1qrjhld5jgt1,S. Väisänen,,5746276803,1,,5746276791,157,,5746276797,141,75.6,5746276801,213,0.29,5746276799,212,55.0,5746276795,140,79.9,5746276793,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818204595,3,12,1,0,7,cy6zs39z79dcfbr4xzkp38z7q,1,20.5,24.6,2025-05-24T14:00:06.444Z,2025-05-24T14:05:34Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,5746276837,141,20.1,5746293899,15,,5746276841,213,5.64,5746276835,140,24.4,5746276833,56,Back,5746276839,212,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818204605,5,1,1,0,8,2rdnn9p03qrmmv34tyx1nahpa,1,70.4,82.3,2025-05-24T14:00:07.181Z,2025-05-24T14:00:37Z,a30y638aa4uo6vudqgrcjvpat,J. Veteli,,5746276891,140,77.8,5746276895,212,8.9,5746276887,3,,5746276893,141,88.6,5746276897,213,0.50,5746276889,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818204613,6,1,1,0,9,2rdnn9p03qrmmv34tyx1nahpa,0,75.6,84.7,2025-05-24T14:00:08.446Z,2025-05-24T14:05:46Z,enc30jhvcxxy3c53muws4gbje,O. Jukkola,,5746276963,141,68.2,5746276967,213,4.75,5746276965,212,11.2,5746276961,140,76.0,5746276959,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818204621,4,12,1,0,10,cy6zs39z79dcfbr4xzkp38z7q,1,20.7,34.3,2025-05-24T14:00:10.014Z,2025-05-24T14:05:53Z,7r2ifipuieqiar5n00o2j5uj9,L. Bergsma,,5746277003,140,51.6,5746277007,212,32.5,5746277001,56,Center,5746277005,141,32.4,5746277009,213,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
