id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2814135209,1,34,16,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-05-12T15:06:01.339Z,2025-05-12T16:32:19Z,,,,,5723657757,194,45kijyqwuvgoc6hx51yueyeol,5723657747,30,"45kijyqwuvgoc6hx51yueyeol, 72d57i3mfqxtbsmm196kdv0fd, eaa9sktij53071abummj4pkwk, 7zztpnbw4cfyw6q231nqy8nv9, 1zud0qdtf6c6wzkgqhz6b94a1, bqc4ov50nt2cguo0rrxw2a02x, 80mvshlrrlu5vt41gkruwn8fe, 9ka422rjynvrx4kofh5q8ivop, 6zw6j1zpm7vs8zkx5z6enqpgq, ec7y1s97xpoab87z786zt0r56, 5ynhzqvpks5u5bjgno6snhyzu, 84wint64ygxx3pi5fz3mr12j8, 9julhxqc94tmamhicz9gfysyc, 1zdrpi7b401hv9w9mtykzyor9, 6i2n7bcfphn89v0eccet2fop, di62c8bxsf1t8jrhzu47qb7u2, 1xquqxm7zxe002v8dc2z46sb9, 1wg15zg0fffyoag6owdh35vkk, bbp11n61bl9mjlis2ulxub66s, bn62iwa6vrs5z6ow9q2kpq590",5723657761,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5723657751,59,"1, 6, 7, 23, 19, 37, 20, 34, 9, 10, 21, 14, 27, 30, 77, 3, 4, 5, 31, 17",5723657755,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5723657753,130,12,5723657749,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5723657759,197,28599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814136105,1,34,16,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-05-12T15:11:54.099Z,2025-05-12T18:08:43Z,,,,,5723662961,130,8,5723662955,30,"dcv3bj7tkpb8of9xh3br2510q, oqudbhzm03z0sfh8tw4qoqhg, 2qks3nbpd8o6igkqjl9e4po4q, bmbdwons7wudqebn3o3flm19l, 17p2jqe16w5j9qh5f8yr80g7o, czynssza36ggpaezb0i14si22, 93961wszqaocy96z45j4a232s, f2qohaex1g5tvz10leo2ia6s, 1coz8r44qcr2aau1u09888i6s, ayl3txfejfa46xvwnzzd76vze, 7glr1eur910fj5b5fg743job9, dytql3b2co1cst72z5qf879pl, 9tz8pzof2v3ktjwsyt3gl18gk, 9f9rakq22c75ur58uel80f7ys, ciursygt8i2deeszjdebb28yx, 2tnl1pjxxg2n4564fz9hcdsoa, e9tx4ca2kjj4kj9vm70fv2p04, 6l2pjfuvjdnb6vkv4b0eb8mc4, dssxj3ymyofvhfjgmpg1ftuga, 23ngtx061omtotnlvbzlgd3bo",5723662957,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5723662965,194,7glr1eur910fj5b5fg743job9,5723662967,197,22108,5723662959,59,"1, 2, 3, 8, 5, 28, 70, 18, 21, 10, 7, 9, 11, 17, 19, 20, 30, 33, 80, 16",5723662969,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5723662963,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814145861,2,32,1,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-05-12T16:01:41.084Z,2025-05-12T16:01:41Z,,,,,5723722455,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814145867,2,32,1,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-05-12T16:01:41.084Z,2025-05-12T16:01:43Z,,,,,5723722465,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814145887,3,1,1,0,0,duspptyvnr5kpx2iko5gerhnz,1,50.1,50.1,2025-05-12T16:01:41.085Z,2025-05-12T16:01:44Z,80mvshlrrlu5vt41gkruwn8fe,Y. El Ouatki,,,5723722615,279,S,5723722611,212,20.2,5723722613,213,3.28,5723722607,140,31.0,5723722609,141,46.1,5723722605,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814145907,4,1,1,0,3,duspptyvnr5kpx2iko5gerhnz,0,30.8,48.4,2025-05-12T16:01:44.773Z,2025-05-12T16:01:47Z,7zztpnbw4cfyw6q231nqy8nv9,M. Niemi,,,5723722701,212,49.1,5723722699,141,18.2,5723722693,157,,5723722705,1,,5723722703,213,5.85,5723722695,56,Right,5723722697,140,73.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814145909,3,12,1,0,6,ea3yd0dgq6uy6pupkpn17j5xg,1,26.6,90.9,2025-05-12T16:01:47.320Z,2025-05-12T16:01:53Z,czynssza36ggpaezb0i14si22,S. Chukwudi,,,5723722713,56,Back,5723722719,212,21.6,5723722725,15,,5723722717,141,67.0,5723722721,213,5.43,5723722715,140,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814145925,5,1,1,0,10,duspptyvnr5kpx2iko5gerhnz,0,68.9,32.8,2025-05-12T16:01:51.360Z,2025-05-12T16:01:52Z,5ynhzqvpks5u5bjgno6snhyzu,P. Ahiabu,,,5723722775,140,94.2,5723722771,157,,5723722779,212,27.9,5723722773,56,Center,5723722777,141,45.1,5723722783,1,,5723722781,213,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814145953,5,1,1,0,14,ea3yd0dgq6uy6pupkpn17j5xg,1,10.7,49.7,2025-05-12T16:01:56.004Z,2025-05-12T16:01:58Z,dcv3bj7tkpb8of9xh3br2510q,R. Paunio,,,5723722951,213,1.51,5723722945,140,11.4,5723722949,212,12.2,5723722943,56,Back,5723722947,141,67.6,5723722939,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814145973,6,1,1,0,17,ea3yd0dgq6uy6pupkpn17j5xg,1,8.5,70.3,2025-05-12T16:01:58.308Z,2025-05-12T16:02:01Z,czynssza36ggpaezb0i14si22,S. Chukwudi,,,5723723069,212,19.6,5723723071,213,0.60,5723723063,56,Back,5723723065,140,23.9,5723723067,141,86.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
