id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2812632839,1,34,16,0,0,3cbke8cbou2ms925872vk6dwx,1,0.0,0.0,2025-05-10T15:08:33.252Z,2025-05-10T16:15:16Z,,,,,5715488885,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5715488887,194,anqhl7ehns6thx9ldto2jp5ud,5715488891,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5715488879,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5715488883,130,5,5715488877,30,"dxlvcn8a2lhtne6py7w4tbpw5, anqhl7ehns6thx9ldto2jp5ud, dlpw0ifxzwotsw2ttopgispka, b7x9fczqecsf267ewzcvccmhh, 6q0g98fnbdx5sg52lazo2sqac, bpjmwp030jnapyjfii8nyqdhx, nxt066bqaqw7grehjw514d7t, 19yfn0sushy5fc003vhn0skwl, d8t6nh7paunxlvadzlfx69xx, 4a8qjfagq2xr6wqsv875jth0q, b0wmozayt7xbjz6ihhdiczq0a, 8do2uv6sab8cz1556kk5o1q1g, 2h5u151i11d49on3k9cdtfqqc, bl43lr9kdb35de8gxvuk4xgk4, bbdoe533sbua0ikwxa8ldo91x, 455wfzlw9g457wbrz07i0drtg, d6muts0aeup4vfihqd9sr7310, ecuwplrj6gv5s67cg9lu342ui",5715488881,59,"1, 22, 12, 26, 24, 40, 3, 44, 7, 19, 10, 9, 11, 15, 28, 25, 2, 30",5715488889,197,24423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812641805,1,34,16,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-05-10T15:13:52.378Z,2025-05-10T16:22:21Z,,,,,5715536399,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5715536391,30,"cu75ndbeja7m9o2g789b0h34k, cn6gncw8nbyds83xx6cxbzrpw, 80whrqt5ch885cdrzpzlez85w, a1dhi0sqw2yeffewd34n6z7fu, 9p03mfw1a51fwu8fklock97je, 3ajk1fh1r7rxjmsljdm5zs639, j4mqmt0lccgzq4nf87ljkoyy, 2iff45qvldope3itiwthnvgx6, 4votdnyh0srvboatz6a20d5p0, 9rle4eqj5q7d4y7hgu570vgfd, 3tpjeq8mn2sy9v6a8hcesp9wq, 18e98agfd0xvy161ax3ru08pg, c9987xq26uc7bq68l76clyxud, 61ib1kknf11ab4v4f1magyu39, 4accnmk8l7khcvpzibgdxjl04, anfjghysnr4o03nqnxs98e0ic, a5xmw5sa3v0azvhv35n8cbthw, 5lx97p0c2ja9g4vjofjr2o5pl, bse78hbpbf32wr6nboc5zds0k, 7r2ifipuieqiar5n00o2j5uj9",5715536393,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5715536401,194,9rle4eqj5q7d4y7hgu570vgfd,5715536403,197,20305,5715536397,130,8,5715536405,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5715536395,59,"99, 29, 18, 24, 33, 5, 9, 17, 37, 14, 22, 6, 8, 10, 26, 80, 12, 3, 4, 38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812705003,2,32,1,0,0,3cbke8cbou2ms925872vk6dwx,1,0.0,0.0,2025-05-10T16:01:05.043Z,2025-05-10T16:01:07Z,,,,,5715880473,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812704991,2,32,1,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-05-10T16:01:05.043Z,2025-05-10T16:01:05Z,,,,,5715880415,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812705063,3,1,1,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,50.0,50.0,2025-05-10T16:01:05.044Z,2025-05-10T16:01:09Z,9rle4eqj5q7d4y7hgu570vgfd,N. Jokelainen,,,5715880821,141,46.6,5715880823,212,22.6,5715880817,56,Back,5715880825,213,3.24,5715880827,279,S,5715880819,140,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812705077,4,1,1,0,4,cy6zs39z79dcfbr4xzkp38z7q,0,27.9,44.3,2025-05-10T16:01:09.549Z,2025-05-10T16:01:10Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,,5715880927,213,0.38,5715880925,212,46.4,5715880919,56,Center,5715880923,141,69.7,5715880917,157,,5715880921,140,68.9,5715880929,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812705117,3,1,1,0,7,3cbke8cbou2ms925872vk6dwx,0,30.3,25.9,2025-05-10T16:01:12.387Z,2025-05-10T16:01:18Z,nxt066bqaqw7grehjw514d7t,S. Heiskanen,,,5715881167,56,Back,5715881165,3,,5715881175,213,5.53,5715881171,141,0.0,5715881173,212,26.6,5715881169,140,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812705123,4,5,1,0,8,3cbke8cbou2ms925872vk6dwx,0,53.2,-1.3,2025-05-10T16:01:13.613Z,2025-05-10T17:34:04Z,4a8qjfagq2xr6wqsv875jth0q,V. Hänninen,,,5715881225,233,5,5715881193,347,,5715881191,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812705115,5,5,1,0,8,cy6zs39z79dcfbr4xzkp38z7q,1,46.8,101.3,2025-05-10T16:01:13.613Z,2025-05-10T17:34:04Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,,5715881137,347,,5715881129,56,Back,5715881221,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812705191,6,1,1,0,13,cy6zs39z79dcfbr4xzkp38z7q,1,39.2,100.0,2025-05-10T16:01:18.221Z,2025-05-10T16:01:22Z,80whrqt5ch885cdrzpzlez85w,Adramane Cassamá,,,5715881633,107,,5715881639,141,81.8,5715881641,212,20.3,5715881643,213,3.85,5715881635,56,Back,5715881637,140,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
