id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/14/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2805137547,1,34,16,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-04-23T14:06:07.507Z,2025-04-23T15:04:01Z,,,,,5674080381,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5674080373,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5674080377,194,2lsv3xzudv78cddzsvl76zgx6,5674080367,59,"32, 28, 33, 20, 30, 4, 18, 6, 7, 16, 10, 9, 21, 8, 26, 43, 80, 35",5674080363,30,"cikb5rw9wtq5th334wj89dhey, 8tzmahdp1kkbot7nulpirqhh, 3xtbzw2dg5my9jn99xqh5gdpm, 36gi7l0qvkbru5w6v2nym00ve, b7594v117himyndjrpkval8us, 2lsv3xzudv78cddzsvl76zgx6, f5f9sfvtizyppg8kqtmp9y3ca, 10qxrh1rh7uyhtm3scj8glqs, 46ums24te70jl5qclztg8xhwp, 4zizd9804wk2k5v0l7ph0u0kq, 1iyf79yql5sm8m6i8nwxntsve, cnf3yzk0zcrlrfejwd2iebbpw, 1nysj6xb60fhhjhtle8pakbo4, u8remrfu8ug41xu71brhukmh, 10cno5ydqi7fif5ehw91ak26s, 8v9ms04dm6d99xb9lt5qdk74k, eklpacb4xe0yb13zxi642gys4, 64pptq46unjnsxn6wc3avhtec",5674080365,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5674080369,130,5,5674080379,197,19182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805139313,1,34,16,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-04-23T14:14:29.972Z,2025-04-23T14:14:30Z,,,,,5674090739,194,59d5otjevb4zussjofufdg4ph,5674090735,130,4,5674090741,197,9120,5674090731,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5674090729,30,"b6uchs6rc43tlb0qj2tw3xzh1, 5skki9qedwo05d1scee0obu1h, 6r9gyu0ks64c9z4kfsfjj105w, doxrlp6910n9l5b5zl8ee73ai, 289f8ysumkm0ilmx2z472cei2, dpegzp0t66wtgyc69v4rj6cyc, c11fpnugs2ihyqk07ohha54np, 59d5otjevb4zussjofufdg4ph, 7z2gs2b8ccchwf0h92hwx8d90, 2yyodldan4gscxb0jjrpkygyy, 5t58neiqhud2d4h64owu8fwiy, 1p8qp744v6uor8li9wfcwi0dm, am2lquvihsgkoy18i6f26d1ck, aa40go6nrv6mpdny6zdc1jeg9, 2vvnbkdgeje34aivohozzvm5l, 6bci7uqkdfkqzfyp3kq9lh3pw, 27tqgrgwe7bvct5ffmr0sqdey, 9c2ajg42wya1u4lh1eeye2jo4, dir0a3gwtnslupca6o36sqvis, beq1o3wl29kdr4qtahdij1m21",5674090743,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5674090737,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5674090733,59,"1, 6, 32, 10, 15, 16, 7, 8, 34, 21, 11, 12, 2, 13, 17, 18, 19, 20, 29, 22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805144835,2,32,1,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-04-23T14:59:32.706Z,2025-04-23T20:28:13Z,,,,,5674127395,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805144833,2,32,1,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-04-23T14:59:32.706Z,2025-04-23T14:59:32Z,,,,,5674127391,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805144837,3,1,1,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,49.8,50.0,2025-04-23T14:59:32.707Z,2025-04-23T17:57:51Z,4zizd9804wk2k5v0l7ph0u0kq,A. Huttunen,,,5674127399,140,37.0,5674127405,213,2.74,5674127401,141,58.4,5674127407,279,S,5674127403,212,14.6,5674127397,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805144843,4,1,1,0,1,3ptum5fjcgw51mqui0gu6uuf4,0,37.8,56.4,2025-04-23T14:59:34.395Z,2025-04-23T14:59:37Z,10qxrh1rh7uyhtm3scj8glqs,N. Kujasalo,,,5674127443,140,68.2,5674127447,212,35.7,5674127445,141,32.8,5674127439,157,,5674127441,56,Center,5674127449,213,5.82,5674127451,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805144847,3,1,1,0,5,1c7dv8ays675v9kp6a04sd8pq,1,22.8,64.8,2025-04-23T14:59:38.098Z,2025-04-23T14:59:40Z,dpegzp0t66wtgyc69v4rj6cyc,S. Miettinen,,,5674127471,212,17.7,5674127467,140,39.7,5674127463,3,,5674127473,213,6.26,5674127469,141,64.2,5674127465,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805144849,4,1,1,0,7,1c7dv8ays675v9kp6a04sd8pq,0,39.7,64.2,2025-04-23T14:59:40.097Z,2025-04-23T14:59:40Z,7z2gs2b8ccchwf0h92hwx8d90,O. Ruoppi,,,5674127491,213,2.78,5674127481,56,Back,5674127489,212,17.4,5674127483,140,24.2,5674127487,141,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805144857,5,8,1,0,9,3ptum5fjcgw51mqui0gu6uuf4,1,62.5,12.5,2025-04-23T14:59:42.250Z,2025-04-23T14:59:42Z,f5f9sfvtizyppg8kqtmp9y3ca,T. Olawale,,,5674127521,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805147493,126,83,1,0,11,1c7dv8ays675v9kp6a04sd8pq,0,33.8,93.2,2025-04-23T14:59:44.163Z,2025-04-23T15:09:26Z,7z2gs2b8ccchwf0h92hwx8d90,O. Ruoppi,,,5674143265,399,8tzmahdp1kkbot7nulpirqhh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
