id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/11/value,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value
2823268259,1,34,16,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-06-18T13:08:27.300Z,2025-06-18T14:09:24Z,,,,,5774648133,59,"1, 21, 25, 13, 23, 4, 24, 8, 34, 6, 22, 11, 19, 20, 17, 18, 26, 12, 2, 32",5774648129,30,"b6uchs6rc43tlb0qj2tw3xzh1, 2yyodldan4gscxb0jjrpkygyy, 5irotktf4k5ynobf0zugdom0a, aa40go6nrv6mpdny6zdc1jeg9, 3ani6i6zvyyz715jalqfbcvoq, 2myqyf42cisqz9ev77pxo0hjp, 6zxmiojkikr9no952g862h3is, 59d5otjevb4zussjofufdg4ph, 7z2gs2b8ccchwf0h92hwx8d90, 5skki9qedwo05d1scee0obu1h, beq1o3wl29kdr4qtahdij1m21, 5t58neiqhud2d4h64owu8fwiy, 27tqgrgwe7bvct5ffmr0sqdey, 9c2ajg42wya1u4lh1eeye2jo4, 2vvnbkdgeje34aivohozzvm5l, 6bci7uqkdfkqzfyp3kq9lh3pw, be5sv0h649rb9o9gnko9ve2ac, 1p8qp744v6uor8li9wfcwi0dm, am2lquvihsgkoy18i6f26d1ck, 6r9gyu0ks64c9z4kfsfjj105w",5774648141,197,19152,5774648143,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5774648131,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5774648135,130,6,5774648137,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5774648139,194,59d5otjevb4zussjofufdg4ph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823270591,1,34,16,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-06-18T13:26:08.174Z,2025-06-18T14:18:46Z,,,,,5774662229,130,8,5774662227,59,"80, 28, 35, 8, 30, 14, 10, 20, 15, 6, 16, 11, 18, 21, 23, 43, 90, 4, 33, 7",5774662233,194,eklpacb4xe0yb13zxi642gys4,5774662225,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5774662237,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5774662235,197,23737,5774662223,30,"eklpacb4xe0yb13zxi642gys4, 8tzmahdp1kkbot7nulpirqhh, 64pptq46unjnsxn6wc3avhtec, u8remrfu8ug41xu71brhukmh, b7594v117himyndjrpkval8us, eyxig53mzy4qlf208vpchs7is, 1iyf79yql5sm8m6i8nwxntsve, 36gi7l0qvkbru5w6v2nym00ve, bboslspmgrlysvtol90dpfzzd, 10qxrh1rh7uyhtm3scj8glqs, 4zizd9804wk2k5v0l7ph0u0kq, 4ciqzc2b0xfc24hha0bnp3eqy, f5f9sfvtizyppg8kqtmp9y3ca, 1nysj6xb60fhhjhtle8pakbo4, 7mtrb2q1po3bwtkfp1w4w2qxh, 8v9ms04dm6d99xb9lt5qdk74k, aoa60lf22i1v66vmyf7sfiay, 2lsv3xzudv78cddzsvl76zgx6, 3xtbzw2dg5my9jn99xqh5gdpm, 46ums24te70jl5qclztg8xhwp",5774662231,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823273553,2,32,1,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-06-18T13:59:54.560Z,2025-06-18T13:59:53Z,,,,,5774679809,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823273555,2,32,1,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-06-18T13:59:54.560Z,2025-06-18T13:59:55Z,,,,,5774679835,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823273557,3,1,1,0,0,1c7dv8ays675v9kp6a04sd8pq,1,50.0,50.0,2025-06-18T13:59:54.561Z,2025-06-18T13:59:59Z,7z2gs2b8ccchwf0h92hwx8d90,O. Ruoppi,,,5774679845,140,19.7,5774679849,212,31.9,5774679847,141,54.2,5774679853,279,S,5774679851,213,3.05,5774679843,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823273559,4,1,1,0,6,1c7dv8ays675v9kp6a04sd8pq,1,23.3,51.8,2025-06-18T14:00:00.729Z,2025-06-18T14:00:02Z,b6uchs6rc43tlb0qj2tw3xzh1,J. Kreidl,,,5774679863,141,21.2,5774679859,56,Back,5774679867,213,5.02,5774679865,212,21.8,5774679861,140,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823273561,5,1,1,0,8,1c7dv8ays675v9kp6a04sd8pq,1,40.4,15.6,2025-06-18T14:00:03.536Z,2025-06-18T14:00:05Z,3ani6i6zvyyz715jalqfbcvoq,A. Lötjönen,,,5774679879,212,23.2,5774679877,141,6.7,5774679875,140,61.7,5774679881,213,6.02,5774679873,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823273563,6,1,1,0,14,1c7dv8ays675v9kp6a04sd8pq,1,55.4,7.9,2025-06-18T14:00:08.978Z,2025-06-18T14:00:09Z,6zxmiojkikr9no952g862h3is,B. Armah,,,5774679891,56,Back,5774679895,141,15.5,5774679897,212,14.5,5774679899,213,2.78,5774679893,140,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823273565,7,1,1,0,15,1c7dv8ays675v9kp6a04sd8pq,1,42.5,15.5,2025-06-18T14:00:09.984Z,2025-06-18T14:00:10Z,3ani6i6zvyyz715jalqfbcvoq,A. Lötjönen,,,5774679915,213,2.00,5774679911,141,47.3,5774679913,212,23.8,5774679909,140,33.0,5774679907,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823273567,8,1,1,0,16,1c7dv8ays675v9kp6a04sd8pq,1,33.0,47.3,2025-06-18T14:00:11.224Z,2025-06-18T14:00:14Z,b6uchs6rc43tlb0qj2tw3xzh1,J. Kreidl,,,5774679925,212,13.8,5774679921,140,37.0,5774679927,213,1.26,5774679919,56,Back,5774679923,141,66.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823273569,9,1,1,0,21,1c7dv8ays675v9kp6a04sd8pq,1,37.0,66.6,2025-06-18T14:00:15.688Z,2025-06-18T14:01:54Z,2myqyf42cisqz9ev77pxo0hjp,Paulo Ricardo,,,5774679933,56,Back,5774679941,213,5.02,5774679937,141,31.6,5774679939,212,25.0,5774679935,140,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823273573,10,1,1,0,25,1c7dv8ays675v9kp6a04sd8pq,1,51.8,29.7,2025-06-18T14:00:19.561Z,2025-06-18T14:00:20Z,3ani6i6zvyyz715jalqfbcvoq,A. Lötjönen,,,5774679963,213,5.72,5774679955,56,Center,5774679959,141,24.4,5774679957,140,57.2,5774679961,212,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823273575,11,1,1,0,27,1c7dv8ays675v9kp6a04sd8pq,1,57.2,24.4,2025-06-18T14:00:21.625Z,2025-06-18T14:00:21Z,5irotktf4k5ynobf0zugdom0a,C. Antwi,,,5774679967,56,Back,5774679969,140,44.1,5774679979,156,,5774679975,213,2.94,5774679971,141,28.6,5774679973,212,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823273581,12,1,1,0,30,1c7dv8ays675v9kp6a04sd8pq,1,44.3,27.4,2025-06-18T14:00:25.488Z,2025-06-18T14:00:29Z,3ani6i6zvyyz715jalqfbcvoq,A. Lötjönen,,,5774680021,213,1.61,5774680013,56,Back,5774680019,212,25.2,5774680017,141,64.5,5774680015,140,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
