id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2806173603,1,34,16,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-04-26T13:09:43.165Z,2025-04-26T14:06:43Z,,,,,5679844949,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5679844939,59,"13, 40, 21, 16, 6, 3, 9, 42, 95, 10, 11, 7, 24, 66, 4, 17, 25, 2, 5, 20",5679844937,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5679844947,197,26791,5679844941,130,8,5679844943,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5679844945,194,66zsjkvxs4cbh9u63hk273t1x,5679844935,30,"66zsjkvxs4cbh9u63hk273t1x, 5pa2n5nlvexr6z7nu65uz0qqy, dtdqh03syykiv1cjstn2lhkvd, 7e8irrii6ddjjaex00kq8cand, dcv2hunon4wgijgt4kljtqxg5, 3cmp95fpjtqoc5njb5p7c9g8a, cbceals9gkfqlywg94zzzlgb9, 80115v2kkgjym3ubywmkz654a, a3elaln9izarzlwqkwc4ynpey, 4y7niu1b8drpeccb84s2e9wwl, 7x14tbg2brvxi5g9jdbovp8gk, enlu96e156ahwhmdk0482kzfu, crqntc3sy05jsblgk90gymhn9, d7od1kij5jchngdcwlvls0max, 6iaszy97sphbfkhfxdwd93g15, 3tghlj82y0zzojxphfc1wrehg, a4kgoyzoedberugc14zrtv55h, ewhh39na34kvumaw7zfbh228l, npha09mhy3755go8t6lg3ey2, 3bu3igsdqg8atj5pailbof76c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806194493,1,34,16,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-04-26T13:36:12.198Z,2025-04-26T14:20:23Z,,,,,5679955975,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5679955983,194,c5oixwvc8sk4fxliorsk7a311,5679955981,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5679955973,30,"eomg9p2mo39ce40d1elkxerpx, 9bd4vf4tdzfipobqzp2r7gbft, byudescfxvi1kxlpncbv0mymt, ro21tqqaeslyebto6ukon5zo, 8igk37zt3ixjxdtr1t9kwfnit, c5oixwvc8sk4fxliorsk7a311, 5wtugxjwq7fvbeqcak5j5l5nt, 11xqkd2im28nwotbqeuhflcd1, c538ewmcaz4z73gcftzedbob9, btr893a8ljoe8av97ji8kwr11, 23yj26f5kapxyx90glndxs3kk, apryim5dle6o29qp6hpio06sq, b9s6ecsxs323kktg3cs3pisk4, 4lgvhmh5otjikwqiwbc2yu8kp, 1ds8j4s1h4fydkkhl9qe9l5yi, 1nww1pe0ouxnuwt8q9zy4xrmc, dl6lfojhwzis2gboqxonxu904, 2c4lqno6q9hrin5ywos5rt9uc, 8bk1u1zlolcgphg6dwdezdre",5679955985,197,22105,5679955977,59,"1, 26, 21, 5, 17, 4, 23, 7, 37, 9, 19, 8, 27, 11, 15, 18, 33, 2, 14",5679955979,130,2,5679955987,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806211663,2,32,1,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-04-26T14:00:19.475Z,2025-04-26T14:00:19Z,,,,,5680039081,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806211689,2,32,1,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-04-26T14:00:19.475Z,2025-04-26T14:00:22Z,,,,,5680039159,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806211753,3,1,1,0,0,8sy0cxovuxo76tuoas3uo55xj,1,50.3,50.0,2025-04-26T14:00:19.476Z,2025-04-26T14:00:22Z,c538ewmcaz4z73gcftzedbob9,A. Tanaka,,,5680039365,141,51.5,5680039357,56,Back,5680039367,212,18.5,5680039361,140,32.7,5680039369,213,3.09,5680039371,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806211837,4,1,1,0,3,8sy0cxovuxo76tuoas3uo55xj,0,32.7,51.5,2025-04-26T14:00:22.565Z,2025-04-26T14:11:12Z,11xqkd2im28nwotbqeuhflcd1,J. Mäkelä,,,5680039615,141,7.1,5680039621,1,,5680039611,56,Right,5680039613,140,76.5,5680039609,157,,5680039617,212,55.0,5680039619,213,5.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806211937,3,4,1,0,8,7efqk7uh63928il0yffxijnv7,1,21.8,92.0,2025-04-26T14:00:28.071Z,2025-04-26T14:57:22Z,dtdqh03syykiv1cjstn2lhkvd,J. Myrevik,,,5680040103,152,,5680040099,13,,5680040101,56,Back,5680040107,285,,5680040575,233,5,5680040105,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806211993,5,4,1,0,8,8sy0cxovuxo76tuoas3uo55xj,0,78.2,8.0,2025-04-26T14:00:28.072Z,2025-04-26T14:57:22Z,9bd4vf4tdzfipobqzp2r7gbft,M. Paavola,,,5680040475,13,,5680040483,286,,5680040481,265,,5680040477,56,Right,5680040479,152,,5680040601,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806212903,4,1,1,0,34,7efqk7uh63928il0yffxijnv7,1,27.9,90.9,2025-04-26T14:00:54.302Z,2025-04-26T14:00:59Z,66zsjkvxs4cbh9u63hk273t1x,Miguel Santos,,,5680044479,56,Center,5680044487,213,5.64,5680044489,1,,5680044477,152,,5680044473,5,,5680044485,212,49.0,5680044475,157,,5680044481,140,65.4,5680044483,141,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806212917,5,44,1,0,39,7efqk7uh63928il0yffxijnv7,1,65.2,49.0,2025-04-26T14:00:58.837Z,2025-04-26T14:57:38Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5680044577,56,Center,5680163049,233,6,5680044579,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
