id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value
2823301943,1,34,16,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-06-18T17:13:31.420Z,2025-06-18T18:18:50Z,,,,,5774838851,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5774838841,59,"1, 4, 18, 8, 5, 3, 7, 19, 9, 16, 99, 17, 64, 10, 13, 21, 12, 2, 30",5774838845,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5774838843,130,6,5774838837,30,"5auce3x81f1kwok1aq7m4o2y1, 1utcfk5giq7ghp8b2z3u9b27d, amdo0gvq5yaascwon92mhyaga, 2shgmz0kct6m0wphe28gq04ix, e7cov36din7hwsjxovwr5smlm, 7pnmkd2s7cca2p00x7ny98st1, 2kbiramhoa1b8k51wtfk5raei, 5nhh1n77us1h2z5wvx7mt2gpg, czl632fkj2mhbgu4jie3bug9h, d7fbq3piag375ujo9q9njqq6s, udbewp8no8ut63j1nla34ine, btxgorlt1vhb8f0yt5jvvwg5x, 5k1kwehh9ck6nlqugcurw1yi1, 49br3gmn71y8pd5wqkfkvrbah, bj3hdokfgxfrxo4d5231pj5rd, db7sgfeo2hgb5e2s0fa4ue044, 5ghh71ix7lnta7fz3mp0w0zpx, f2ab1zbzm717i2z80l869obqi, 2fj3f2zy80nbu8p3ryblmioes",5774838847,194,7pnmkd2s7cca2p00x7ny98st1,5774838839,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5774838849,197,26973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823303991,1,34,16,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-06-18T17:23:24.718Z,2025-06-18T18:07:09Z,,,,,5774850479,30,"ebqj8v33xv3otev2pycc6xomh, e0p7anuqsx00gybhm4wnkoesp, 9fpgvc2avj64hiii3wd6w74k, bas4d4drvf8kefls9tszu0oic, 2e3yktcpxvr1dxy2z1z1dolxw, 95h8ci71qugckn045d3rumlm1, bl6vj48jfq2s09w7sezntwgt0, 7mn880d3dieg0qb49tlzx1mfp, 8jb026oewf17pg61vdstcgj4l, 5j2hy92q8f17nppznxrp8kxxx, 4cooeu9zahategmvpj3zdr6xh, 7jv2mo9fes84761ebn6437axg, 59ktumjupjwefkwh3sciw4qac, eswp4t4r8ktirsnkodz26gyui, 7pb4hvyrks628c3cbm1m7105w, 14qiwbaa44dy3quxn0by90wlw, 9e99gi213xgj9ekx62q7c7w2c, 7orfbi07ytn14ir63ji93h79w, 7ljghcaztuhry0jka0gx0x72s, 5l991oj3vxvz34ntdzcw06pec",5774850489,194,5j2hy92q8f17nppznxrp8kxxx,5774850483,59,"25, 2, 13, 21, 24, 3, 22, 10, 20, 4, 7, 19, 97, 99, 30, 18, 14, 95, 98, 49",5774850487,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5774850481,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5774850485,130,8,5774850493,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5774850491,197,16086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310373,2,32,1,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-06-18T18:01:12.133Z,2025-06-18T18:01:12Z,,,,,5774886381,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310375,2,32,1,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-06-18T18:01:12.133Z,2025-06-18T18:01:12Z,,,,,5774886383,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310387,3,1,1,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,50.0,50.0,2025-06-18T18:01:12.134Z,2025-06-18T18:01:16Z,d7fbq3piag375ujo9q9njqq6s,D. Bulgakov,,,5774886449,56,Back,5774886459,279,S,5774886451,140,28.8,5774886455,212,22.3,5774886453,141,50.9,5774886457,213,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310393,4,1,1,0,4,5qxgilg61hlwxzfpdn2nhcayd,0,30.4,50.1,2025-06-18T18:01:16.830Z,2025-06-18T18:01:21Z,5auce3x81f1kwok1aq7m4o2y1,L. Hughes,,,5774886495,212,49.9,5774886491,140,74.0,5774886497,213,0.41,5774886493,141,79.3,5774886487,157,,5774886499,1,,5774886489,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310397,3,1,1,0,9,303582z192rnbr2x28o2t7u38,0,27.1,27.6,2025-06-18T18:01:21.384Z,2025-06-18T18:04:10Z,2e3yktcpxvr1dxy2z1z1dolxw,M. Boamah,,,5774886517,56,Back,5774886525,213,5.53,5774886521,141,15.6,5774889267,3,,5774886519,140,35.4,5774886523,212,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310415,5,1,1,0,11,5qxgilg61hlwxzfpdn2nhcayd,1,67.3,92.3,2025-06-18T18:01:23.573Z,2025-06-18T18:01:28Z,amdo0gvq5yaascwon92mhyaga,E. Mömmö,,,5774886617,212,13.9,5774886613,140,80.5,5774886615,141,93.6,5774886611,56,Left,5774886619,213,0.06,5774886609,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310409,4,83,1,0,14,303582z192rnbr2x28o2t7u38,0,22.3,28.5,2025-06-18T18:01:26.838Z,2025-06-18T18:01:30Z,bl6vj48jfq2s09w7sezntwgt0,L. Möller,,,5774886655,399,udbewp8no8ut63j1nla34ine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310419,6,1,1,0,16,5qxgilg61hlwxzfpdn2nhcayd,0,93.1,90.9,2025-06-18T18:01:28.566Z,2025-06-18T18:01:30Z,udbewp8no8ut63j1nla34ine,A. Sejdiu,,,5774886651,213,4.61,5774886645,140,90.6,5774886643,56,Center,5774886647,141,53.6,5774886649,212,25.5,5774886639,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310421,5,12,1,0,17,303582z192rnbr2x28o2t7u38,1,10.4,43.1,2025-06-18T18:01:29.558Z,2025-06-18T18:01:31Z,2e3yktcpxvr1dxy2z1z1dolxw,M. Boamah,,,5774886665,213,5.09,5774886661,141,0.0,5774886663,212,32.5,5774886657,56,Back,5774886659,140,21.8,5774886671,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310423,6,5,1,0,18,303582z192rnbr2x28o2t7u38,0,17.6,-1.0,2025-06-18T18:01:30.731Z,2025-06-18T18:01:37Z,2e3yktcpxvr1dxy2z1z1dolxw,M. Boamah,,,5774886667,56,Back,5774886669,347,,5774886695,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310427,7,5,1,0,18,5qxgilg61hlwxzfpdn2nhcayd,1,82.4,101.0,2025-06-18T18:01:30.731Z,2025-06-18T18:53:30Z,udbewp8no8ut63j1nla34ine,A. Sejdiu,,,5774886689,233,6,5774886687,347,,5774886685,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310467,8,1,1,0,36,5qxgilg61hlwxzfpdn2nhcayd,1,88.6,100.0,2025-06-18T18:01:48.214Z,2025-06-18T18:01:53Z,amdo0gvq5yaascwon92mhyaga,E. Mömmö,,,5774886867,107,,5774886869,56,Center,5774886871,140,89.9,5774886875,212,18.3,5774886873,141,74.5,5774886877,213,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
