id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/14/value
2815272541,1,34,16,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-05-16T16:01:34.877Z,2025-05-16T17:26:49Z,,,,,5730115307,130,3,5730115309,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730115313,197,9120,5730115303,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5730115315,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730115301,30,"b6uchs6rc43tlb0qj2tw3xzh1, 5skki9qedwo05d1scee0obu1h, 5irotktf4k5ynobf0zugdom0a, doxrlp6910n9l5b5zl8ee73ai, 289f8ysumkm0ilmx2z472cei2, dpegzp0t66wtgyc69v4rj6cyc, aa40go6nrv6mpdny6zdc1jeg9, 7z2gs2b8ccchwf0h92hwx8d90, 5t58neiqhud2d4h64owu8fwiy, 9c2ajg42wya1u4lh1eeye2jo4, 59d5otjevb4zussjofufdg4ph, 1p8qp744v6uor8li9wfcwi0dm, am2lquvihsgkoy18i6f26d1ck, c11fpnugs2ihyqk07ohha54np, 2vvnbkdgeje34aivohozzvm5l, 27tqgrgwe7bvct5ffmr0sqdey, 2yyodldan4gscxb0jjrpkygyy, beq1o3wl29kdr4qtahdij1m21, 3ani6i6zvyyz715jalqfbcvoq, dir0a3gwtnslupca6o36sqvis",5730115305,59,"1, 6, 25, 10, 15, 16, 13, 34, 11, 20, 8, 12, 2, 7, 17, 19, 21, 22, 23, 29",5730115311,194,59d5otjevb4zussjofufdg4ph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815274457,1,34,16,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-05-16T16:05:29.195Z,2025-05-16T17:03:21Z,,,,,5730125857,30,"5auce3x81f1kwok1aq7m4o2y1, 1utcfk5giq7ghp8b2z3u9b27d, amdo0gvq5yaascwon92mhyaga, 5nhh1n77us1h2z5wvx7mt2gpg, 7pnmkd2s7cca2p00x7ny98st1, eexcxuea18xbokvkko1erdffu, 2kbiramhoa1b8k51wtfk5raei, 6k8sy2tikge6yet4o6tqtixux, czl632fkj2mhbgu4jie3bug9h, 49br3gmn71y8pd5wqkfkvrbah, udbewp8no8ut63j1nla34ine, btxgorlt1vhb8f0yt5jvvwg5x, 5k1kwehh9ck6nlqugcurw1yi1, 2shgmz0kct6m0wphe28gq04ix, bj3hdokfgxfrxo4d5231pj5rd, db7sgfeo2hgb5e2s0fa4ue044, 818ngmk0u0iqzv4j93yj97aad, 5ghh71ix7lnta7fz3mp0w0zpx, f2ab1zbzm717i2z80l869obqi, 2fj3f2zy80nbu8p3ryblmioes",5730125867,194,7pnmkd2s7cca2p00x7ny98st1,5730125863,130,8,5730125869,197,22070,5730125865,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730125859,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5730125871,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730125861,59,"1, 4, 18, 19, 3, 15, 7, 6, 9, 10, 99, 17, 64, 8, 13, 21, 66, 12, 2, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299751,2,32,1,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-05-16T17:01:25.421Z,2025-05-16T17:01:25Z,,,,,5730270631,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299755,2,32,1,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-05-16T17:01:25.421Z,2025-05-16T17:01:27Z,,,,,5730270645,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299761,3,1,1,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,50.2,50.1,2025-05-16T17:01:25.422Z,2025-05-16T17:01:29Z,6k8sy2tikge6yet4o6tqtixux,E. Romero,,,5730270691,140,24.4,5730270697,213,3.03,5730270695,212,27.3,5730270689,56,Back,5730270699,279,S,5730270693,141,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299789,4,1,1,0,4,5qxgilg61hlwxzfpdn2nhcayd,0,25.3,54.6,2025-05-16T17:01:29.639Z,2025-05-16T17:01:32Z,5auce3x81f1kwok1aq7m4o2y1,L. Hughes,,,5730270863,213,0.51,5730270857,140,66.7,5730270855,56,Left,5730270865,1,,5730270859,141,90.6,5730270853,157,,5730270861,212,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815302037,53,61,1,0,5,1c7dv8ays675v9kp6a04sd8pq,1,36.8,15.0,2025-05-16T17:01:30.728Z,2025-05-16T17:06:05Z,7z2gs2b8ccchwf0h92hwx8d90,O. Ruoppi,,,5730283457,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299817,5,50,1,0,9,5qxgilg61hlwxzfpdn2nhcayd,1,77.9,91.6,2025-05-16T17:01:34.584Z,2025-05-16T17:51:10Z,amdo0gvq5yaascwon92mhyaga,E. Mömmö,,,5730287553,233,3,5730271051,286,,5730271049,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299803,3,7,1,0,9,1c7dv8ays675v9kp6a04sd8pq,1,22.1,8.4,2025-05-16T17:01:34.585Z,2025-05-16T17:51:10Z,5skki9qedwo05d1scee0obu1h,S. Savolainen,,,5730270969,56,Back,5730287499,285,,5730287515,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299821,5,50,1,0,12,1c7dv8ays675v9kp6a04sd8pq,1,21.7,4.7,2025-05-16T17:01:38.097Z,2025-05-16T17:51:11Z,7z2gs2b8ccchwf0h92hwx8d90,O. Ruoppi,,,5730271061,56,Back,5730271099,233,6,5730271063,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299827,6,7,1,0,12,5qxgilg61hlwxzfpdn2nhcayd,1,78.3,95.3,2025-05-16T17:01:38.098Z,2025-05-16T17:51:11Z,amdo0gvq5yaascwon92mhyaga,E. Mömmö,,,5730271097,286,,5730271089,56,Left,5730271093,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299839,7,1,1,0,14,5qxgilg61hlwxzfpdn2nhcayd,1,72.0,84.8,2025-05-16T17:01:39.656Z,2025-05-16T17:01:41Z,49br3gmn71y8pd5wqkfkvrbah,Lucas Falcão,,,5730271171,140,66.6,5730271177,213,2.58,5730271175,212,6.7,5730271169,56,Left,5730271173,141,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299851,9,1,1,0,16,5qxgilg61hlwxzfpdn2nhcayd,1,72.8,84.5,2025-05-16T17:01:41.856Z,2025-05-16T17:01:43Z,amdo0gvq5yaascwon92mhyaga,E. Mömmö,,,5730271227,56,Left,5730271229,140,79.7,5730271233,212,7.7,5730271231,141,80.6,5730271235,213,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299853,10,50,1,0,17,5qxgilg61hlwxzfpdn2nhcayd,1,81.0,73.4,2025-05-16T17:01:42.976Z,2025-05-16T17:51:11Z,czl632fkj2mhbgu4jie3bug9h,J. Akintunde,,,5730271387,233,6,5730271241,286,,5730271239,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299871,6,7,1,0,17,1c7dv8ays675v9kp6a04sd8pq,1,19.0,26.6,2025-05-16T17:01:42.977Z,2025-05-16T17:51:11Z,289f8ysumkm0ilmx2z472cei2,I. Cissé,,,5730271365,285,,5730271371,233,10,5730271363,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815304331,109,1,1,0,20,1c7dv8ays675v9kp6a04sd8pq,1,26.6,34.4,2025-05-16T17:01:45.870Z,2025-05-16T17:09:22Z,289f8ysumkm0ilmx2z472cei2,I. Cissé,,,5730295969,56,Back,5730295973,141,34.4,5730295971,140,31.9,5730295977,213,0.00,5730295975,212,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299889,7,1,1,0,21,1c7dv8ays675v9kp6a04sd8pq,1,32.8,32.7,2025-05-16T17:01:47.361Z,2025-05-16T17:08:55Z,aa40go6nrv6mpdny6zdc1jeg9,J. Oksanen,,,5730271449,213,5.27,5730271443,140,41.0,5730271441,56,Back,5730271445,141,12.3,5730271447,212,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299897,9,1,1,0,24,1c7dv8ays675v9kp6a04sd8pq,1,41.8,12.8,2025-05-16T17:01:50.417Z,2025-05-16T17:01:51Z,9c2ajg42wya1u4lh1eeye2jo4,M. Toure,,,5730271467,141,1.9,5730271465,140,45.5,5730271471,213,5.20,5730271463,56,Back,5730271469,212,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299911,10,1,1,0,26,1c7dv8ays675v9kp6a04sd8pq,0,45.5,1.9,2025-05-16T17:01:51.543Z,2025-05-16T17:01:53Z,5skki9qedwo05d1scee0obu1h,S. Savolainen,,,5730271543,213,0.17,5730271535,56,Right,5730271537,140,76.1,5730271545,1,,5730271539,141,9.8,5730271541,212,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
