id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/14/value
2795989737,1,34,16,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-04-05T11:05:20.428Z,2025-04-05T13:21:09Z,,,,,5623809059,59,"1, 2, 6, 10, 3, 5, 21, 4, 8, 20, 7, 11, 17, 23, 14, 15, 22, 25, 13, 24",5623809063,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5623809065,194,c9yprnk5bqte686eqdm42oic5,5623809071,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5623809067,197,16086,5623809055,30,"74r7g6wijdghi1dnr994cclp1, e0p7anuqsx00gybhm4wnkoesp, 18p445rm69t2xc13vggv5oueh, 7mn880d3dieg0qb49tlzx1mfp, 95h8ci71qugckn045d3rumlm1, c9yprnk5bqte686eqdm42oic5, bas4d4drvf8kefls9tszu0oic, 5j2hy92q8f17nppznxrp8kxxx, 7198rz1vtgazkeytaltke2noq, 8jb026oewf17pg61vdstcgj4l, 4cooeu9zahategmvpj3zdr6xh, 5qgan4g8ci25xi4v0v5cp0f84, b8510xkwvx1o1bb7bszrgiane, dej8tywq0npvbm25sfgtqur1m, 9e99gi213xgj9ekx62q7c7w2c, 4aoegh7yokqb5ix45ruvqjalm, bl6vj48jfq2s09w7sezntwgt0, ebqj8v33xv3otev2pycc6xomh, 9fpgvc2avj64hiii3wd6w74k, 2e3yktcpxvr1dxy2z1z1dolxw",5623809057,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5623809061,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795990607,1,34,16,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-04-05T11:06:44.875Z,2025-04-05T12:17:50Z,,,,,5623813381,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5623813373,130,13,5623813379,197,22088,5623813369,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5623813371,59,"1, 17, 19, 3, 5, 22, 7, 14, 9, 8, 15, 10, 27, 20, 30, 12, 13, 16, 24, 42",5623813367,30,"5h0xmzqj69qpakvv8b3gfin6d, 7hr8mxix88otsvgitsv184g0k, enc30jhvcxxy3c53muws4gbje, cpxcd9wihjrac0ttpvfzv5kkq, 1vt9w739g9cui1qrjhld5jgt1, bt9canh10jbb5pms11dzi1j2t, a30y638aa4uo6vudqgrcjvpat, 74od0bd25ox7cv2sfmebf72s5, 7wysiv77u3wt6pk31uzzl7dre, 8r3xgvgtysw3a026rrhebyxre, 87xd8a3n7mtk57za6pcc5l5n9, 6yreepfqr0qh9o2mlglzkri6t, dprt62xpys5habrdk1kg6sbu1, 6j8sbzewfzr0kjs2acm6r7tw4, 5msckfem6wvr8h2egmxqgn5zo, a6c8kxkcb77ldh3dpondvd2sq, afacx0e14xrz11u9dnbry92ei, 2ds2jprriwxkden7xw0pvhe51, auivgwfbffghtuzi2i5e9mxw4, cayn625x26mewt9gp2xrmh4ut",5623813375,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5623813377,194,5h0xmzqj69qpakvv8b3gfin6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796028723,2,32,1,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-04-05T12:01:18.190Z,2025-04-05T12:01:18Z,,,,,5624010045,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796028733,2,32,1,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-04-05T12:01:18.190Z,2025-04-05T12:01:20Z,,,,,5624010087,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796028769,3,1,1,0,0,303582z192rnbr2x28o2t7u38,1,49.9,50.0,2025-04-05T12:01:18.191Z,2025-04-05T12:01:21Z,8jb026oewf17pg61vdstcgj4l,T. Pukki,,,5624010309,213,2.62,5624010301,56,Back,5624010311,279,S,5624010303,140,41.4,5624010305,141,57.5,5624010307,212,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796028775,4,1,1,0,2,303582z192rnbr2x28o2t7u38,1,41.4,57.5,2025-04-05T12:01:20.570Z,2025-04-05T12:01:21Z,5j2hy92q8f17nppznxrp8kxxx,A. Ring,,,5624010351,213,4.51,5624010345,140,39.4,5624010347,141,42.4,5624010343,56,Back,5624010349,212,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796028801,5,1,1,0,3,303582z192rnbr2x28o2t7u38,1,39.4,42.4,2025-04-05T12:01:21.434Z,2025-04-05T12:01:23Z,7mn880d3dieg0qb49tlzx1mfp,L. Lingman,,,5624010493,213,4.64,5624010485,56,Back,5624010487,140,38.1,5624010491,212,19.4,5624010489,141,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796028817,6,1,1,0,5,303582z192rnbr2x28o2t7u38,1,38.1,14.0,2025-04-05T12:01:23.289Z,2025-04-05T12:01:24Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5624010583,141,17.9,5624010579,56,Back,5624010581,140,43.4,5624010585,212,6.2,5624010587,213,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796028833,7,1,1,0,6,303582z192rnbr2x28o2t7u38,1,43.4,17.9,2025-04-05T12:01:24.777Z,2025-04-05T12:01:26Z,7mn880d3dieg0qb49tlzx1mfp,L. Lingman,,,5624010675,140,56.2,5624010677,141,7.4,5624010681,213,5.79,5624010673,56,Right,5624010679,212,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796028847,8,1,1,0,8,303582z192rnbr2x28o2t7u38,1,56.2,7.4,2025-04-05T12:01:26.506Z,2025-04-05T12:01:27Z,bas4d4drvf8kefls9tszu0oic,P. Mentu,,,5624010741,141,9.7,5624010743,212,12.5,5624010739,140,44.4,5624010737,56,Back,5624010745,213,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
