id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2802980127,1,34,16,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-04-19T13:07:18.663Z,2025-04-19T13:59:58Z,,,,,5662303251,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5662303261,197,22070,5662303249,30,"5auce3x81f1kwok1aq7m4o2y1, 2fj3f2zy80nbu8p3ryblmioes, 1utcfk5giq7ghp8b2z3u9b27d, 5nhh1n77us1h2z5wvx7mt2gpg, 7pnmkd2s7cca2p00x7ny98st1, eexcxuea18xbokvkko1erdffu, 2kbiramhoa1b8k51wtfk5raei, 818ngmk0u0iqzv4j93yj97aad, 2shgmz0kct6m0wphe28gq04ix, d7fbq3piag375ujo9q9njqq6s, 5k1kwehh9ck6nlqugcurw1yi1, btxgorlt1vhb8f0yt5jvvwg5x, 49br3gmn71y8pd5wqkfkvrbah, 7b39qc7x5gi1c8qaznmygdnmx, db7sgfeo2hgb5e2s0fa4ue044, 65bucpytjsdie0ji2sbyc836c, 5ghh71ix7lnta7fz3mp0w0zpx, e7cov36din7hwsjxovwr5smlm",5662303255,130,8,5662303257,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5662303263,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5662303259,194,7pnmkd2s7cca2p00x7ny98st1,5662303253,59,"1, 30, 4, 19, 3, 15, 7, 66, 8, 16, 64, 17, 10, 11, 21, 26, 12, 5",,,,,,,,,,,,,,,,,,,,,,,,,,
2802987209,1,34,16,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-04-19T13:16:00.458Z,2025-04-19T14:17:00Z,,,,,5662343133,197,20305,5662343125,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5662343131,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5662343127,59,"1, 16, 29, 19, 33, 38, 26, 37, 7, 14, 10, 9, 6, 8, 24, 99, 3, 4, 18",5662343135,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5662504181,194,9rle4eqj5q7d4y7hgu570vgfd,5662343129,130,21,5662343123,30,"91fm2241o9p5nxo84p43tedhx, 33va022bhya45v496wz8usn6y, cn6gncw8nbyds83xx6cxbzrpw, an77jbrily6wipsqhwliubhsl, 9p03mfw1a51fwu8fklock97je, 7r2ifipuieqiar5n00o2j5uj9, 4accnmk8l7khcvpzibgdxjl04, 4votdnyh0srvboatz6a20d5p0, 7wd41kdu78udzrxi9feh2drhm, 9rle4eqj5q7d4y7hgu570vgfd, 61ib1kknf11ab4v4f1magyu39, j4mqmt0lccgzq4nf87ljkoyy, 18e98agfd0xvy161ax3ru08pg, c9987xq26uc7bq68l76clyxud, a1dhi0sqw2yeffewd34n6z7fu, cu75ndbeja7m9o2g789b0h34k, 5lx97p0c2ja9g4vjofjr2o5pl, bse78hbpbf32wr6nboc5zds0k, 80whrqt5ch885cdrzpzlez85w",,,,,,,,,,,,,,,,,,,,,,,,,,
2803023773,2,32,1,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-04-19T14:01:51.419Z,2025-04-19T14:01:51Z,,,,,5662528153,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023779,2,32,1,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-04-19T14:01:51.419Z,2025-04-19T14:01:53Z,,,,,5662528187,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023857,3,1,1,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,50.0,50.0,2025-04-19T14:01:51.420Z,2025-04-19T14:01:58Z,d7fbq3piag375ujo9q9njqq6s,D. Bulgakov,,,5662528613,212,22.6,5662528609,140,29.7,5662528617,279,S,5662528607,56,Back,5662528615,213,2.81,5662528611,141,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023945,4,1,1,0,6,5qxgilg61hlwxzfpdn2nhcayd,1,27.2,85.0,2025-04-19T14:01:58.086Z,2025-04-19T14:02:02Z,eexcxuea18xbokvkko1erdffu,M. Almén,,,5662529015,212,24.2,5662529005,56,Back,5662529017,213,3.80,5662529013,141,63.1,5662529009,140,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023955,5,1,1,0,11,5qxgilg61hlwxzfpdn2nhcayd,0,11.5,60.5,2025-04-19T14:02:02.825Z,2025-04-19T14:02:03Z,5auce3x81f1kwok1aq7m4o2y1,L. Hughes,,,5662529105,141,51.9,5662529115,1,,5662529099,56,Back,5662529111,213,6.13,5662529103,140,46.9,5662529095,157,,5662529107,212,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023993,3,1,1,0,14,cy6zs39z79dcfbr4xzkp38z7q,0,54.2,51.8,2025-04-19T14:02:05.541Z,2025-04-19T14:02:05Z,an77jbrily6wipsqhwliubhsl,A. Paananen,,,5662529369,212,1.4,5662529365,140,55.3,5662529361,56,Center,5662529367,141,50.6,5662529371,213,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024039,6,1,1,0,15,5qxgilg61hlwxzfpdn2nhcayd,0,37.7,60.2,2025-04-19T14:02:06.678Z,2025-04-19T14:02:08Z,d7fbq3piag375ujo9q9njqq6s,D. Bulgakov,,,5662529613,140,33.0,5662529615,141,66.6,5662529621,213,2.42,5662529611,56,Back,5662529617,212,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024185,5,2,1,0,16,cy6zs39z79dcfbr4xzkp38z7q,1,60.4,44.4,2025-04-19T14:02:07.452Z,2025-04-19T14:54:25Z,4votdnyh0srvboatz6a20d5p0,J. Paananen,,,5662530427,7,7wd41kdu78udzrxi9feh2drhm,5662530345,140,74.9,5662530429,56,Center,5662530347,141,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024223,7,55,1,0,16,5qxgilg61hlwxzfpdn2nhcayd,1,28.2,62.8,2025-04-19T14:02:07.453Z,2025-04-19T14:19:20Z,eexcxuea18xbokvkko1erdffu,M. Almén,,,5662530677,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024033,4,43,1,0,17,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-04-19T14:02:08.485Z,2025-04-19T14:02:18Z,4votdnyh0srvboatz6a20d5p0,J. Paananen,,,5662530621,144,8,5662529583,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024685,8,1,1,0,48,5qxgilg61hlwxzfpdn2nhcayd,1,27.7,58.7,2025-04-19T14:02:39.861Z,2025-04-19T14:02:44Z,7pnmkd2s7cca2p00x7ny98st1,N. Friberg,,,5662533141,213,1.60,5662533139,212,16.9,5662533133,56,Back,5662533137,141,83.6,5662533129,5,,5662533135,140,27.3,5662533131,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024813,9,1,1,0,53,5qxgilg61hlwxzfpdn2nhcayd,1,29.2,86.8,2025-04-19T14:02:44.470Z,2025-04-19T14:02:51Z,eexcxuea18xbokvkko1erdffu,M. Almén,,,5662533779,213,0.09,5662533773,141,94.2,5662533769,140,80.5,5662533777,212,54.1,5662533781,1,,5662533765,56,Left,5662533761,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024839,10,1,1,1,0,5qxgilg61hlwxzfpdn2nhcayd,0,94.2,97.2,2025-04-19T14:02:51.493Z,2025-04-19T14:02:53Z,1utcfk5giq7ghp8b2z3u9b27d,J. Houston,,,5662533995,236,,5662533923,212,1.9,5662533915,155,,5662534001,286,,5662533917,56,Left,5662533921,141,94.4,5662533925,213,4.77,5662533919,140,94.3,5662533913,2,5662533997,233,6,,,,,,,,,,,,,,,,,,,,,
2803024845,6,12,1,1,0,cy6zs39z79dcfbr4xzkp38z7q,1,3.9,2.0,2025-04-19T14:02:51.593Z,2025-04-19T14:02:53Z,33va022bhya45v496wz8usn6y,O. Kemppainen,,,5662534011,233,10,5662533957,185,,5662533959,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024879,11,43,1,1,3,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-04-19T14:02:54.918Z,2025-04-19T14:03:11Z,1utcfk5giq7ghp8b2z3u9b27d,J. Houston,,,5662534257,73,0,5662535627,144,6,5662534253,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024899,7,5,1,1,4,cy6zs39z79dcfbr4xzkp38z7q,0,5.1,-1.6,2025-04-19T14:02:55.972Z,2025-04-19T14:03:13Z,33va022bhya45v496wz8usn6y,O. Kemppainen,,,5662534293,56,Back,5662534927,233,12,5662535779,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024981,12,5,1,1,4,5qxgilg61hlwxzfpdn2nhcayd,1,94.9,101.6,2025-04-19T14:02:55.972Z,2025-04-19T14:53:06Z,1utcfk5giq7ghp8b2z3u9b27d,J. Houston,,,5662535793,347,,5662534693,56,Left,5662534923,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803025091,13,1,1,1,10,5qxgilg61hlwxzfpdn2nhcayd,1,94.0,100.0,2025-04-19T14:03:02.325Z,2025-04-19T14:03:07Z,1utcfk5giq7ghp8b2z3u9b27d,J. Houston,,,5662535253,213,4.61,5662535245,56,Left,5662535247,140,93.3,5662535251,212,7.5,5662535243,107,,5662535249,141,90.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
