id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/15/value
2823268471,1,34,16,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-06-18T13:10:15.428Z,2025-06-18T14:06:02Z,,,,,5774649409,30,"5h0xmzqj69qpakvv8b3gfin6d, bt9canh10jbb5pms11dzi1j2t, 7hr8mxix88otsvgitsv184g0k, cpxcd9wihjrac0ttpvfzv5kkq, 2ds2jprriwxkden7xw0pvhe51, 1vt9w739g9cui1qrjhld5jgt1, a30y638aa4uo6vudqgrcjvpat, 74od0bd25ox7cv2sfmebf72s5, dprt62xpys5habrdk1kg6sbu1, 5msckfem6wvr8h2egmxqgn5zo, 87xd8a3n7mtk57za6pcc5l5n9, 8r3xgvgtysw3a026rrhebyxre, 6yreepfqr0qh9o2mlglzkri6t, 6aoswcs32ubpn2g50tqcopg5w, dwykh0u3d3shtklz3yfrev8d0, a6c8kxkcb77ldh3dpondvd2sq, 3h900ulsj68bktnzbti1jvr6y, auivgwfbffghtuzi2i5e9mxw4, cayn625x26mewt9gp2xrmh4ut",5774649417,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5774649413,59,"1, 22, 17, 3, 16, 5, 7, 14, 27, 30, 15, 8, 10, 18, 72, 12, 21, 24, 42",5774649415,130,13,5774649419,194,5h0xmzqj69qpakvv8b3gfin6d,5774649421,197,22088,5774649423,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5774649411,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2823269989,1,34,16,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-06-18T13:20:28.965Z,2025-06-18T14:09:40Z,,,,,5774658383,197,22108,5774658371,30,"dssxj3ymyofvhfjgmpg1ftuga, ag78l8kpc7icq4payr6mgyej8, 2qks3nbpd8o6igkqjl9e4po4q, f2qohaex1g5tvz10leo2ia6s, 17p2jqe16w5j9qh5f8yr80g7o, czynssza36ggpaezb0i14si22, 93961wszqaocy96z45j4a232s, bmbdwons7wudqebn3o3flm19l, dytql3b2co1cst72z5qf879pl, ayl3txfejfa46xvwnzzd76vze, 7glr1eur910fj5b5fg743job9, 9tz8pzof2v3ktjwsyt3gl18gk, 9f9rakq22c75ur58uel80f7ys, ciursygt8i2deeszjdebb28yx, e9tx4ca2kjj4kj9vm70fv2p04, 6l2pjfuvjdnb6vkv4b0eb8mc4, 1vw6twdjys1rwby79jsf92tck, oqudbhzm03z0sfh8tw4qoqhg, 23ngtx061omtotnlvbzlgd3bo, 9ykuo0c905u48vd44wxgb6jth",5774658385,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5774658377,130,8,5774658375,59,"80, 6, 3, 18, 5, 28, 70, 8, 9, 10, 7, 11, 17, 19, 30, 33, 25, 2, 16, 67",5774658379,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5774658373,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5774658381,194,7glr1eur910fj5b5fg743job9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823273611,2,32,1,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-06-18T14:00:50.672Z,2025-06-18T14:00:51Z,,,,,5774680207,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823273609,2,32,1,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-06-18T14:00:50.672Z,2025-06-18T14:00:50Z,,,,,5774680205,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823273621,3,1,1,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,50.0,50.0,2025-06-18T14:00:50.673Z,2025-06-18T14:00:52Z,dytql3b2co1cst72z5qf879pl,J. Streng,,,5774680245,141,48.4,5774680249,213,3.23,5774680241,56,Back,5774680243,140,38.9,5774680251,279,S,5774680247,212,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823273623,4,1,1,0,1,ea3yd0dgq6uy6pupkpn17j5xg,1,37.3,49.4,2025-06-18T14:00:52.161Z,2025-06-18T14:00:53Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5774680261,212,12.4,5774680259,141,66.7,5774680255,56,Back,5774680263,213,1.88,5774680257,140,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823273633,5,1,1,0,3,ea3yd0dgq6uy6pupkpn17j5xg,1,36.7,67.6,2025-06-18T14:00:53.810Z,2025-06-18T14:00:56Z,f2qohaex1g5tvz10leo2ia6s,M. Arsalo,,,5774680307,140,34.6,5774680313,213,1.69,5774680309,141,94.8,5774680305,56,Back,5774680311,212,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823273637,6,1,1,0,6,ea3yd0dgq6uy6pupkpn17j5xg,1,35.6,90.2,2025-06-18T14:00:56.849Z,2025-06-18T14:00:58Z,2qks3nbpd8o6igkqjl9e4po4q,Babacar Fati,,,5774680331,56,Back,5774680337,212,9.6,5774680333,140,39.3,5774680339,213,5.13,5774680335,141,77.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823273639,7,1,1,0,7,ea3yd0dgq6uy6pupkpn17j5xg,1,39.2,77.8,2025-06-18T14:00:58.305Z,2025-06-18T14:00:59Z,f2qohaex1g5tvz10leo2ia6s,M. Arsalo,,,5774680347,141,92.4,5774680351,213,2.23,5774680343,56,Back,5774680349,212,12.6,5774680345,140,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823273645,8,1,1,0,9,ea3yd0dgq6uy6pupkpn17j5xg,1,31.9,89.4,2025-06-18T14:00:59.697Z,2025-06-18T14:01:02Z,2qks3nbpd8o6igkqjl9e4po4q,Babacar Fati,,,5774680377,212,12.2,5774680375,141,82.6,5774680379,213,3.53,5774680373,140,21.1,5774680371,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
