id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2799527201,1,34,16,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-04-12T10:41:50.038Z,2025-04-12T11:27:16Z,,,,,5643282461,59,"1, 13, 19, 3, 5, 22, 20, 14, 9, 8, 7, 10, 27, 15, 17, 30, 12, 16, 24, 42",5643282469,197,22088,5643282465,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5643282463,130,13,5643282459,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5643282457,30,"5h0xmzqj69qpakvv8b3gfin6d, afacx0e14xrz11u9dnbry92ei, enc30jhvcxxy3c53muws4gbje, cpxcd9wihjrac0ttpvfzv5kkq, 1vt9w739g9cui1qrjhld5jgt1, bt9canh10jbb5pms11dzi1j2t, 6j8sbzewfzr0kjs2acm6r7tw4, 74od0bd25ox7cv2sfmebf72s5, 7wysiv77u3wt6pk31uzzl7dre, 8r3xgvgtysw3a026rrhebyxre, a30y638aa4uo6vudqgrcjvpat, 6yreepfqr0qh9o2mlglzkri6t, dprt62xpys5habrdk1kg6sbu1, 87xd8a3n7mtk57za6pcc5l5n9, 7hr8mxix88otsvgitsv184g0k, 5msckfem6wvr8h2egmxqgn5zo, a6c8kxkcb77ldh3dpondvd2sq, 2ds2jprriwxkden7xw0pvhe51, auivgwfbffghtuzi2i5e9mxw4, cayn625x26mewt9gp2xrmh4ut",5643282471,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5643282467,194,5h0xmzqj69qpakvv8b3gfin6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799527495,1,34,16,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-04-12T10:42:48.690Z,2025-04-12T11:33:44Z,,,,,5643284113,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5643284125,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5643284121,194,4y7niu1b8drpeccb84s2e9wwl,5643284111,30,"66zsjkvxs4cbh9u63hk273t1x, cbceals9gkfqlywg94zzzlgb9, dtdqh03syykiv1cjstn2lhkvd, dcv2hunon4wgijgt4kljtqxg5, 6iaszy97sphbfkhfxdwd93g15, 3cmp95fpjtqoc5njb5p7c9g8a, 80115v2kkgjym3ubywmkz654a, 5pa2n5nlvexr6z7nu65uz0qqy, a3elaln9izarzlwqkwc4ynpey, d7od1kij5jchngdcwlvls0max, 4y7niu1b8drpeccb84s2e9wwl, enlu96e156ahwhmdk0482kzfu, 7x14tbg2brvxi5g9jdbovp8gk, crqntc3sy05jsblgk90gymhn9, 7e8irrii6ddjjaex00kq8cand, 3tghlj82y0zzojxphfc1wrehg, eqyduvucdtgotv6p284g7mal0, a4kgoyzoedberugc14zrtv55h, ewhh39na34kvumaw7zfbh228l, 3bu3igsdqg8atj5pailbof76c",5643284115,59,"13, 9, 21, 6, 4, 3, 42, 40, 95, 66, 10, 7, 11, 24, 16, 17, 77, 25, 2, 20",5643284123,197,26791,5643284119,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5643284117,130,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799549547,2,32,1,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-04-12T11:30:39.883Z,2025-04-12T11:30:40Z,,,,,5643394925,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799549553,2,32,1,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-04-12T11:30:39.883Z,2025-04-12T11:30:42Z,,,,,5643394941,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799549597,3,1,1,0,0,7efqk7uh63928il0yffxijnv7,1,49.7,50.1,2025-04-12T11:30:39.884Z,2025-04-12T11:30:42Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5643395163,213,3.14,5643395155,56,Back,5643395159,141,50.3,5643395157,140,26.0,5643395161,212,24.9,5643395165,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799549657,4,1,1,0,2,7efqk7uh63928il0yffxijnv7,1,25.7,43.1,2025-04-12T11:30:42.830Z,2025-04-12T11:30:46Z,dcv2hunon4wgijgt4kljtqxg5,J. Brunell,,,5643395461,213,5.79,5643395453,56,Back,5643395457,141,27.0,5643395459,212,23.3,5643395455,140,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799549709,5,1,1,0,6,7efqk7uh63928il0yffxijnv7,1,46.9,25.0,2025-04-12T11:30:46.623Z,2025-04-12T11:30:51Z,5pa2n5nlvexr6z7nu65uz0qqy,R. Polley,,,5643395775,213,1.37,5643395771,141,86.8,5643395767,56,Left,5643395773,212,42.9,5643395765,196,,5643395769,140,55.0,5643395763,155,,5643395777,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799549733,6,1,1,0,11,7efqk7uh63928il0yffxijnv7,1,57.2,94.1,2025-04-12T11:30:51.501Z,2025-04-12T11:30:53Z,dtdqh03syykiv1cjstn2lhkvd,J. Myrevik,,,5643395891,56,Back,5643395895,140,42.2,5643395909,213,3.35,5643395905,212,16.1,5643395899,141,89.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799549803,7,1,1,0,13,7efqk7uh63928il0yffxijnv7,1,43.3,88.6,2025-04-12T11:30:53.517Z,2025-04-12T11:30:58Z,3cmp95fpjtqoc5njb5p7c9g8a,E. Gunnarsson,,,5643396257,212,10.1,5643396253,140,46.8,5643396255,141,74.8,5643396259,213,5.09,5643396251,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799557455,86,83,1,0,18,2rdnn9p03qrmmv34tyx1nahpa,1,53.1,35.2,2025-04-12T11:30:58.129Z,2025-04-12T11:39:46Z,8r3xgvgtysw3a026rrhebyxre,M. Stjopin,,,5643439585,399,80115v2kkgjym3ubywmkz654a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799549847,4,45,1,0,18,2rdnn9p03qrmmv34tyx1nahpa,0,55.0,37.4,2025-04-12T11:30:58.278Z,2025-04-12T12:27:29Z,a30y638aa4uo6vudqgrcjvpat,J. Veteli,,,5643396519,285,,5643396555,233,8,5643396513,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799549821,8,3,1,0,18,7efqk7uh63928il0yffxijnv7,1,45.0,62.6,2025-04-12T11:30:58.278Z,2025-04-12T12:27:28Z,80115v2kkgjym3ubywmkz654a,M. Kusu,,,5643396365,286,,5643396525,233,4,5643396363,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799549811,3,43,1,0,18,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-04-12T11:30:58.583Z,2025-04-12T11:40:20Z,6j8sbzewfzr0kjs2acm6r7tw4,O. Tiitinen,,,5643396455,399,80115v2kkgjym3ubywmkz654a,5643443417,144,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799549825,9,1,1,0,19,7efqk7uh63928il0yffxijnv7,1,46.3,57.8,2025-04-12T11:30:59.117Z,2025-04-12T11:31:03Z,80115v2kkgjym3ubywmkz654a,M. Kusu,,,5643396399,140,35.7,5643396403,212,23.5,5643396405,213,4.22,5643396401,141,27.4,5643396397,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
