id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2799542491,1,34,16,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-04-12T11:18:40.887Z,2025-04-12T11:59:03Z,,,,,5643361111,194,cikb5rw9wtq5th334wj89dhey,5643361103,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5643361105,59,"32, 35, 33, 6, 4, 14, 16, 20, 7, 8, 10, 15, 18, 21, 43, 80, 28, 30",5643361109,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5643361101,30,"cikb5rw9wtq5th334wj89dhey, 64pptq46unjnsxn6wc3avhtec, 3xtbzw2dg5my9jn99xqh5gdpm, 10qxrh1rh7uyhtm3scj8glqs, 2lsv3xzudv78cddzsvl76zgx6, eyxig53mzy4qlf208vpchs7is, 4zizd9804wk2k5v0l7ph0u0kq, 36gi7l0qvkbru5w6v2nym00ve, 46ums24te70jl5qclztg8xhwp, u8remrfu8ug41xu71brhukmh, 1iyf79yql5sm8m6i8nwxntsve, bboslspmgrlysvtol90dpfzzd, f5f9sfvtizyppg8kqtmp9y3ca, 1nysj6xb60fhhjhtle8pakbo4, 8v9ms04dm6d99xb9lt5qdk74k, eklpacb4xe0yb13zxi642gys4, 8tzmahdp1kkbot7nulpirqhh, b7594v117himyndjrpkval8us",5643361115,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5643361107,130,8,5643361113,197,23737,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799542619,1,34,16,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-04-12T11:18:51.741Z,2025-04-12T12:04:58Z,,,,,5643361675,30,"5auce3x81f1kwok1aq7m4o2y1, 2fj3f2zy80nbu8p3ryblmioes, amdo0gvq5yaascwon92mhyaga, d7fbq3piag375ujo9q9njqq6s, 7pnmkd2s7cca2p00x7ny98st1, eexcxuea18xbokvkko1erdffu, 5nhh1n77us1h2z5wvx7mt2gpg, 6k8sy2tikge6yet4o6tqtixux, 2shgmz0kct6m0wphe28gq04ix, 2kbiramhoa1b8k51wtfk5raei, 5k1kwehh9ck6nlqugcurw1yi1, btxgorlt1vhb8f0yt5jvvwg5x, 49br3gmn71y8pd5wqkfkvrbah, 7b39qc7x5gi1c8qaznmygdnmx, db7sgfeo2hgb5e2s0fa4ue044, 818ngmk0u0iqzv4j93yj97aad, 5ghh71ix7lnta7fz3mp0w0zpx, e7cov36din7hwsjxovwr5smlm",5643361683,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5643361685,194,7pnmkd2s7cca2p00x7ny98st1,5643361677,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5643361687,197,22070,5643361689,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5643361681,130,4,5643361679,59,"1, 30, 18, 16, 3, 15, 19, 6, 8, 7, 64, 17, 10, 11, 21, 66, 12, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2799577431,2,32,1,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-04-12T12:02:11.141Z,2025-04-12T12:02:11Z,,,,,5643541199,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799577439,2,32,1,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-04-12T12:02:11.141Z,2025-04-12T12:02:13Z,,,,,5643541227,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799577487,3,1,1,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,49.9,50.1,2025-04-12T12:02:11.142Z,2025-04-12T12:02:15Z,d7fbq3piag375ujo9q9njqq6s,D. Bulgakov,,,5643541517,279,S,5643541513,212,21.6,5643541507,56,Back,5643541515,213,2.83,5643541511,141,59.7,5643541509,140,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799577525,4,1,1,0,3,5qxgilg61hlwxzfpdn2nhcayd,1,30.3,60.2,2025-04-12T12:02:15.032Z,2025-04-12T12:02:17Z,eexcxuea18xbokvkko1erdffu,M. Almén,,,5643541735,140,31.4,5643541733,56,Back,5643541737,141,36.9,5643541739,212,15.9,5643541741,213,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799577577,5,1,1,0,6,5qxgilg61hlwxzfpdn2nhcayd,1,33.8,34.0,2025-04-12T12:02:17.644Z,2025-04-12T12:02:20Z,7pnmkd2s7cca2p00x7ny98st1,N. Friberg,,,5643541965,140,32.9,5643541971,213,1.62,5643541963,56,Back,5643541967,141,63.9,5643541969,212,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799577639,6,1,1,0,9,5qxgilg61hlwxzfpdn2nhcayd,1,38.3,61.4,2025-04-12T12:02:20.556Z,2025-04-12T12:02:23Z,eexcxuea18xbokvkko1erdffu,M. Almén,,,5643542299,140,43.9,5643542305,213,0.31,5643542303,212,6.2,5643542301,141,64.2,5643542297,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799577685,7,1,1,0,12,5qxgilg61hlwxzfpdn2nhcayd,1,44.3,61.8,2025-04-12T12:02:23.709Z,2025-04-12T12:02:26Z,5nhh1n77us1h2z5wvx7mt2gpg,A. Okyere,,,5643542545,212,16.6,5643542543,141,41.9,5643542539,56,Back,5643542541,140,35.2,5643542549,213,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799577725,8,1,1,0,15,5qxgilg61hlwxzfpdn2nhcayd,1,35.2,41.9,2025-04-12T12:02:26.220Z,2025-04-12T12:02:29Z,7pnmkd2s7cca2p00x7ny98st1,N. Friberg,,,5643542729,212,18.3,5643542725,140,35.6,5643542723,56,Back,5643542727,141,68.8,5643542731,213,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
