id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/18/id,qualifier/18/qualifierId
2802982527,1,34,16,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-04-19T13:10:20.427Z,2025-04-19T13:57:21Z,,,,,5662316597,194,5h0xmzqj69qpakvv8b3gfin6d,5662316589,130,13,5662316593,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5662316585,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5662316601,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5662316599,197,22088,5662316587,59,"1, 13, 19, 3, 5, 16, 7, 14, 10, 15, 8, 9, 27, 17, 20, 30, 12, 24, 42",5662316583,30,"5h0xmzqj69qpakvv8b3gfin6d, afacx0e14xrz11u9dnbry92ei, enc30jhvcxxy3c53muws4gbje, cpxcd9wihjrac0ttpvfzv5kkq, 1vt9w739g9cui1qrjhld5jgt1, 2ds2jprriwxkden7xw0pvhe51, a30y638aa4uo6vudqgrcjvpat, 74od0bd25ox7cv2sfmebf72s5, 6yreepfqr0qh9o2mlglzkri6t, 87xd8a3n7mtk57za6pcc5l5n9, 8r3xgvgtysw3a026rrhebyxre, 7wysiv77u3wt6pk31uzzl7dre, dprt62xpys5habrdk1kg6sbu1, 7hr8mxix88otsvgitsv184g0k, 6j8sbzewfzr0kjs2acm6r7tw4, 5msckfem6wvr8h2egmxqgn5zo, a6c8kxkcb77ldh3dpondvd2sq, auivgwfbffghtuzi2i5e9mxw4, cayn625x26mewt9gp2xrmh4ut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802982747,1,34,16,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-04-19T13:10:32.672Z,2025-04-19T14:20:14Z,,,,,5662317767,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5662317763,194,c5oixwvc8sk4fxliorsk7a311,5662317759,130,8,5662317755,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5662317761,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5662317765,197,18887,5662317753,30,"eomg9p2mo39ce40d1elkxerpx, 9bd4vf4tdzfipobqzp2r7gbft, byudescfxvi1kxlpncbv0mymt, c538ewmcaz4z73gcftzedbob9, 8igk37zt3ixjxdtr1t9kwfnit, c5oixwvc8sk4fxliorsk7a311, 4lgvhmh5otjikwqiwbc2yu8kp, ro21tqqaeslyebto6ukon5zo, 4m7qbjhm8zl0z7px053siv6j9, btr893a8ljoe8av97ji8kwr11, 7dvn6m2z49c2n1ev0o9rvk93o, 11xqkd2im28nwotbqeuhflcd1, apryim5dle6o29qp6hpio06sq, 23yj26f5kapxyx90glndxs3kk, 1ds8j4s1h4fydkkhl9qe9l5yi, 1nww1pe0ouxnuwt8q9zy4xrmc, 5wtugxjwq7fvbeqcak5j5l5nt, dl6lfojhwzis2gboqxonxu904, 2c4lqno6q9hrin5ywos5rt9uc, 8bk1u1zlolcgphg6dwdezdre",5662317757,59,"1, 26, 21, 37, 17, 4, 11, 5, 10, 9, 77, 7, 8, 19, 15, 18, 23, 33, 2, 14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022181,2,32,1,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-04-19T14:00:16.634Z,2025-04-19T14:00:19Z,,,,,5662520407,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022171,2,32,1,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-04-19T14:00:16.634Z,2025-04-19T14:00:22Z,,,,,5662520339,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022187,3,1,1,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,50.1,50.0,2025-04-19T14:00:16.744Z,2025-04-19T14:00:20Z,74od0bd25ox7cv2sfmebf72s5,A. Popovitš,,,5662520441,279,S,5662520439,213,3.22,5662520435,141,46.9,5662520431,56,Back,5662520437,212,26.8,5662520433,140,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022279,4,1,1,0,3,2rdnn9p03qrmmv34tyx1nahpa,1,24.7,46.9,2025-04-19T14:00:20.305Z,2025-04-19T14:00:24Z,1vt9w739g9cui1qrjhld5jgt1,S. Väisänen,,,5662520867,56,Left,5662520863,155,,5662520871,141,88.3,5662520875,213,0.49,5662520869,140,74.4,5662520873,212,59.3,5662520877,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022325,5,1,1,0,6,2rdnn9p03qrmmv34tyx1nahpa,0,74.0,89.0,2025-04-19T14:00:23.504Z,2025-04-19T14:03:28Z,enc30jhvcxxy3c53muws4gbje,O. Jukkola,,,5662521099,213,5.31,5662521087,56,Center,5662521083,157,,5662521095,141,72.7,5662521091,140,81.2,5662521101,1,,5662521097,212,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022505,5,12,1,0,7,8sy0cxovuxo76tuoas3uo55xj,1,15.6,14.9,2025-04-19T14:00:24.003Z,2025-04-19T14:03:54Z,9bd4vf4tdzfipobqzp2r7gbft,M. Paavola,,,5662538863,15,,5662521895,212,1.4,5662521891,140,16.7,5662521893,141,13.7,5662521897,213,5.67,5662521889,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022373,6,44,1,0,12,2rdnn9p03qrmmv34tyx1nahpa,1,75.0,80.5,2025-04-19T14:00:29.328Z,2025-04-19T15:54:10Z,87xd8a3n7mtk57za6pcc5l5n9,L. Ala-Myllymäki,,,5662521347,56,Left,5662521397,233,4,5662521349,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022383,4,44,1,0,12,8sy0cxovuxo76tuoas3uo55xj,0,25.0,19.5,2025-04-19T14:00:29.329Z,2025-04-19T15:54:10Z,ro21tqqaeslyebto6ukon5zo,A. Wilson,,,5662521377,285,,5662521375,56,Back,5662521435,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
