id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,qualifier/10/value,qualifier/16/value
2799871555,1,34,16,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-04-12T15:27:33.407Z,2025-04-12T16:37:03Z,,,,,5645081309,59,"1, 6, 32, 16, 23, 15, 13, 8, 11, 34, 10, 19, 20, 21, 7, 17, 18, 12, 2, 29",5645081307,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5645081327,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5645081321,197,9120,5645081313,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5645081311,130,12,5645081305,30,"b6uchs6rc43tlb0qj2tw3xzh1, 5skki9qedwo05d1scee0obu1h, 6r9gyu0ks64c9z4kfsfjj105w, dpegzp0t66wtgyc69v4rj6cyc, 3ani6i6zvyyz715jalqfbcvoq, 289f8ysumkm0ilmx2z472cei2, aa40go6nrv6mpdny6zdc1jeg9, 59d5otjevb4zussjofufdg4ph, 5t58neiqhud2d4h64owu8fwiy, 7z2gs2b8ccchwf0h92hwx8d90, doxrlp6910n9l5b5zl8ee73ai, 27tqgrgwe7bvct5ffmr0sqdey, 9c2ajg42wya1u4lh1eeye2jo4, 2yyodldan4gscxb0jjrpkygyy, c11fpnugs2ihyqk07ohha54np, 2vvnbkdgeje34aivohozzvm5l, 6bci7uqkdfkqzfyp3kq9lh3pw, 1p8qp744v6uor8li9wfcwi0dm, am2lquvihsgkoy18i6f26d1ck, dir0a3gwtnslupca6o36sqvis",5645081317,194,59d5otjevb4zussjofufdg4ph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799874877,1,34,16,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-04-12T15:29:22.203Z,2025-04-12T16:28:05Z,,,,,5645099465,59,"1, 16, 29, 4, 38, 33, 8, 24, 9, 10, 14, 7, 11, 37, 17, 19, 26, 99, 18, 27",5645099473,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5645099463,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5645099487,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5645099467,130,17,5645099461,30,"91fm2241o9p5nxo84p43tedhx, 33va022bhya45v496wz8usn6y, cn6gncw8nbyds83xx6cxbzrpw, bse78hbpbf32wr6nboc5zds0k, 7r2ifipuieqiar5n00o2j5uj9, 9p03mfw1a51fwu8fklock97je, c9987xq26uc7bq68l76clyxud, a1dhi0sqw2yeffewd34n6z7fu, j4mqmt0lccgzq4nf87ljkoyy, 61ib1kknf11ab4v4f1magyu39, 9rle4eqj5q7d4y7hgu570vgfd, 7wd41kdu78udzrxi9feh2drhm, emm3t5nn22co95xzp49nie9lg, 4votdnyh0srvboatz6a20d5p0, 2iff45qvldope3itiwthnvgx6, an77jbrily6wipsqhwliubhsl, 4accnmk8l7khcvpzibgdxjl04, cu75ndbeja7m9o2g789b0h34k, 80whrqt5ch885cdrzpzlez85w, c3fc1hxuhutchilwclikdzoyc",5645099477,194,7r2ifipuieqiar5n00o2j5uj9,5645099481,197,20305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799951761,2,32,1,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-04-12T16:23:33.294Z,2025-04-12T16:23:35Z,,,,,5645511039,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799951749,2,32,1,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-04-12T16:23:33.294Z,2025-04-12T16:23:33Z,,,,,5645510983,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799951829,3,1,1,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,49.8,50.0,2025-04-12T16:23:33.295Z,2025-04-12T16:23:37Z,j4mqmt0lccgzq4nf87ljkoyy,J. Rennicks,,,5645511385,140,30.4,5645511399,213,3.06,5645511391,141,52.5,5645511395,212,20.4,5645511401,279,S,5645511381,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799951853,4,1,1,0,4,cy6zs39z79dcfbr4xzkp38z7q,1,30.4,52.5,2025-04-12T16:23:37.390Z,2025-04-12T16:23:39Z,7r2ifipuieqiar5n00o2j5uj9,L. Bergsma,,,5645511541,56,Back,5645511551,212,19.5,5645511547,141,23.9,5645511555,213,4.81,5645511545,140,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799951879,5,1,1,0,6,cy6zs39z79dcfbr4xzkp38z7q,1,32.2,23.9,2025-04-12T16:23:39.791Z,2025-04-12T16:23:41Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,,5645511679,140,38.2,5645511677,56,Back,5645511681,141,8.8,5645511685,213,5.26,5645511683,212,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799951903,6,1,1,0,8,cy6zs39z79dcfbr4xzkp38z7q,1,38.3,8.8,2025-04-12T16:23:41.310Z,2025-04-12T16:23:43Z,33va022bhya45v496wz8usn6y,O. Kemppainen,,,5645511793,56,Back,5645511799,212,8.9,5645511797,141,21.8,5645511801,213,1.64,5645511795,140,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799951937,7,1,1,0,9,cy6zs39z79dcfbr4xzkp38z7q,0,37.7,21.8,2025-04-12T16:23:42.863Z,2025-04-12T17:14:56Z,c9987xq26uc7bq68l76clyxud,M. Ojala,,,5645511959,141,11.3,5645511957,140,74.5,5645511961,212,39.3,5645511963,213,6.10,5645511955,56,Right,5645789755,155,,5645511965,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799951945,3,61,1,0,12,1c7dv8ays675v9kp6a04sd8pq,0,18.8,86.0,2025-04-12T16:23:45.395Z,2025-04-12T16:23:45Z,dpegzp0t66wtgyc69v4rj6cyc,S. Miettinen,,,5645511993,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
