id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/8/value,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2807803817,1,34,16,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-04-28T15:05:42.174Z,2025-04-28T15:05:41Z,,,,,5688687953,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5688687959,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5688687961,194,bmbdwons7wudqebn3o3flm19l,5688687951,30,"dcv3bj7tkpb8of9xh3br2510q, ag78l8kpc7icq4payr6mgyej8, 2qks3nbpd8o6igkqjl9e4po4q, ayl3txfejfa46xvwnzzd76vze, 17p2jqe16w5j9qh5f8yr80g7o, czynssza36ggpaezb0i14si22, bmbdwons7wudqebn3o3flm19l, f2qohaex1g5tvz10leo2ia6s, 1coz8r44qcr2aau1u09888i6s, 93961wszqaocy96z45j4a232s, 9tz8pzof2v3ktjwsyt3gl18gk, 7glr1eur910fj5b5fg743job9, dytql3b2co1cst72z5qf879pl, bxd2pse7enn5c11fu8jlqjcwk, 9f9rakq22c75ur58uel80f7ys, ciursygt8i2deeszjdebb28yx, e9tx4ca2kjj4kj9vm70fv2p04, 6l2pjfuvjdnb6vkv4b0eb8mc4, dssxj3ymyofvhfjgmpg1ftuga",5688687963,197,22108,5688687955,59,"1, 6, 3, 10, 5, 28, 8, 18, 21, 70, 11, 7, 9, 15, 17, 19, 30, 33, 80",5688687965,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5688687957,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807805849,1,34,16,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-04-28T15:12:10.271Z,2025-04-28T16:03:41Z,,,,,5688699553,194,7pnmkd2s7cca2p00x7ny98st1,5688699543,30,"5auce3x81f1kwok1aq7m4o2y1, 2fj3f2zy80nbu8p3ryblmioes, 1utcfk5giq7ghp8b2z3u9b27d, 5nhh1n77us1h2z5wvx7mt2gpg, 7pnmkd2s7cca2p00x7ny98st1, eexcxuea18xbokvkko1erdffu, 2kbiramhoa1b8k51wtfk5raei, 818ngmk0u0iqzv4j93yj97aad, 2shgmz0kct6m0wphe28gq04ix, 49br3gmn71y8pd5wqkfkvrbah, d7fbq3piag375ujo9q9njqq6s, btxgorlt1vhb8f0yt5jvvwg5x, 5k1kwehh9ck6nlqugcurw1yi1, 7b39qc7x5gi1c8qaznmygdnmx, amdo0gvq5yaascwon92mhyaga, db7sgfeo2hgb5e2s0fa4ue044, 65bucpytjsdie0ji2sbyc836c, 5ghh71ix7lnta7fz3mp0w0zpx, e7cov36din7hwsjxovwr5smlm, f2ab1zbzm717i2z80l869obqi",5688699549,130,8,5688699551,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5688699547,59,"1, 30, 4, 19, 3, 15, 7, 66, 8, 10, 16, 17, 64, 11, 18, 21, 26, 12, 5, 2",5688699555,197,22070,5688699545,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5688699557,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807818963,2,32,1,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-04-28T16:00:50.673Z,2025-04-28T16:00:50Z,,,,,5688777323,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807818967,2,32,1,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-04-28T16:00:50.673Z,2025-04-28T16:00:52Z,,,,,5688777327,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807818979,3,1,1,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,50.0,50.0,2025-04-28T16:00:50.778Z,2025-04-28T16:03:20Z,818ngmk0u0iqzv4j93yj97aad,R. Selander,,,5688777453,213,3.30,5688777451,212,25.2,5688777449,141,44.2,5688777455,279,S,5688777447,140,26.3,5688777445,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807818997,4,1,1,0,3,5qxgilg61hlwxzfpdn2nhcayd,0,26.8,44.2,2025-04-28T16:00:54.220Z,2025-04-28T16:00:59Z,5auce3x81f1kwok1aq7m4o2y1,L. Hughes,,,5688777531,140,78.7,5688777527,56,Center,5688777539,1,,5688777533,141,66.6,5688777537,213,0.27,5688777535,212,56.6,5688777523,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807818995,3,44,1,0,7,ea3yd0dgq6uy6pupkpn17j5xg,1,20.0,33.3,2025-04-28T16:00:57.988Z,2025-04-28T16:04:08Z,17p2jqe16w5j9qh5f8yr80g7o,O. Väistö,,,5688777597,233,5,5688777519,56,Back,5688777521,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819001,5,44,1,0,7,5qxgilg61hlwxzfpdn2nhcayd,0,80.0,66.7,2025-04-28T16:00:57.989Z,2025-04-28T16:04:08Z,2shgmz0kct6m0wphe28gq04ix,S. Lindholm,,,5688777555,56,Center,5688777603,233,3,5688777557,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819003,4,12,1,0,7,ea3yd0dgq6uy6pupkpn17j5xg,1,17.9,35.8,2025-04-28T16:00:58.420Z,2025-04-28T16:01:01Z,17p2jqe16w5j9qh5f8yr80g7o,O. Väistö,,,5688777585,15,,5688777561,140,13.5,5688777567,213,4.42,5688777559,56,Back,5688777563,141,13.4,5688777565,212,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819025,6,1,1,0,10,ea3yd0dgq6uy6pupkpn17j5xg,1,13.5,13.4,2025-04-28T16:01:00.819Z,2025-04-28T16:01:02Z,93961wszqaocy96z45j4a232s,A. Vargas,,,5688777703,213,2.87,5688777697,140,4.9,5688777701,212,9.4,5688777695,56,Back,5688777699,141,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
