id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2807202421,1,34,16,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-04-27T14:41:45.433Z,2025-04-27T15:30:22Z,,,,,5685370125,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",5685370123,130,4,5685370127,197,19182,5685370117,30,"cikb5rw9wtq5th334wj89dhey, 8tzmahdp1kkbot7nulpirqhh, 64pptq46unjnsxn6wc3avhtec, 10qxrh1rh7uyhtm3scj8glqs, b7594v117himyndjrpkval8us, 2lsv3xzudv78cddzsvl76zgx6, 36gi7l0qvkbru5w6v2nym00ve, u8remrfu8ug41xu71brhukmh, f5f9sfvtizyppg8kqtmp9y3ca, 1iyf79yql5sm8m6i8nwxntsve, 4zizd9804wk2k5v0l7ph0u0kq, cnf3yzk0zcrlrfejwd2iebbpw, 1nysj6xb60fhhjhtle8pakbo4, 10cno5ydqi7fif5ehw91ak26s, 8v9ms04dm6d99xb9lt5qdk74k, 3xtbzw2dg5my9jn99xqh5gdpm, 9vdi394umuumkq4hg5rnj5tzo",5685641313,194,2lsv3xzudv78cddzsvl76zgx6,5685370121,59,"32, 28, 35, 6, 30, 4, 20, 8, 18, 10, 16, 9, 21, 26, 43, 33, 1",5685370119,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",5685370129,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807208631,1,34,16,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-04-27T14:45:55.849Z,2025-04-27T15:36:24Z,,,,,5685404735,197,22090,5685404733,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5685404737,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685404731,130,13,5685404721,30,"5h0xmzqj69qpakvv8b3gfin6d, 7hr8mxix88otsvgitsv184g0k, 5msckfem6wvr8h2egmxqgn5zo, cpxcd9wihjrac0ttpvfzv5kkq, 1vt9w739g9cui1qrjhld5jgt1, 2ds2jprriwxkden7xw0pvhe51, 6j8sbzewfzr0kjs2acm6r7tw4, 74od0bd25ox7cv2sfmebf72s5, 6yreepfqr0qh9o2mlglzkri6t, 8r3xgvgtysw3a026rrhebyxre, a30y638aa4uo6vudqgrcjvpat, 7wysiv77u3wt6pk31uzzl7dre, dprt62xpys5habrdk1kg6sbu1, 87xd8a3n7mtk57za6pcc5l5n9, enc30jhvcxxy3c53muws4gbje, a6c8kxkcb77ldh3dpondvd2sq, auivgwfbffghtuzi2i5e9mxw4, 26zzli6mm14fh6sb5520g1vkk",5685404725,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5685404727,59,"1, 17, 30, 3, 5, 16, 20, 14, 10, 8, 7, 9, 27, 15, 19, 12, 24, 88",5685617887,194,74od0bd25ox7cv2sfmebf72s5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807252797,2,32,1,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-04-27T15:29:36.259Z,2025-04-27T15:29:38Z,,,,,5685647747,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807252787,2,32,1,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-04-27T15:29:36.259Z,2025-04-27T15:29:36Z,,,,,5685647685,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807252829,3,1,1,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,50.2,50.3,2025-04-27T15:29:36.260Z,2025-04-27T15:29:40Z,6yreepfqr0qh9o2mlglzkri6t,R. Riski,,,5685647957,279,S,5685647955,213,3.35,5685647953,212,23.2,5685647951,141,43.1,5685647949,140,28.6,5685647947,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807252861,4,1,1,0,3,2rdnn9p03qrmmv34tyx1nahpa,1,28.6,43.1,2025-04-27T15:29:39.968Z,2025-04-27T15:29:42Z,1vt9w739g9cui1qrjhld5jgt1,S. Väisänen,,,5685648157,140,31.4,5685648163,213,4.87,5685648155,56,Back,5685648161,212,18.9,5685648159,141,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807252927,5,1,1,0,5,2rdnn9p03qrmmv34tyx1nahpa,1,31.4,15.6,2025-04-27T15:29:42.084Z,2025-04-27T15:29:45Z,2ds2jprriwxkden7xw0pvhe51,T. Miettunen,,,5685648517,141,45.8,5685648519,212,21.9,5685648513,56,Back,5685648515,140,24.1,5685648521,213,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807252963,6,1,1,0,9,2rdnn9p03qrmmv34tyx1nahpa,1,26.1,44.6,2025-04-27T15:29:45.636Z,2025-04-27T15:29:47Z,1vt9w739g9cui1qrjhld5jgt1,S. Väisänen,,,5685648711,213,5.09,5685648707,141,19.7,5685648703,140,32.5,5685648709,212,18.2,5685648699,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807253111,7,1,1,0,10,2rdnn9p03qrmmv34tyx1nahpa,1,32.5,19.7,2025-04-27T15:29:47.171Z,2025-04-27T15:29:55Z,2ds2jprriwxkden7xw0pvhe51,T. Miettunen,,,5685649507,140,38.2,5685649505,56,Back,5685649509,141,26.7,5685649513,213,0.67,5685649511,212,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807262315,69,1,1,0,12,2rdnn9p03qrmmv34tyx1nahpa,1,37.6,24.4,2025-04-27T15:29:48.847Z,2025-04-27T15:39:11Z,6j8sbzewfzr0kjs2acm6r7tw4,O. Tiitinen,,,5685702759,213,1.98,5685702751,56,Back,5685702755,141,40.7,5685702753,140,33.0,5685702757,212,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807263303,71,1,1,0,16,2rdnn9p03qrmmv34tyx1nahpa,1,35.8,46.0,2025-04-27T15:29:52.813Z,2025-04-27T15:40:33Z,74od0bd25ox7cv2sfmebf72s5,A. Popovitš,,,5685711821,141,49.5,5685711823,212,13.8,5685711825,213,2.97,5685711819,140,22.9,5685711817,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807263299,70,1,1,0,18,2rdnn9p03qrmmv34tyx1nahpa,0,23.9,50.3,2025-04-27T15:29:54.655Z,2025-04-27T15:41:23Z,1vt9w739g9cui1qrjhld5jgt1,S. Väisänen,,,5685713069,141,51.5,5685716285,233,71,5685716283,236,,5685713073,213,0.91,5685713065,56,Back,5685713067,140,24.5,5685716289,286,,5685713071,212,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807264637,71,74,1,0,18,3ptum5fjcgw51mqui0gu6uuf4,1,77.2,48.7,2025-04-27T15:29:54.656Z,2025-04-27T16:33:38Z,10qxrh1rh7uyhtm3scj8glqs,N. Kujasalo,,,5685716261,285,,5685716327,233,70,5685716259,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807253157,8,1,1,0,19,2rdnn9p03qrmmv34tyx1nahpa,1,14.2,80.6,2025-04-27T15:29:55.604Z,2025-04-27T15:29:57Z,cpxcd9wihjrac0ttpvfzv5kkq,M. Rale,,,5685649781,56,Back,5685649787,212,9.0,5685649783,140,22.4,5685649789,213,5.98,5685649785,141,76.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807253177,9,1,1,0,21,2rdnn9p03qrmmv34tyx1nahpa,1,25.3,72.3,2025-04-27T15:29:57.764Z,2025-04-27T15:29:58Z,74od0bd25ox7cv2sfmebf72s5,A. Popovitš,,,5685649877,141,87.5,5685649879,212,11.1,5685649873,56,Back,5685649875,140,21.4,5685649881,213,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807253199,10,1,1,0,22,2rdnn9p03qrmmv34tyx1nahpa,1,21.4,87.5,2025-04-27T15:29:58.820Z,2025-04-27T15:30:00Z,5msckfem6wvr8h2egmxqgn5zo,J. Kanga,,,5685650011,213,3.77,5685650009,212,12.6,5685650005,140,11.7,5685650003,56,Back,5685650007,141,76.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807253253,11,1,1,0,23,2rdnn9p03qrmmv34tyx1nahpa,1,11.7,76.6,2025-04-27T15:30:00.084Z,2025-04-27T15:41:50Z,cpxcd9wihjrac0ttpvfzv5kkq,M. Rale,,,5685718915,155,,5685650313,141,65.8,5685650315,212,23.3,5685650309,56,Back,5685650317,213,5.96,5685650311,140,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807253257,12,1,1,0,27,2rdnn9p03qrmmv34tyx1nahpa,1,32.6,66.6,2025-04-27T15:30:03.940Z,2025-04-27T15:42:18Z,6yreepfqr0qh9o2mlglzkri6t,R. Riski,,,5685650337,140,38.4,5685650335,56,Back,5685650333,168,,5685650339,141,76.9,5685650343,213,0.86,5685650341,212,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
