id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2808747299,1,34,16,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-05-02T14:09:22.393Z,2025-05-02T15:06:24Z,,,,,5694104863,130,2,5694104861,59,"1, 14, 21, 5, 17, 4, 27, 7, 37, 23, 15, 8, 9, 19, 11, 18, 16, 2, 26",5694104869,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5694104867,197,18887,5694125043,194,c5oixwvc8sk4fxliorsk7a311,5694104865,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5694104859,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5694104857,30,"eomg9p2mo39ce40d1elkxerpx, 8bk1u1zlolcgphg6dwdezdre, byudescfxvi1kxlpncbv0mymt, ro21tqqaeslyebto6ukon5zo, 8igk37zt3ixjxdtr1t9kwfnit, c5oixwvc8sk4fxliorsk7a311, b9s6ecsxs323kktg3cs3pisk4, 11xqkd2im28nwotbqeuhflcd1, c538ewmcaz4z73gcftzedbob9, 5wtugxjwq7fvbeqcak5j5l5nt, 1ds8j4s1h4fydkkhl9qe9l5yi, apryim5dle6o29qp6hpio06sq, btr893a8ljoe8av97ji8kwr11, 23yj26f5kapxyx90glndxs3kk, 4lgvhmh5otjikwqiwbc2yu8kp, 1nww1pe0ouxnuwt8q9zy4xrmc, 41fgl6geucap62xgimc78e238, 2c4lqno6q9hrin5ywos5rt9uc, 9bd4vf4tdzfipobqzp2r7gbft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808747427,1,34,16,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-05-02T14:12:25.223Z,2025-05-02T15:11:03Z,,,,,5694105947,194,an77jbrily6wipsqhwliubhsl,5694105895,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5694105897,197,20305,5694105899,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5694105891,59,"99, 29, 18, 24, 33, 5, 10, 37, 7, 19, 22, 9, 14, 17, 80, 12, 4, 38",5694105893,130,8,5694105887,30,"cu75ndbeja7m9o2g789b0h34k, cn6gncw8nbyds83xx6cxbzrpw, 80whrqt5ch885cdrzpzlez85w, a1dhi0sqw2yeffewd34n6z7fu, 9p03mfw1a51fwu8fklock97je, 3ajk1fh1r7rxjmsljdm5zs639, 61ib1kknf11ab4v4f1magyu39, 4votdnyh0srvboatz6a20d5p0, 7wd41kdu78udzrxi9feh2drhm, an77jbrily6wipsqhwliubhsl, 3tpjeq8mn2sy9v6a8hcesp9wq, j4mqmt0lccgzq4nf87ljkoyy, 9rle4eqj5q7d4y7hgu570vgfd, 2iff45qvldope3itiwthnvgx6, anfjghysnr4o03nqnxs98e0ic, a5xmw5sa3v0azvhv35n8cbthw, bse78hbpbf32wr6nboc5zds0k, 7r2ifipuieqiar5n00o2j5uj9",5694105889,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750337,2,32,1,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-05-02T15:01:25.778Z,2025-05-02T15:01:26Z,,,,,5694126121,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750333,2,32,1,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-05-02T15:01:25.778Z,2025-05-02T15:01:25Z,,,,,5694126103,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750339,3,1,1,0,0,8sy0cxovuxo76tuoas3uo55xj,1,49.9,49.9,2025-05-02T15:01:25.779Z,2025-05-02T15:01:28Z,b9s6ecsxs323kktg3cs3pisk4,A. Tulehmo,,,5694126131,213,3.28,5694126129,212,13.0,5694126127,141,47.3,5694126123,56,Back,5694126125,140,37.6,5694126135,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750343,4,1,1,0,2,8sy0cxovuxo76tuoas3uo55xj,1,37.6,47.3,2025-05-02T15:01:28.195Z,2025-05-02T15:01:31Z,11xqkd2im28nwotbqeuhflcd1,J. Mäkelä,,,5694126151,56,Back,5694126157,212,9.7,5694126159,213,4.76,5694126153,140,38.0,5694126155,141,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750347,5,1,1,0,5,8sy0cxovuxo76tuoas3uo55xj,1,39.1,29.5,2025-05-02T15:01:31.202Z,2025-05-02T15:01:57Z,ro21tqqaeslyebto6ukon5zo,A. Wilson,,,5694126185,213,4.57,5694126179,140,37.8,5694126177,56,Back,5694126181,141,15.2,5694126183,212,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750349,6,1,1,0,6,8sy0cxovuxo76tuoas3uo55xj,1,37.8,15.2,2025-05-02T15:01:32.691Z,2025-05-02T15:01:34Z,8bk1u1zlolcgphg6dwdezdre,J. Lehtiranta,,,5694126193,141,27.1,5694126189,56,Back,5694126195,212,9.6,5694126191,140,42.8,5694126197,213,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750363,7,1,1,0,8,8sy0cxovuxo76tuoas3uo55xj,1,40.0,29.4,2025-05-02T15:01:34.099Z,2025-05-02T15:01:38Z,ro21tqqaeslyebto6ukon5zo,A. Wilson,,,5694126291,213,3.67,5694126283,56,Back,5694126289,212,15.0,5694126287,141,18.3,5694126285,140,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808753769,119,50,1,0,11,8sy0cxovuxo76tuoas3uo55xj,1,35.3,25.2,2025-05-02T15:01:37.085Z,2025-05-02T15:19:17Z,8bk1u1zlolcgphg6dwdezdre,J. Lehtiranta,,,5694145539,233,3,5694145521,56,Back,5694145523,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750361,3,7,1,0,11,cy6zs39z79dcfbr4xzkp38z7q,0,64.7,74.8,2025-05-02T15:01:37.086Z,2025-05-02T15:19:16Z,3tpjeq8mn2sy9v6a8hcesp9wq,T. Kaukua,,,5694144843,56,Center,5694145531,233,119,5694144845,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750373,8,1,1,0,12,8sy0cxovuxo76tuoas3uo55xj,1,24.7,17.0,2025-05-02T15:01:37.891Z,2025-05-02T15:01:40Z,8bk1u1zlolcgphg6dwdezdre,J. Lehtiranta,,,5694126313,140,7.9,5694126311,56,Back,5694126317,212,20.9,5694126319,213,2.57,5694126315,141,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750389,9,1,1,0,14,8sy0cxovuxo76tuoas3uo55xj,1,7.9,31.5,2025-05-02T15:01:40.274Z,2025-05-02T15:01:44Z,eomg9p2mo39ce40d1elkxerpx,J. Koski,,,5694126403,140,17.7,5694126405,141,5.9,5694126401,56,Back,5694126407,212,20.2,5694126409,213,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750395,10,1,1,0,18,8sy0cxovuxo76tuoas3uo55xj,0,27.7,5.9,2025-05-02T15:01:43.892Z,2025-05-02T15:01:45Z,8bk1u1zlolcgphg6dwdezdre,J. Lehtiranta,,,5694126443,56,Right,5694126451,213,0.06,5694126441,155,,5694126445,140,56.8,5694126449,212,30.6,5694126447,141,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750415,4,1,1,0,21,cy6zs39z79dcfbr4xzkp38z7q,1,42.8,93.6,2025-05-02T15:01:47.455Z,2025-05-02T15:01:50Z,3ajk1fh1r7rxjmsljdm5zs639,M. Pitkänen,,,5694126565,212,4.7,5694126559,56,Back,5694126557,3,,5694126561,140,46.4,5694126567,213,0.64,5694126563,141,97.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750417,5,61,1,0,24,cy6zs39z79dcfbr4xzkp38z7q,0,46.4,97.8,2025-05-02T15:01:50.579Z,2025-05-02T15:01:51Z,80whrqt5ch885cdrzpzlez85w,Adramane Cassamá,,,5694126571,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750421,6,5,1,0,25,cy6zs39z79dcfbr4xzkp38z7q,0,46.8,101.8,2025-05-02T15:01:51.204Z,2025-05-02T15:03:35Z,80whrqt5ch885cdrzpzlez85w,Adramane Cassamá,,,5694126581,56,Back,5694126603,233,11,5694126583,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750419,11,5,1,0,25,8sy0cxovuxo76tuoas3uo55xj,1,53.2,-1.8,2025-05-02T15:01:51.204Z,2025-05-02T15:17:56Z,c538ewmcaz4z73gcftzedbob9,A. Tanaka,,,5694126577,56,Right,5694126579,347,,5694126597,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750445,12,1,1,0,36,8sy0cxovuxo76tuoas3uo55xj,1,52.6,0.0,2025-05-02T15:02:02.612Z,2025-05-02T15:15:17Z,8bk1u1zlolcgphg6dwdezdre,J. Lehtiranta,,,5694126733,140,39.3,5694126739,213,2.48,5694126737,212,17.7,5694126729,107,,5694126731,56,Back,5694145905,189,,5694126735,141,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750447,13,61,1,0,40,8sy0cxovuxo76tuoas3uo55xj,1,39.3,14.0,2025-05-02T15:02:06.576Z,2025-05-02T15:02:07Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,,5694126751,56,Back,5694126757,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750523,8,1,1,0,54,cy6zs39z79dcfbr4xzkp38z7q,1,8.1,52.7,2025-05-02T15:02:19.893Z,2025-05-02T15:02:24Z,cu75ndbeja7m9o2g789b0h34k,N. Schulz,,,5694127143,141,76.4,5694127147,213,1.19,5694127145,212,17.4,5694127141,140,14.3,5694127137,123,,5694127139,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750529,9,1,1,0,58,cy6zs39z79dcfbr4xzkp38z7q,1,24.0,83.0,2025-05-02T15:02:24.283Z,2025-05-02T15:02:27Z,3ajk1fh1r7rxjmsljdm5zs639,M. Pitkänen,,,5694127165,56,Back,5694127171,212,15.9,5694127173,213,0.48,5694127169,141,93.8,5694127167,140,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750533,10,1,1,1,1,cy6zs39z79dcfbr4xzkp38z7q,0,37.4,93.8,2025-05-02T15:02:26.938Z,2025-05-02T15:02:38Z,3tpjeq8mn2sy9v6a8hcesp9wq,T. Kaukua,,,5694127187,212,0.8,5694127189,213,0.57,5694127375,236,,5694127381,286,,5694127181,56,Back,5694127365,168,,5694127183,140,38.0,5694127377,233,14,5694127185,141,94.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750531,14,74,1,1,1,8sy0cxovuxo76tuoas3uo55xj,1,64.2,7.0,2025-05-02T15:02:26.939Z,2025-05-02T15:02:28Z,8bk1u1zlolcgphg6dwdezdre,J. Lehtiranta,,,5694127205,233,10,5694127177,56,Right,5694127179,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
