id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/12/value,qualifier/15/value,qualifier/17/value
2818868415,1,34,16,0,0,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-05-25T14:36:55.110Z,2025-05-25T15:49:34Z,,,,,5749955067,197,18883,5749955055,30,"7oxxp38dxp40lby1kwg4xpn56, a9234jafv17dcvbu54expih91, arxu3yjspsjmmobkj92c79ze2, c90jak72lerrxc3kpo73cupsk, 2fw3pz0v22kdbiognam8zsvoq, 53kd57a8pwjno3l6cou3nexn9, d39zrjj1sao1lkkzief35sctl, c1f7vp2u7fndbs1q67yhze1hw, bwn0e8pjrikjcpold20o2os2c, 50pntfz4g78co2q68kno332z9, 524qf48twiwfk14oxmwsxj2tw, 5fvzbq3mstt7eatkjpodbvpm2, 8g3a6qtlb0xy12ntska7n8phw, 9618hk1lq7i6see347k7plkyy, 5hkcvpt8l2qjwovhon9wuo0es, 9wpb7yiz7zdsb7bj70ornyfis, 3ajcjogpfwl26hddeqetp75sk, d2tr2mopsk225739f7xlc12ei, 98u2encce9933qd4y2kukej85, d34pugygez0vtpx1t8p5bnq0a",5749955069,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749955061,130,23,5749955057,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5749955065,194,53kd57a8pwjno3l6cou3nexn9,5749955059,59,"1, 5, 2, 17, 22, 3, 10, 28, 23, 9, 6, 11, 18, 20, 26, 25, 12, 4, 16, 24",5749955063,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818871493,1,34,16,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-05-25T14:44:19.895Z,2025-05-25T15:51:31Z,,,,,5749972689,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749972687,130,7,5749972691,194,7glr1eur910fj5b5fg743job9,5749972685,59,"1, 2, 3, 8, 5, 67, 19, 10, 9, 11, 7, 6, 17, 21, 70, 18, 30, 33, 80, 16",5749972683,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5749972693,197,22108,5749972681,30,"dcv3bj7tkpb8of9xh3br2510q, oqudbhzm03z0sfh8tw4qoqhg, 2qks3nbpd8o6igkqjl9e4po4q, bmbdwons7wudqebn3o3flm19l, 17p2jqe16w5j9qh5f8yr80g7o, 9ykuo0c905u48vd44wxgb6jth, ciursygt8i2deeszjdebb28yx, ayl3txfejfa46xvwnzzd76vze, dytql3b2co1cst72z5qf879pl, 9tz8pzof2v3ktjwsyt3gl18gk, 7glr1eur910fj5b5fg743job9, ag78l8kpc7icq4payr6mgyej8, 9f9rakq22c75ur58uel80f7ys, 1coz8r44qcr2aau1u09888i6s, 93961wszqaocy96z45j4a232s, f2qohaex1g5tvz10leo2ia6s, e9tx4ca2kjj4kj9vm70fv2p04, 6l2pjfuvjdnb6vkv4b0eb8mc4, dssxj3ymyofvhfjgmpg1ftuga, 23ngtx061omtotnlvbzlgd3bo",5749972695,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818908059,2,32,1,0,0,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-05-25T15:32:27.047Z,2025-05-25T15:32:27Z,,,,,5750176787,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818908061,2,32,1,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-05-25T15:32:27.047Z,2025-05-25T15:32:30Z,,,,,5750176827,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818908069,3,1,1,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,50.0,50.0,2025-05-25T15:32:27.168Z,2025-05-25T15:32:49Z,9tz8pzof2v3ktjwsyt3gl18gk,L. Laine,,,5750176867,140,21.9,5750176873,212,29.6,5750176869,141,47.5,5750179273,189,,5750176879,213,3.20,5750176887,279,S,5750176865,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818908181,4,1,1,0,3,ea3yd0dgq6uy6pupkpn17j5xg,1,22.1,44.9,2025-05-25T15:32:30.052Z,2025-05-25T15:32:34Z,17p2jqe16w5j9qh5f8yr80g7o,O. Väistö,,,5750177465,56,Right,5750177463,157,,5750177471,212,59.9,5750177475,1,,5750177473,213,5.99,5750177467,140,76.8,5750177469,141,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818908197,5,44,1,0,6,ea3yd0dgq6uy6pupkpn17j5xg,1,75.1,20.3,2025-05-25T15:32:33.101Z,2025-05-25T15:52:57Z,dytql3b2co1cst72z5qf879pl,J. Streng,,,5750177597,233,3,5750177547,56,Right,5750177549,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818908165,3,44,1,0,6,8eab5wbcnttsiosd1o8c71gmk,0,24.9,79.7,2025-05-25T15:32:33.102Z,2025-05-25T15:52:57Z,53kd57a8pwjno3l6cou3nexn9,J. Hämäläinen,,,5750177383,56,Back,5750177385,285,,5750177647,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818908223,6,1,1,0,6,ea3yd0dgq6uy6pupkpn17j5xg,0,76.8,19.7,2025-05-25T15:32:33.324Z,2025-05-25T15:32:44Z,dytql3b2co1cst72z5qf879pl,J. Streng,,,5750177697,213,0.48,5750177689,56,Center,5750177687,168,,5750177685,3,,5750177691,140,87.2,5750177693,141,28.0,5750177695,212,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818908229,4,12,1,0,7,8eab5wbcnttsiosd1o8c71gmk,1,9.8,69.9,2025-05-25T15:32:34.730Z,2025-05-25T15:32:36Z,arxu3yjspsjmmobkj92c79ze2,J. Niska,,,5750177781,141,80.3,5750177785,213,1.08,5750177783,212,8.0,5750177807,15,,5750177739,140,13.4,5750177737,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
