id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/9/value,qualifier/14/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2820316927,1,34,16,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-05-31T13:11:50.567Z,2025-05-31T14:00:10Z,,,,,5758059449,59,"77, 6, 7, 4, 19, 5, 21, 34, 20, 10, 14, 11, 27, 17, 26, 22, 3, 29, 31",5758059455,194,1xquqxm7zxe002v8dc2z46sb9,5758059447,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5758059451,130,18,5758059445,30,"6i2n7bcfphn89v0eccet2fop, 72d57i3mfqxtbsmm196kdv0fd, eaa9sktij53071abummj4pkwk, 1xquqxm7zxe002v8dc2z46sb9, 1zud0qdtf6c6wzkgqhz6b94a1, 1wg15zg0fffyoag6owdh35vkk, 5ynhzqvpks5u5bjgno6snhyzu, 9ka422rjynvrx4kofh5q8ivop, 80mvshlrrlu5vt41gkruwn8fe, ec7y1s97xpoab87z786zt0r56, 84wint64ygxx3pi5fz3mr12j8, ebhnuikcvtrbmw5e80r1fds2y, 9julhxqc94tmamhicz9gfysyc, bn62iwa6vrs5z6ow9q2kpq590, 9mki2meutffzyo7nd0zo94zkk, 3eoljk5s3ohabqzfydfp4xses, di62c8bxsf1t8jrhzu47qb7u2, 1t44y6xzubkclt6i6nzgkgr1l, bbp11n61bl9mjlis2ulxub66s",5758059457,197,28599,5758059453,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5758059459,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820317099,1,34,16,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-05-31T13:12:30.880Z,2025-05-31T14:18:02Z,,,,,5758060547,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5758060555,194,7pnmkd2s7cca2p00x7ny98st1,5758060549,59,"1, 4, 18, 8, 5, 3, 7, 66, 9, 10, 99, 17, 64, 13, 16, 21, 12, 2, 15, 30",5758060559,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5758060553,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5758060545,30,"5auce3x81f1kwok1aq7m4o2y1, 1utcfk5giq7ghp8b2z3u9b27d, amdo0gvq5yaascwon92mhyaga, 2shgmz0kct6m0wphe28gq04ix, e7cov36din7hwsjxovwr5smlm, 7pnmkd2s7cca2p00x7ny98st1, 2kbiramhoa1b8k51wtfk5raei, 818ngmk0u0iqzv4j93yj97aad, czl632fkj2mhbgu4jie3bug9h, 49br3gmn71y8pd5wqkfkvrbah, udbewp8no8ut63j1nla34ine, btxgorlt1vhb8f0yt5jvvwg5x, 5k1kwehh9ck6nlqugcurw1yi1, bj3hdokfgxfrxo4d5231pj5rd, d7fbq3piag375ujo9q9njqq6s, db7sgfeo2hgb5e2s0fa4ue044, 5ghh71ix7lnta7fz3mp0w0zpx, f2ab1zbzm717i2z80l869obqi, eexcxuea18xbokvkko1erdffu, 2fj3f2zy80nbu8p3ryblmioes",5758060557,197,22070,5758060551,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327409,2,32,1,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-05-31T14:01:28.214Z,2025-05-31T14:01:28Z,,,,,5758119333,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327411,2,32,1,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-05-31T14:01:28.214Z,2025-05-31T14:01:30Z,,,,,5758119335,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327417,3,1,1,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,50.0,50.0,2025-05-31T14:01:28.215Z,2025-05-31T14:01:33Z,818ngmk0u0iqzv4j93yj97aad,R. Selander,,,5758119349,56,Back,5758119351,140,24.6,5758119357,213,3.07,5758119353,141,52.7,5758119355,212,26.7,5758119359,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327423,4,1,1,0,4,5qxgilg61hlwxzfpdn2nhcayd,1,25.4,46.6,2025-05-31T14:01:33.204Z,2025-05-31T14:01:36Z,5auce3x81f1kwok1aq7m4o2y1,L. Hughes,,,5758119397,56,Center,5758119407,1,,5758119403,212,42.0,5758119399,140,62.7,5758119401,141,69.0,5758119405,213,0.37,5758119395,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327427,5,61,1,0,7,5qxgilg61hlwxzfpdn2nhcayd,1,62.7,69.0,2025-05-31T14:01:35.934Z,2025-05-31T14:01:36Z,49br3gmn71y8pd5wqkfkvrbah,Lucas Falcão,,,5758119425,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327437,6,1,1,0,9,5qxgilg61hlwxzfpdn2nhcayd,1,60.2,75.3,2025-05-31T14:01:37.347Z,2025-05-31T14:01:38Z,udbewp8no8ut63j1nla34ine,A. Sejdiu,,,5758119459,56,Left,5758119461,140,54.1,5758119467,213,2.11,5758119463,141,90.9,5758119465,212,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327451,7,1,1,0,10,5qxgilg61hlwxzfpdn2nhcayd,1,54.1,90.9,2025-05-31T14:01:38.508Z,2025-05-31T14:01:42Z,amdo0gvq5yaascwon92mhyaga,E. Mömmö,,,5758119519,212,20.0,5758119517,141,80.3,5758119513,56,Back,5758119521,213,3.51,5758119515,140,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327455,8,1,1,0,14,5qxgilg61hlwxzfpdn2nhcayd,0,36.3,80.3,2025-05-31T14:01:42.316Z,2025-05-31T14:01:42Z,7pnmkd2s7cca2p00x7ny98st1,N. Friberg,,,5758119549,212,31.8,5758119551,213,0.47,5758119545,140,63.4,5758119553,1,,5758119543,56,Left,5758119547,141,100.0,5758119541,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327465,3,5,1,0,14,duspptyvnr5kpx2iko5gerhnz,1,32.2,-1.6,2025-05-31T14:01:42.833Z,2025-05-31T14:58:40Z,1wg15zg0fffyoag6owdh35vkk,V. Rönnberg,,,5758119603,233,9,5758119599,56,Back,5758119601,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327457,9,5,1,0,14,5qxgilg61hlwxzfpdn2nhcayd,0,67.8,101.6,2025-05-31T14:01:42.833Z,2025-05-31T14:01:47Z,7pnmkd2s7cca2p00x7ny98st1,N. Friberg,,,5758119609,233,3,5758119555,56,Left,5758119557,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
