id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/17/id,qualifier/17/qualifierId
2823301109,1,34,16,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-06-18T17:09:41.268Z,2025-06-18T18:07:21Z,,,,,5774834219,130,6,5774834223,194,91fm2241o9p5nxo84p43tedhx,5774834217,59,"1, 29, 18, 24, 5, 33, 6, 17, 9, 14, 37, 11, 8, 26, 99, 3, 4, 38",5774834213,30,"91fm2241o9p5nxo84p43tedhx, cn6gncw8nbyds83xx6cxbzrpw, 80whrqt5ch885cdrzpzlez85w, a1dhi0sqw2yeffewd34n6z7fu, 3ajk1fh1r7rxjmsljdm5zs639, 9p03mfw1a51fwu8fklock97je, 18e98agfd0xvy161ax3ru08pg, 2iff45qvldope3itiwthnvgx6, j4mqmt0lccgzq4nf87ljkoyy, 9rle4eqj5q7d4y7hgu570vgfd, 4votdnyh0srvboatz6a20d5p0, emm3t5nn22co95xzp49nie9lg, c9987xq26uc7bq68l76clyxud, 4accnmk8l7khcvpzibgdxjl04, cu75ndbeja7m9o2g789b0h34k, 5lx97p0c2ja9g4vjofjr2o5pl, bse78hbpbf32wr6nboc5zds0k, 7r2ifipuieqiar5n00o2j5uj9",5774834227,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5774834215,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5774834221,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5774834225,197,18980,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823302347,1,34,16,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-06-18T17:15:49.815Z,2025-06-18T17:57:03Z,,,,,5774841155,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5774841159,130,2,5774841157,59,"25, 40, 2, 10, 4, 3, 24, 16, 95, 9, 66, 11, 15, 77, 99, 5, 8, 20, 21",5774841153,30,"a4kgoyzoedberugc14zrtv55h, 5pa2n5nlvexr6z7nu65uz0qqy, ewhh39na34kvumaw7zfbh228l, 4y7niu1b8drpeccb84s2e9wwl, 6iaszy97sphbfkhfxdwd93g15, 3cmp95fpjtqoc5njb5p7c9g8a, crqntc3sy05jsblgk90gymhn9, 7e8irrii6ddjjaex00kq8cand, a3elaln9izarzlwqkwc4ynpey, cbceals9gkfqlywg94zzzlgb9, d7od1kij5jchngdcwlvls0max, 7x14tbg2brvxi5g9jdbovp8gk, 38b94pyeuduolezhjx34wymfo, eqyduvucdtgotv6p284g7mal0, 657y5ka6m6dxylqc61h4yg6c4, npha09mhy3755go8t6lg3ey2, 913e8yevkhhhegjun1elcc161, 3bu3igsdqg8atj5pailbof76c, dtdqh03syykiv1cjstn2lhkvd",5774841161,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5774841165,197,26791,5774841167,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5774841163,194,4y7niu1b8drpeccb84s2e9wwl,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310299,2,32,1,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-06-18T18:00:19.504Z,2025-06-18T18:00:19Z,,,,,5774885939,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310297,2,32,1,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-06-18T18:00:19.504Z,2025-06-18T18:00:19Z,,,,,5774885937,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310301,3,1,1,0,0,7efqk7uh63928il0yffxijnv7,1,50.0,50.0,2025-06-18T18:00:19.505Z,2025-06-18T18:00:23Z,cbceals9gkfqlywg94zzzlgb9,F. Valenčič,,,5774885943,140,28.6,5774885947,212,24.5,5774885949,213,2.73,5774885945,141,64.5,5774885941,56,Back,5774885951,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310303,4,1,1,0,3,7efqk7uh63928il0yffxijnv7,0,30.1,63.4,2025-06-18T18:00:23.192Z,2025-06-18T18:00:25Z,3cmp95fpjtqoc5njb5p7c9g8a,E. Gunnarsson,,,5774885967,1,,5774885963,212,41.9,5774885961,141,40.1,5774885965,213,5.90,5774885957,56,Center,5774885959,140,67.0,5774885955,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310309,3,1,1,0,7,cy6zs39z79dcfbr4xzkp38z7q,0,26.3,78.7,2025-06-18T18:00:26.928Z,2025-06-18T18:00:33Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,,5774886005,212,18.0,5774886001,140,43.2,5774885997,3,,5774885999,56,Back,5774886007,213,6.11,5774886003,141,74.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310317,5,1,1,0,9,7efqk7uh63928il0yffxijnv7,1,58.2,35.8,2025-06-18T18:00:28.676Z,2025-06-18T18:00:31Z,7e8irrii6ddjjaex00kq8cand,A. Vidjeskog,,,5774886059,3,,5774886069,213,5.82,5774886067,212,10.1,5774886063,140,66.8,5774886061,56,Center,5774886065,141,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310319,6,1,1,0,11,7efqk7uh63928il0yffxijnv7,1,68.4,27.0,2025-06-18T18:00:30.998Z,2025-06-18T18:02:39Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5774886075,168,,5774886083,212,23.1,5774886077,56,Right,5774886079,140,88.8,5774886085,213,5.90,5774886081,141,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310327,7,1,1,0,16,7efqk7uh63928il0yffxijnv7,1,87.9,13.1,2025-06-18T18:00:36.022Z,2025-06-18T18:00:37Z,crqntc3sy05jsblgk90gymhn9,J. Remesaho,,,5774886129,141,13.8,5774886127,140,86.9,5774886131,212,1.2,5774886125,56,Right,5774886133,213,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
