id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value
2808762939,1,34,16,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-05-02T16:01:47.487Z,2025-05-02T17:06:40Z,,,,,5694198655,197,9120,5694198645,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5694198647,59,"1, 6, 22, 13, 15, 16, 10, 34, 11, 21, 8, 12, 7, 17, 18, 19, 20, 23, 32",5694198651,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5694198657,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5694198643,30,"b6uchs6rc43tlb0qj2tw3xzh1, 5skki9qedwo05d1scee0obu1h, beq1o3wl29kdr4qtahdij1m21, aa40go6nrv6mpdny6zdc1jeg9, 289f8ysumkm0ilmx2z472cei2, dpegzp0t66wtgyc69v4rj6cyc, doxrlp6910n9l5b5zl8ee73ai, 7z2gs2b8ccchwf0h92hwx8d90, 5t58neiqhud2d4h64owu8fwiy, 2yyodldan4gscxb0jjrpkygyy, 59d5otjevb4zussjofufdg4ph, 1p8qp744v6uor8li9wfcwi0dm, c11fpnugs2ihyqk07ohha54np, 2vvnbkdgeje34aivohozzvm5l, 6bci7uqkdfkqzfyp3kq9lh3pw, 27tqgrgwe7bvct5ffmr0sqdey, 9c2ajg42wya1u4lh1eeye2jo4, 3ani6i6zvyyz715jalqfbcvoq, 6r9gyu0ks64c9z4kfsfjj105w",5694198649,130,3,5694198653,194,59d5otjevb4zussjofufdg4ph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808765663,1,34,16,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-05-02T16:11:32.465Z,2025-05-02T16:57:34Z,,,,,5694214041,197,22108,5694214039,194,7glr1eur910fj5b5fg743job9,5694214033,59,"1, 5, 3, 10, 28, 15, 8, 18, 17, 70, 7, 11, 9, 19, 20, 21, 30, 33, 2, 80",5694214043,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5694214035,130,4,5694214031,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5694214037,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5694214029,30,"dcv3bj7tkpb8of9xh3br2510q, 17p2jqe16w5j9qh5f8yr80g7o, 2qks3nbpd8o6igkqjl9e4po4q, ayl3txfejfa46xvwnzzd76vze, czynssza36ggpaezb0i14si22, bxd2pse7enn5c11fu8jlqjcwk, bmbdwons7wudqebn3o3flm19l, f2qohaex1g5tvz10leo2ia6s, 9f9rakq22c75ur58uel80f7ys, 93961wszqaocy96z45j4a232s, 7glr1eur910fj5b5fg743job9, 9tz8pzof2v3ktjwsyt3gl18gk, dytql3b2co1cst72z5qf879pl, ciursygt8i2deeszjdebb28yx, 2tnl1pjxxg2n4564fz9hcdsoa, 1coz8r44qcr2aau1u09888i6s, e9tx4ca2kjj4kj9vm70fv2p04, 6l2pjfuvjdnb6vkv4b0eb8mc4, oqudbhzm03z0sfh8tw4qoqhg, dssxj3ymyofvhfjgmpg1ftuga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808785837,2,32,1,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-05-02T17:00:04.131Z,2025-05-02T17:00:04Z,,,,,5694322021,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808785845,2,32,1,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-05-02T17:00:04.131Z,2025-05-02T17:00:05Z,,,,,5694322067,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808785851,3,1,1,0,0,1c7dv8ays675v9kp6a04sd8pq,1,50.1,50.0,2025-05-02T17:00:04.132Z,2025-05-02T17:00:06Z,59d5otjevb4zussjofufdg4ph,P. Pennanen,,,5694322093,56,Back,5694322099,212,21.9,5694322097,141,63.3,5694322101,213,2.72,5694322095,140,31.1,5694322103,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808785867,4,1,1,0,2,1c7dv8ays675v9kp6a04sd8pq,0,31.1,63.3,2025-05-02T17:00:06.860Z,2025-05-02T17:00:11Z,dpegzp0t66wtgyc69v4rj6cyc,S. Miettinen,,,5694322199,141,1.7,5694322193,196,,5694322209,1,,5694322191,155,,5694322197,140,73.0,5694322205,213,5.52,5694322201,212,60.7,5694322195,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808785863,3,44,1,0,5,ea3yd0dgq6uy6pupkpn17j5xg,1,25.8,87.0,2025-05-02T17:00:09.922Z,2025-05-02T17:41:16Z,bxd2pse7enn5c11fu8jlqjcwk,N. Tahmbi,,,5694322247,233,5,5694322171,56,Back,5694322173,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808785871,5,44,1,0,5,1c7dv8ays675v9kp6a04sd8pq,0,74.2,13.0,2025-05-02T17:00:09.923Z,2025-05-02T17:41:16Z,2yyodldan4gscxb0jjrpkygyy,J. Luyeye-Lutumba,,,5694322227,286,,5694322225,56,Right,5694322267,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808785873,4,1,1,0,6,ea3yd0dgq6uy6pupkpn17j5xg,0,23.6,68.2,2025-05-02T17:00:10.385Z,2025-05-02T17:00:11Z,bxd2pse7enn5c11fu8jlqjcwk,N. Tahmbi,,,5694322233,140,38.4,5694322239,213,0.08,5694322229,3,,5694322237,212,15.6,5694322231,56,Back,5694322235,141,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808785893,6,1,1,0,9,1c7dv8ays675v9kp6a04sd8pq,1,61.0,30.4,2025-05-02T17:00:13.484Z,2025-05-02T17:11:40Z,doxrlp6910n9l5b5zl8ee73ai,D. Arifi,,,5694322353,213,4.08,5694322349,141,18.9,5694322345,56,Right,5694322351,212,9.7,5694322347,140,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
