id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2803115959,1,34,16,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-04-19T15:10:44.262Z,2025-04-19T16:22:11Z,,,,,5663007091,59,"1, 6, 29, 7, 15, 16, 18, 13, 19, 20, 17, 11, 21, 8, 10, 34, 12, 2, 23, 32",5663007095,130,2,5663007097,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5663007103,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5663007101,197,9120,5663007087,30,"b6uchs6rc43tlb0qj2tw3xzh1, 5skki9qedwo05d1scee0obu1h, dir0a3gwtnslupca6o36sqvis, c11fpnugs2ihyqk07ohha54np, 289f8ysumkm0ilmx2z472cei2, dpegzp0t66wtgyc69v4rj6cyc, 6bci7uqkdfkqzfyp3kq9lh3pw, aa40go6nrv6mpdny6zdc1jeg9, 27tqgrgwe7bvct5ffmr0sqdey, 9c2ajg42wya1u4lh1eeye2jo4, 2vvnbkdgeje34aivohozzvm5l, 5t58neiqhud2d4h64owu8fwiy, 2yyodldan4gscxb0jjrpkygyy, 59d5otjevb4zussjofufdg4ph, doxrlp6910n9l5b5zl8ee73ai, 7z2gs2b8ccchwf0h92hwx8d90, 1p8qp744v6uor8li9wfcwi0dm, am2lquvihsgkoy18i6f26d1ck, 3ani6i6zvyyz715jalqfbcvoq, 6r9gyu0ks64c9z4kfsfjj105w",5663007099,194,b6uchs6rc43tlb0qj2tw3xzh1,5663007089,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803117195,1,34,16,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-04-19T15:11:40.651Z,2025-04-19T15:57:15Z,,,,,5663013889,197,26791,5663013877,30,"66zsjkvxs4cbh9u63hk273t1x, 5pa2n5nlvexr6z7nu65uz0qqy, dtdqh03syykiv1cjstn2lhkvd, 80115v2kkgjym3ubywmkz654a, dcv2hunon4wgijgt4kljtqxg5, 3cmp95fpjtqoc5njb5p7c9g8a, 7x14tbg2brvxi5g9jdbovp8gk, cbceals9gkfqlywg94zzzlgb9, a3elaln9izarzlwqkwc4ynpey, 4y7niu1b8drpeccb84s2e9wwl, d7od1kij5jchngdcwlvls0max, 38b94pyeuduolezhjx34wymfo, crqntc3sy05jsblgk90gymhn9, 6iaszy97sphbfkhfxdwd93g15, 7e8irrii6ddjjaex00kq8cand, 3tghlj82y0zzojxphfc1wrehg, a4kgoyzoedberugc14zrtv55h, ewhh39na34kvumaw7zfbh228l, npha09mhy3755go8t6lg3ey2, 3bu3igsdqg8atj5pailbof76c",5663013887,194,4y7niu1b8drpeccb84s2e9wwl,5663013885,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5663013881,59,"13, 40, 21, 42, 6, 3, 11, 9, 95, 10, 66, 15, 24, 4, 16, 17, 25, 2, 5, 20",5663013883,130,7,5663013891,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5663013879,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803174701,2,32,1,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-04-19T15:59:33.419Z,2025-04-19T15:59:35Z,,,,,5663315761,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803174693,2,32,1,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-04-19T15:59:33.419Z,2025-04-19T15:59:33Z,,,,,5663315723,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803174749,3,1,1,0,0,7efqk7uh63928il0yffxijnv7,1,50.1,50.3,2025-04-19T15:59:33.420Z,2025-04-19T15:59:37Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5663316047,56,Back,5663316057,279,S,5663316055,213,2.55,5663316051,141,68.1,5663316049,140,33.0,5663316053,212,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803174767,4,1,1,0,4,7efqk7uh63928il0yffxijnv7,0,30.9,72.9,2025-04-19T15:59:37.623Z,2025-04-19T16:05:14Z,3cmp95fpjtqoc5njb5p7c9g8a,E. Gunnarsson,,,5663316173,140,63.8,5663316177,212,58.2,5663316171,56,Right,5663316175,141,4.0,5663343851,157,,5663316181,1,,5663316179,213,5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803180411,32,44,1,0,8,1c7dv8ays675v9kp6a04sd8pq,1,32.0,91.7,2025-04-19T15:59:41.767Z,2025-04-19T16:44:55Z,dir0a3gwtnslupca6o36sqvis,D. Agyei,,,5663347473,285,,5663347471,56,Back,5663347975,233,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803180473,59,44,1,0,8,7efqk7uh63928il0yffxijnv7,0,68.0,8.3,2025-04-19T15:59:41.768Z,2025-04-19T16:44:56Z,7x14tbg2brvxi5g9jdbovp8gk,A. Björkskog,,,5663347937,286,,5663347993,233,32,5663347933,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803174837,3,1,1,0,9,1c7dv8ays675v9kp6a04sd8pq,0,38.2,89.3,2025-04-19T15:59:42.486Z,2025-04-19T15:59:44Z,dir0a3gwtnslupca6o36sqvis,D. Agyei,,,5663316527,140,72.8,5663316525,56,Center,5663316523,157,,5663316531,212,40.8,5663316535,1,,5663316529,141,62.1,5663316533,213,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803174935,5,1,1,0,11,7efqk7uh63928il0yffxijnv7,1,29.3,38.5,2025-04-19T15:59:44.957Z,2025-04-19T15:59:52Z,3cmp95fpjtqoc5njb5p7c9g8a,E. Gunnarsson,,,5663316981,213,2.77,5663316979,212,24.2,5663316973,56,Back,5663316977,141,51.3,5663316975,140,7.8,5663316971,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
