id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/12/value,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2818262837,1,34,16,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-05-24T15:13:27.376Z,2025-05-24T16:08:50Z,,,,,5746598283,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746598277,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746598273,59,"25, 28, 13, 4, 3, 6, 8, 21, 20, 99, 7, 19, 91, 97, 10, 14, 1, 2, 5, 24",5746598281,197,28746,5746598279,194,5j2hy92q8f17nppznxrp8kxxx,5746598271,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5746598269,30,"ebqj8v33xv3otev2pycc6xomh, 19xsgxk4g4gf1ickmbc92uzu, 9fpgvc2avj64hiii3wd6w74k, 5j2hy92q8f17nppznxrp8kxxx, 95h8ci71qugckn045d3rumlm1, 18p445rm69t2xc13vggv5oueh, 7198rz1vtgazkeytaltke2noq, bas4d4drvf8kefls9tszu0oic, 8jb026oewf17pg61vdstcgj4l, eswp4t4r8ktirsnkodz26gyui, 4cooeu9zahategmvpj3zdr6xh, 7jv2mo9fes84761ebn6437axg, 4q9qes9db1l7plfu2re8q3v8, 59ktumjupjwefkwh3sciw4qac, 7mn880d3dieg0qb49tlzx1mfp, 9e99gi213xgj9ekx62q7c7w2c, 74r7g6wijdghi1dnr994cclp1, e0p7anuqsx00gybhm4wnkoesp, c9yprnk5bqte686eqdm42oic5, 2e3yktcpxvr1dxy2z1z1dolxw",5746598275,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818265243,1,34,16,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-05-24T15:16:38.123Z,2025-05-24T15:57:14Z,,,,,5746612055,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5746612049,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5746612073,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746612047,30,"eklpacb4xe0yb13zxi642gys4, b7594v117himyndjrpkval8us, 8tzmahdp1kkbot7nulpirqhh, 36gi7l0qvkbru5w6v2nym00ve, 2lsv3xzudv78cddzsvl76zgx6, eyxig53mzy4qlf208vpchs7is, 1iyf79yql5sm8m6i8nwxntsve, u8remrfu8ug41xu71brhukmh, f5f9sfvtizyppg8kqtmp9y3ca, 10qxrh1rh7uyhtm3scj8glqs, 4zizd9804wk2k5v0l7ph0u0kq, cnf3yzk0zcrlrfejwd2iebbpw, 4ciqzc2b0xfc24hha0bnp3eqy, bboslspmgrlysvtol90dpfzzd, 1nysj6xb60fhhjhtle8pakbo4, 7mtrb2q1po3bwtkfp1w4w2qxh, 8v9ms04dm6d99xb9lt5qdk74k, aoa60lf22i1v66vmyf7sfiay",5746612051,59,"80, 30, 28, 20, 4, 14, 10, 8, 18, 6, 16, 9, 11, 15, 21, 23, 43, 90",5746612059,194,2lsv3xzudv78cddzsvl76zgx6,5746612053,130,5,5746612065,197,23737,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818301759,2,32,1,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-05-24T16:01:14.254Z,2025-05-24T16:01:16Z,,,,,5746817217,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818301743,2,32,1,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-05-24T16:01:14.254Z,2025-05-24T16:01:14Z,,,,,5746817169,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818301799,3,1,1,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,50.0,50.0,2025-05-24T16:01:14.255Z,2025-05-24T16:01:17Z,u8remrfu8ug41xu71brhukmh,S. Dahlström,,,5746817375,212,15.5,5746817373,141,43.6,5746817377,213,3.43,5746817369,56,Back,5746817379,279,S,5746817371,140,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818301845,4,1,1,0,2,3ptum5fjcgw51mqui0gu6uuf4,1,35.8,43.6,2025-05-24T16:01:16.341Z,2025-05-24T16:01:20Z,10qxrh1rh7uyhtm3scj8glqs,N. Kujasalo,,,5746817633,56,Right,5746817637,141,17.7,5746817631,157,,5746817639,212,37.8,5746817643,1,,5746817635,140,67.6,5746817641,213,5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818301849,5,44,1,0,6,3ptum5fjcgw51mqui0gu6uuf4,1,71.1,10.1,2025-05-24T16:01:20.739Z,2025-05-24T16:51:12Z,f5f9sfvtizyppg8kqtmp9y3ca,T. Olawale,,,5746817653,56,Right,5746817655,286,,5746817749,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818301857,3,44,1,0,6,303582z192rnbr2x28o2t7u38,0,28.9,89.9,2025-05-24T16:01:20.740Z,2025-05-24T16:51:13Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5746817765,233,5,5746817679,285,,5746817677,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818301865,6,61,1,0,6,3ptum5fjcgw51mqui0gu6uuf4,0,67.6,17.7,2025-05-24T16:01:21.044Z,2025-05-24T16:01:21Z,f5f9sfvtizyppg8kqtmp9y3ca,T. Olawale,,,5746817729,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818301917,4,1,1,0,8,303582z192rnbr2x28o2t7u38,0,23.2,91.1,2025-05-24T16:01:22.841Z,2025-05-24T16:01:25Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5746818001,213,0.02,5746817999,212,46.5,5746817991,157,,5746817995,140,67.5,5746817997,141,92.3,5746818003,1,,5746817993,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
