id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/13/value
2806319477,1,34,16,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-04-26T15:05:48.006Z,2025-04-26T16:49:20Z,,,,,5680604439,197,16086,5680604425,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5680604427,59,"25, 28, 13, 6, 4, 3, 10, 8, 20, 21, 7, 17, 19, 23, 99, 15, 1, 2, 5, 24",5680604435,194,5j2hy92q8f17nppznxrp8kxxx,5680604423,30,"ebqj8v33xv3otev2pycc6xomh, 19xsgxk4g4gf1ickmbc92uzu, 9fpgvc2avj64hiii3wd6w74k, 18p445rm69t2xc13vggv5oueh, 5j2hy92q8f17nppznxrp8kxxx, 95h8ci71qugckn045d3rumlm1, 7mn880d3dieg0qb49tlzx1mfp, 7198rz1vtgazkeytaltke2noq, 8jb026oewf17pg61vdstcgj4l, bas4d4drvf8kefls9tszu0oic, 4cooeu9zahategmvpj3zdr6xh, b8510xkwvx1o1bb7bszrgiane, 7jv2mo9fes84761ebn6437axg, dej8tywq0npvbm25sfgtqur1m, eswp4t4r8ktirsnkodz26gyui, 4aoegh7yokqb5ix45ruvqjalm, 74r7g6wijdghi1dnr994cclp1, e0p7anuqsx00gybhm4wnkoesp, c9yprnk5bqte686eqdm42oic5, 2e3yktcpxvr1dxy2z1z1dolxw",5680604429,130,17,5680604443,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5680604431,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806320927,1,34,16,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-04-26T15:06:35.507Z,2025-04-26T16:23:31Z,,,,,5680611491,59,"1, 6, 7, 25, 19, 37, 21, 34, 10, 30, 20, 14, 11, 15, 33, 77, 2, 3, 4, 23",5680611483,30,"45kijyqwuvgoc6hx51yueyeol, 72d57i3mfqxtbsmm196kdv0fd, eaa9sktij53071abummj4pkwk, 2zqarv7c4098qesbomnra5uqx, 1zud0qdtf6c6wzkgqhz6b94a1, bqc4ov50nt2cguo0rrxw2a02x, 5ynhzqvpks5u5bjgno6snhyzu, 9ka422rjynvrx4kofh5q8ivop, ec7y1s97xpoab87z786zt0r56, 1zdrpi7b401hv9w9mtykzyor9, 80mvshlrrlu5vt41gkruwn8fe, 84wint64ygxx3pi5fz3mr12j8, ebhnuikcvtrbmw5e80r1fds2y, 9myvqb7eriz90u02vjkizjzmc, 8i80v8ukhc2jri4lvo3oxkb2s, 6i2n7bcfphn89v0eccet2fop, 63x3zhf3u5z3d3ylx0xjvwd90, di62c8bxsf1t8jrhzu47qb7u2, 1xquqxm7zxe002v8dc2z46sb9, 7zztpnbw4cfyw6q231nqy8nv9",5680611495,130,12,5680611497,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5680611503,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5680611487,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5680611501,197,28599,5680611499,194,45kijyqwuvgoc6hx51yueyeol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806409771,2,32,1,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-04-26T16:00:15.817Z,2025-04-26T16:00:18Z,,,,,5681088635,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806409767,2,32,1,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-04-26T16:00:15.817Z,2025-04-26T16:00:15Z,,,,,5681088617,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806409831,3,1,1,0,0,duspptyvnr5kpx2iko5gerhnz,1,49.9,50.1,2025-04-26T16:00:15.818Z,2025-04-26T16:00:20Z,80mvshlrrlu5vt41gkruwn8fe,Y. El Ouatki,,,5681088993,213,2.81,5681088987,140,29.7,5681088995,279,S,5681088991,212,22.4,5681088989,141,60.8,5681088983,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806409843,4,1,1,0,4,duspptyvnr5kpx2iko5gerhnz,1,30.2,59.1,2025-04-26T16:00:20.792Z,2025-04-26T16:00:22Z,2zqarv7c4098qesbomnra5uqx,S. Lindeman,,,5681089039,213,5.66,5681089033,140,74.7,5681089041,1,,5681089035,141,9.7,5681089029,157,,5681089037,212,57.5,5681089031,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806409875,5,2,1,0,5,duspptyvnr5kpx2iko5gerhnz,1,78.8,13.9,2025-04-26T16:00:21.264Z,2025-04-26T16:05:40Z,72d57i3mfqxtbsmm196kdv0fd,T. Dekker,,,5681089173,140,81.8,5681089175,141,29.9,5681089245,56,Center,5681089243,7,ec7y1s97xpoab87z786zt0r56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806410103,4,1,1,0,30,303582z192rnbr2x28o2t7u38,1,19.1,80.8,2025-04-26T16:00:46.708Z,2025-04-26T16:06:10Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5681090225,141,66.4,5681090227,212,11.8,5681090217,5,,5681090221,56,Back,5681090223,140,12.8,5681090229,213,4.12,5681090219,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806410115,5,1,1,0,31,303582z192rnbr2x28o2t7u38,1,14.7,69.5,2025-04-26T16:00:47.562Z,2025-04-26T16:06:20Z,5j2hy92q8f17nppznxrp8kxxx,A. Ring,,,5681090261,212,12.7,5681090257,140,22.8,5681090255,56,Back,5681090263,213,0.84,5681090259,141,83.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806410145,6,1,1,0,32,303582z192rnbr2x28o2t7u38,1,18.8,81.8,2025-04-26T16:00:48.219Z,2025-04-26T16:06:27Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5681090421,212,13.8,5681090415,56,Back,5681090417,140,12.2,5681090423,213,4.19,5681090419,141,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
