id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2820296741,1,34,16,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-05-31T11:11:02.239Z,2025-05-31T11:59:42Z,,,,,5757946287,197,18887,5757946285,194,c5oixwvc8sk4fxliorsk7a311,5757946279,59,"33, 14, 21, 5, 4, 17, 18, 8, 37, 10, 77, 19, 27, 11, 15, 23, 29, 16, 2, 26",5757946289,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5757946275,30,"dl6lfojhwzis2gboqxonxu904, 8bk1u1zlolcgphg6dwdezdre, byudescfxvi1kxlpncbv0mymt, ro21tqqaeslyebto6ukon5zo, c5oixwvc8sk4fxliorsk7a311, 8igk37zt3ixjxdtr1t9kwfnit, 1nww1pe0ouxnuwt8q9zy4xrmc, apryim5dle6o29qp6hpio06sq, c538ewmcaz4z73gcftzedbob9, 4m7qbjhm8zl0z7px053siv6j9, 7dvn6m2z49c2n1ev0o9rvk93o, 23yj26f5kapxyx90glndxs3kk, b9s6ecsxs323kktg3cs3pisk4, 4lgvhmh5otjikwqiwbc2yu8kp, 1ds8j4s1h4fydkkhl9qe9l5yi, 5wtugxjwq7fvbeqcak5j5l5nt, e7mg2hccr1pqnai6u291nlx5g, 41fgl6geucap62xgimc78e238, 2c4lqno6q9hrin5ywos5rt9uc, 9bd4vf4tdzfipobqzp2r7gbft",5757946277,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5757946283,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5757946281,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820296811,1,34,16,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-05-31T11:11:29.003Z,2025-05-31T12:02:36Z,,,,,5757946667,130,5,5757946661,30,"eklpacb4xe0yb13zxi642gys4, 64pptq46unjnsxn6wc3avhtec, 3xtbzw2dg5my9jn99xqh5gdpm, 36gi7l0qvkbru5w6v2nym00ve, 2lsv3xzudv78cddzsvl76zgx6, eyxig53mzy4qlf208vpchs7is, 1iyf79yql5sm8m6i8nwxntsve, u8remrfu8ug41xu71brhukmh, f5f9sfvtizyppg8kqtmp9y3ca, 10qxrh1rh7uyhtm3scj8glqs, 4zizd9804wk2k5v0l7ph0u0kq, 4ciqzc2b0xfc24hha0bnp3eqy, 1nysj6xb60fhhjhtle8pakbo4, 7mtrb2q1po3bwtkfp1w4w2qxh, 8v9ms04dm6d99xb9lt5qdk74k, 8tzmahdp1kkbot7nulpirqhh, b7594v117himyndjrpkval8us, aoa60lf22i1v66vmyf7sfiay, 46ums24te70jl5qclztg8xhwp",5757946663,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5757946665,59,"80, 35, 33, 20, 4, 14, 10, 8, 18, 6, 16, 11, 21, 23, 43, 28, 30, 90, 7",5757946675,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5757946669,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5757946673,197,28964,5757946671,194,2lsv3xzudv78cddzsvl76zgx6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820304735,2,32,1,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-05-31T12:01:41.059Z,2025-05-31T12:01:42Z,,,,,5757991517,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820304731,2,32,1,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-05-31T12:01:41.059Z,2025-05-31T12:01:41Z,,,,,5757991513,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820304741,3,1,1,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,49.9,49.9,2025-05-31T12:01:41.060Z,2025-05-31T12:01:45Z,u8remrfu8ug41xu71brhukmh,S. Dahlström,,,5757991553,212,22.3,5757991551,141,57.9,5757991549,140,29.3,5757991547,56,Back,5757991557,279,S,5757991555,213,2.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820304747,4,1,1,0,4,3ptum5fjcgw51mqui0gu6uuf4,1,35.2,54.6,2025-05-31T12:01:45.642Z,2025-05-31T12:01:48Z,eyxig53mzy4qlf208vpchs7is,M. Fonsell,,,5757991587,213,5.30,5757991579,56,Right,5757991585,212,38.2,5757991589,1,,5757991577,157,,5757991581,140,55.3,5757991583,141,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820304757,5,1,1,0,6,3ptum5fjcgw51mqui0gu6uuf4,1,55.5,7.9,2025-05-31T12:01:47.882Z,2025-05-31T12:01:51Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,,5757991649,213,1.22,5757991645,141,24.9,5757991643,140,59.5,5757991641,56,Center,5757991647,212,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820304755,3,83,1,0,9,8sy0cxovuxo76tuoas3uo55xj,0,35.0,75.3,2025-05-31T12:01:50.675Z,2025-05-31T12:01:53Z,apryim5dle6o29qp6hpio06sq,F. Ellé,,,5757991699,399,36gi7l0qvkbru5w6v2nym00ve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820304759,6,61,1,0,9,3ptum5fjcgw51mqui0gu6uuf4,1,60.1,27.0,2025-05-31T12:01:50.677Z,2025-05-31T12:01:51Z,36gi7l0qvkbru5w6v2nym00ve,E. Patut,,,5757991653,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820304777,7,1,1,0,10,3ptum5fjcgw51mqui0gu6uuf4,1,51.4,43.3,2025-05-31T12:01:51.962Z,2025-05-31T12:01:56Z,10qxrh1rh7uyhtm3scj8glqs,N. Kujasalo,,,5757991759,141,86.6,5757991757,140,54.4,5757991763,213,1.46,5757991761,212,29.6,5757991755,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
