id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2799059389,1,34,16,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-04-11T14:05:43.226Z,2025-04-11T14:24:48Z,,,,,5640715385,194,5ynhzqvpks5u5bjgno6snhyzu,5640715387,197,22109,5640715379,59,"77, 34, 7, 19, 5, 37, 30, 20, 10, 9, 21, 14, 11, 15, 25, 1, 2, 3, 4, 23",5640715389,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5640715381,130,12,5640715383,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5640715375,30,"6i2n7bcfphn89v0eccet2fop, 9ka422rjynvrx4kofh5q8ivop, eaa9sktij53071abummj4pkwk, 1zud0qdtf6c6wzkgqhz6b94a1, 1wg15zg0fffyoag6owdh35vkk, bqc4ov50nt2cguo0rrxw2a02x, 1zdrpi7b401hv9w9mtykzyor9, 80mvshlrrlu5vt41gkruwn8fe, ec7y1s97xpoab87z786zt0r56, 6zw6j1zpm7vs8zkx5z6enqpgq, 5ynhzqvpks5u5bjgno6snhyzu, 84wint64ygxx3pi5fz3mr12j8, ebhnuikcvtrbmw5e80r1fds2y, 9myvqb7eriz90u02vjkizjzmc, 2zqarv7c4098qesbomnra5uqx, 45kijyqwuvgoc6hx51yueyeol, 63x3zhf3u5z3d3ylx0xjvwd90, di62c8bxsf1t8jrhzu47qb7u2, 1xquqxm7zxe002v8dc2z46sb9, 7zztpnbw4cfyw6q231nqy8nv9",5640715377,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799059841,1,34,16,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-04-11T14:07:57.994Z,2025-04-11T15:08:09Z,,,,,5640717773,30,"eomg9p2mo39ce40d1elkxerpx, 9bd4vf4tdzfipobqzp2r7gbft, byudescfxvi1kxlpncbv0mymt, ro21tqqaeslyebto6ukon5zo, 8igk37zt3ixjxdtr1t9kwfnit, c5oixwvc8sk4fxliorsk7a311, b9s6ecsxs323kktg3cs3pisk4, c538ewmcaz4z73gcftzedbob9, 4m7qbjhm8zl0z7px053siv6j9, btr893a8ljoe8av97ji8kwr11, 7dvn6m2z49c2n1ev0o9rvk93o, 11xqkd2im28nwotbqeuhflcd1, apryim5dle6o29qp6hpio06sq, 23yj26f5kapxyx90glndxs3kk, 4lgvhmh5otjikwqiwbc2yu8kp, 1ds8j4s1h4fydkkhl9qe9l5yi, 5wtugxjwq7fvbeqcak5j5l5nt, dl6lfojhwzis2gboqxonxu904, 2c4lqno6q9hrin5ywos5rt9uc, 8bk1u1zlolcgphg6dwdezdre",5640717787,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5640717785,197,18887,5640717779,130,2,5640717781,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5640717783,194,c5oixwvc8sk4fxliorsk7a311,5640717777,59,"1, 26, 21, 5, 17, 4, 27, 37, 10, 9, 77, 7, 8, 19, 11, 15, 23, 33, 2, 14",5640717775,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799068509,2,32,1,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-04-11T15:01:47.519Z,2025-04-11T15:01:47Z,,,,,5640771091,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799068513,2,32,1,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-04-11T15:01:47.519Z,2025-04-11T15:01:49Z,,,,,5640771103,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799068525,3,1,1,0,0,duspptyvnr5kpx2iko5gerhnz,1,50.1,50.1,2025-04-11T15:01:47.520Z,2025-04-11T15:01:51Z,80mvshlrrlu5vt41gkruwn8fe,Y. El Ouatki,,,5640771155,141,52.2,5640771157,212,22.6,5640771153,140,28.6,5640771161,279,S,5640771151,56,Back,5640771159,213,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799068533,4,1,1,0,3,duspptyvnr5kpx2iko5gerhnz,1,29.1,52.1,2025-04-11T15:01:50.902Z,2025-04-11T15:01:54Z,1wg15zg0fffyoag6owdh35vkk,V. Rönnberg,,,5640771207,212,54.6,5640771205,141,10.3,5640771211,1,,5640771203,140,73.5,5640771199,157,,5640771209,213,5.74,5640771201,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799068535,5,44,1,0,6,duspptyvnr5kpx2iko5gerhnz,1,71.2,14.2,2025-04-11T15:01:54.278Z,2025-04-11T15:49:51Z,ec7y1s97xpoab87z786zt0r56,M. Fall,,,5640771227,233,3,5640771215,56,Right,5640771217,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799068539,3,44,1,0,6,8sy0cxovuxo76tuoas3uo55xj,0,28.8,85.8,2025-04-11T15:01:54.279Z,2025-04-11T15:49:51Z,c5oixwvc8sk4fxliorsk7a311,J. Toivio,,,5640771231,233,5,5640771225,285,,5640771223,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799068543,6,1,1,0,8,duspptyvnr5kpx2iko5gerhnz,1,73.5,10.3,2025-04-11T15:01:55.750Z,2025-04-11T15:01:57Z,ec7y1s97xpoab87z786zt0r56,M. Fall,,,5640771251,168,,5640771259,212,7.8,5640771249,3,,5640771253,56,Right,5640771261,213,5.76,5640771257,141,4.6,5640771255,140,79.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799068553,7,1,1,0,9,duspptyvnr5kpx2iko5gerhnz,1,79.9,5.6,2025-04-11T15:01:57.349Z,2025-04-11T15:01:58Z,6zw6j1zpm7vs8zkx5z6enqpgq,M. Borchers,,,5640771295,212,1.2,5640771297,213,4.63,5640771289,56,Right,5640771291,140,79.8,5640771293,141,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799068579,8,1,1,0,11,duspptyvnr5kpx2iko5gerhnz,1,77.9,4.3,2025-04-11T15:01:58.791Z,2025-04-11T15:02:03Z,9ka422rjynvrx4kofh5q8ivop,A. Räisänen,,,5640771419,140,73.0,5640771425,213,2.91,5640771417,56,Right,5640771423,212,5.3,5640771421,141,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
