id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2804885505,1,34,16,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-04-22T15:08:15.879Z,2025-04-22T18:08:39Z,,,,5672666563,130,4,5672666565,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5672666571,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5672666561,59,"25, 28, 6, 10, 3, 5, 4, 8, 20, 22, 17, 19, 23, 99, 15, 21, 1, 2, 13, 24",5672666559,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5672666569,197,16086,5672666567,194,c9yprnk5bqte686eqdm42oic5,5672666557,30,"ebqj8v33xv3otev2pycc6xomh, 19xsgxk4g4gf1ickmbc92uzu, 18p445rm69t2xc13vggv5oueh, 7mn880d3dieg0qb49tlzx1mfp, 95h8ci71qugckn045d3rumlm1, c9yprnk5bqte686eqdm42oic5, 5j2hy92q8f17nppznxrp8kxxx, 7198rz1vtgazkeytaltke2noq, 8jb026oewf17pg61vdstcgj4l, bl6vj48jfq2s09w7sezntwgt0, b8510xkwvx1o1bb7bszrgiane, 7jv2mo9fes84761ebn6437axg, dej8tywq0npvbm25sfgtqur1m, eswp4t4r8ktirsnkodz26gyui, 4aoegh7yokqb5ix45ruvqjalm, bas4d4drvf8kefls9tszu0oic, 74r7g6wijdghi1dnr994cclp1, e0p7anuqsx00gybhm4wnkoesp, 9fpgvc2avj64hiii3wd6w74k, 2e3yktcpxvr1dxy2z1z1dolxw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804886441,1,34,16,0,0,3cbke8cbou2ms925872vk6dwx,1,0.0,0.0,2025-04-22T15:12:48.999Z,2025-04-22T16:31:35Z,,,,5672671969,194,d8t6nh7paunxlvadzlfx69xx,5672671959,30,"dxlvcn8a2lhtne6py7w4tbpw5, 19yfn0sushy5fc003vhn0skwl, dlpw0ifxzwotsw2ttopgispka, bpjmwp030jnapyjfii8nyqdhx, nxt066bqaqw7grehjw514d7t, 6q0g98fnbdx5sg52lazo2sqac, 4a8qjfagq2xr6wqsv875jth0q, bbdoe533sbua0ikwxa8ldo91x, d8t6nh7paunxlvadzlfx69xx, b0wmozayt7xbjz6ihhdiczq0a, b7x9fczqecsf267ewzcvccmhh, 8do2uv6sab8cz1556kk5o1q1g, 2h5u151i11d49on3k9cdtfqqc, 3nrf0fvktniv392ytt09npp1w, 5rov9d5353qn4to1rokchh250, 9l78gdpk7fx57b8am6to05gfe, bl43lr9kdb35de8gxvuk4xgk4, dxbmeigmdpwuz8u0g8iji45ey, d6muts0aeup4vfihqd9sr7310, ecuwplrj6gv5s67cg9lu342ui",5672671967,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5672671963,59,"1, 44, 12, 40, 3, 24, 19, 28, 7, 10, 26, 9, 11, 20, 21, 6, 15, 13, 2, 30",5672671971,197,24423,5672671965,130,19,5672671961,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5672671973,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804893799,2,32,1,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-04-22T16:01:06.527Z,2025-04-22T16:01:06Z,,,,5672715599,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804893807,4,32,1,0,0,3cbke8cbou2ms925872vk6dwx,1,0.0,0.0,2025-04-22T16:01:06.527Z,2025-04-22T16:01:09Z,,,,5672715637,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804893915,6,1,1,0,0,303582z192rnbr2x28o2t7u38,1,50.1,50.0,2025-04-22T16:01:07.056Z,2025-04-22T16:08:57Z,7mn880d3dieg0qb49tlzx1mfp,L. Lingman,,5672716069,213,3.28,5672716067,212,12.4,5672716417,279,S,5672716061,56,Back,5672720975,189,,5672716063,140,38.4,5672716065,141,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804893827,3,1,1,0,11,303582z192rnbr2x28o2t7u38,1,33.8,47.0,2025-04-22T16:01:17.552Z,2025-04-22T16:06:38Z,5j2hy92q8f17nppznxrp8kxxx,A. Ring,,5672715735,212,25.0,5672715733,141,11.9,5672715731,140,40.9,5672721197,189,,5672715737,213,5.02,5672715729,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804893949,7,1,1,0,12,303582z192rnbr2x28o2t7u38,1,52.8,2.7,2025-04-22T16:01:19.425Z,2025-04-22T16:06:36Z,19xsgxk4g4gf1ickmbc92uzu,M. Ylitolva,,5672721695,56,Back,5672721703,213,2.91,5672721701,212,20.3,5672721697,140,34.0,5672721699,141,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804893953,8,1,1,0,13,303582z192rnbr2x28o2t7u38,1,27.1,20.1,2025-04-22T16:01:19.632Z,2025-04-22T16:06:58Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,5672722129,212,20.1,5672722127,141,49.5,5672722123,56,Back,5672722125,140,28.6,5672722131,213,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804893955,9,1,1,0,14,303582z192rnbr2x28o2t7u38,1,28.3,56.0,2025-04-22T16:01:20.823Z,2025-04-22T16:07:33Z,c9yprnk5bqte686eqdm42oic5,D. O'Shaughnessy,,5672722827,140,28.6,5672722829,141,21.3,5672722833,213,4.73,5672722825,56,Back,5672722831,212,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804893959,10,1,1,0,14,303582z192rnbr2x28o2t7u38,1,37.2,20.7,2025-04-22T16:01:21.016Z,2025-04-22T16:09:32Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,5672725409,141,27.2,5672725405,56,Center,5672725411,212,21.7,5672725413,213,0.21,5672725407,140,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
