id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2813447187,1,34,16,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-05-11T12:14:17.262Z,2025-05-11T13:04:57Z,,,,,5719907413,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719907395,30,"66zsjkvxs4cbh9u63hk273t1x, npha09mhy3755go8t6lg3ey2, dtdqh03syykiv1cjstn2lhkvd, 80115v2kkgjym3ubywmkz654a, dcv2hunon4wgijgt4kljtqxg5, 3cmp95fpjtqoc5njb5p7c9g8a, 7e8irrii6ddjjaex00kq8cand, 6iaszy97sphbfkhfxdwd93g15, a3elaln9izarzlwqkwc4ynpey, 7x14tbg2brvxi5g9jdbovp8gk, 4y7niu1b8drpeccb84s2e9wwl, enlu96e156ahwhmdk0482kzfu, cbceals9gkfqlywg94zzzlgb9, 38b94pyeuduolezhjx34wymfo, crqntc3sy05jsblgk90gymhn9, eqyduvucdtgotv6p284g7mal0, a4kgoyzoedberugc14zrtv55h, ewhh39na34kvumaw7zfbh228l, 3bu3igsdqg8atj5pailbof76c, 5pa2n5nlvexr6z7nu65uz0qqy",5719907397,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5719907401,130,4,5719907399,59,"13, 5, 21, 42, 6, 3, 16, 4, 95, 11, 10, 7, 9, 15, 24, 77, 25, 2, 20, 40",5719907411,197,26791,5719907407,194,4y7niu1b8drpeccb84s2e9wwl,5719907403,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813456425,1,34,16,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-05-11T12:22:05.320Z,2025-05-11T13:04:53Z,,,,,5719956755,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719956743,130,8,5719956745,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719956737,30,"ebqj8v33xv3otev2pycc6xomh, 19xsgxk4g4gf1ickmbc92uzu, 9fpgvc2avj64hiii3wd6w74k, 4aoegh7yokqb5ix45ruvqjalm, 95h8ci71qugckn045d3rumlm1, 18p445rm69t2xc13vggv5oueh, eswp4t4r8ktirsnkodz26gyui, 5j2hy92q8f17nppznxrp8kxxx, 8jb026oewf17pg61vdstcgj4l, bas4d4drvf8kefls9tszu0oic, 4cooeu9zahategmvpj3zdr6xh, 5qgan4g8ci25xi4v0v5cp0f84, 7jv2mo9fes84761ebn6437axg, 4q9qes9db1l7plfu2re8q3v8, 7198rz1vtgazkeytaltke2noq, 9e99gi213xgj9ekx62q7c7w2c, 74r7g6wijdghi1dnr994cclp1, e0p7anuqsx00gybhm4wnkoesp, 2e3yktcpxvr1dxy2z1z1dolxw, 59ktumjupjwefkwh3sciw4qac",5719956747,194,5j2hy92q8f17nppznxrp8kxxx,5719956739,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5719956741,59,"25, 28, 13, 15, 3, 6, 99, 4, 20, 21, 7, 11, 19, 91, 8, 14, 1, 2, 24, 97",5719956751,197,28746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813496019,2,32,1,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-05-11T13:00:44.029Z,2025-05-11T13:00:46Z,,,,,5720168575,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813496011,2,32,1,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-05-11T13:00:44.029Z,2025-05-11T13:00:44Z,,,,,5720168557,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813496069,3,1,1,0,0,303582z192rnbr2x28o2t7u38,1,49.6,49.7,2025-05-11T13:00:44.030Z,2025-05-11T13:00:48Z,8jb026oewf17pg61vdstcgj4l,T. Pukki,,,5720168789,213,3.75,5720168785,141,32.4,5720168787,212,20.7,5720168783,140,33.4,5720168791,279,S,5720168781,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813496101,4,1,1,0,4,303582z192rnbr2x28o2t7u38,1,38.5,28.0,2025-05-11T13:00:48.341Z,2025-05-11T13:00:51Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5720168969,140,75.5,5720168971,141,16.8,5720168973,212,39.6,5720168967,56,Right,5720168965,157,,5720168977,1,,5720168975,213,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813496113,5,44,1,0,6,303582z192rnbr2x28o2t7u38,1,76.4,19.0,2025-05-11T13:00:50.919Z,2025-05-11T13:00:54Z,eswp4t4r8ktirsnkodz26gyui,B. Michel,,,5720169003,56,Right,5720169005,286,,5720169007,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813496107,3,44,1,0,6,7efqk7uh63928il0yffxijnv7,0,23.6,81.0,2025-05-11T13:00:50.920Z,2025-05-11T13:00:54Z,dtdqh03syykiv1cjstn2lhkvd,J. Myrevik,,,5720168989,56,Back,5720168991,285,,5720169027,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813496175,6,1,1,0,7,303582z192rnbr2x28o2t7u38,1,75.5,16.8,2025-05-11T13:00:51.126Z,2025-05-11T13:00:56Z,eswp4t4r8ktirsnkodz26gyui,B. Michel,,,5720169309,141,27.0,5720169305,56,Center,5720169307,140,80.2,5720169303,168,,5720169317,213,0.95,5720169301,3,,5720169315,212,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813496181,7,1,1,0,12,303582z192rnbr2x28o2t7u38,0,97.9,23.9,2025-05-11T13:00:56.310Z,2025-05-11T13:47:30Z,8jb026oewf17pg61vdstcgj4l,T. Pukki,,,5720169349,141,28.2,5720169353,213,1.98,5720169347,140,96.7,5720169429,195,,5720169345,56,Center,5720169351,212,3.2,5720170467,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
