id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2815670981,1,34,16,0,0,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-05-17T13:14:59.141Z,2025-05-17T14:05:34Z,,,,,5732331859,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5732331863,194,53kd57a8pwjno3l6cou3nexn9,5732331867,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5732331865,197,19340,5732331845,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5732331849,59,"1, 5, 2, 10, 22, 3, 8, 28, 11, 23, 6, 9, 14, 20, 17, 25, 13, 4, 16, 24",5732331853,130,4,5732331841,30,"7oxxp38dxp40lby1kwg4xpn56, a9234jafv17dcvbu54expih91, arxu3yjspsjmmobkj92c79ze2, d39zrjj1sao1lkkzief35sctl, 2fw3pz0v22kdbiognam8zsvoq, 53kd57a8pwjno3l6cou3nexn9, dlxtr9p8d7k733qhpq9qyydey, c1f7vp2u7fndbs1q67yhze1hw, 5fvzbq3mstt7eatkjpodbvpm2, bwn0e8pjrikjcpold20o2os2c, 524qf48twiwfk14oxmwsxj2tw, 50pntfz4g78co2q68kno332z9, 91c1ud1vk02de6uexycm07ml0, 9618hk1lq7i6see347k7plkyy, c90jak72lerrxc3kpo73cupsk, 9wpb7yiz7zdsb7bj70ornyfis, 8r2wo4sh46kxmwos8wy8ugdg4, d2tr2mopsk225739f7xlc12ei, 98u2encce9933qd4y2kukej85, d34pugygez0vtpx1t8p5bnq0a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815672943,1,34,16,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-05-17T13:17:39.774Z,2025-05-17T14:16:13Z,,,,,5732342927,130,13,5732342931,194,5h0xmzqj69qpakvv8b3gfin6d,5732342925,59,"1, 17, 19, 3, 5, 22, 14, 7, 10, 8, 15, 9, 27, 88, 30, 12, 16, 42, 72",5732342917,30,"5h0xmzqj69qpakvv8b3gfin6d, 7hr8mxix88otsvgitsv184g0k, enc30jhvcxxy3c53muws4gbje, cpxcd9wihjrac0ttpvfzv5kkq, 1vt9w739g9cui1qrjhld5jgt1, bt9canh10jbb5pms11dzi1j2t, 74od0bd25ox7cv2sfmebf72s5, a30y638aa4uo6vudqgrcjvpat, 6yreepfqr0qh9o2mlglzkri6t, 8r3xgvgtysw3a026rrhebyxre, 87xd8a3n7mtk57za6pcc5l5n9, 7wysiv77u3wt6pk31uzzl7dre, dprt62xpys5habrdk1kg6sbu1, 26zzli6mm14fh6sb5520g1vkk, 5msckfem6wvr8h2egmxqgn5zo, a6c8kxkcb77ldh3dpondvd2sq, 2ds2jprriwxkden7xw0pvhe51, cayn625x26mewt9gp2xrmh4ut, dwykh0u3d3shtklz3yfrev8d0",5732342935,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5732342921,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5732342929,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5732342933,197,22088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709853,2,32,1,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-05-17T14:01:13.070Z,2025-05-17T14:01:15Z,,,,,5732515547,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709847,2,32,1,0,0,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-05-17T14:01:13.070Z,2025-05-17T14:01:13Z,,,,,5732515513,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709929,3,1,1,0,0,8eab5wbcnttsiosd1o8c71gmk,1,50.0,50.0,2025-05-17T14:01:13.071Z,2025-05-17T14:01:17Z,d39zrjj1sao1lkkzief35sctl,F. Krebs,,,5732515843,140,31.3,5732515859,279,S,5732515855,212,20.3,5732515857,213,3.39,5732515841,56,Back,5732515853,141,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709967,4,1,1,0,4,8eab5wbcnttsiosd1o8c71gmk,0,33.4,38.6,2025-05-17T14:01:17.717Z,2025-05-17T14:01:21Z,53kd57a8pwjno3l6cou3nexn9,J. Hämäläinen,,,5732516029,141,25.9,5732516033,213,6.13,5732516035,1,,5732516023,157,,5732516031,212,55.1,5732516027,140,85.2,5732516025,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709969,3,12,1,0,8,2rdnn9p03qrmmv34tyx1nahpa,1,20.1,83.3,2025-05-17T14:01:21.218Z,2025-05-17T14:01:23Z,cpxcd9wihjrac0ttpvfzv5kkq,M. Rale,,,5732516039,140,34.3,5732516043,212,15.0,5732516059,15,,5732516041,141,85.9,5732516037,56,Back,5732516045,213,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709993,4,61,1,0,10,2rdnn9p03qrmmv34tyx1nahpa,1,30.1,84.5,2025-05-17T14:01:23.182Z,2025-05-17T14:02:37Z,87xd8a3n7mtk57za6pcc5l5n9,L. Ala-Myllymäki,,,5732516139,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710031,5,3,1,0,13,2rdnn9p03qrmmv34tyx1nahpa,0,46.3,81.2,2025-05-17T14:01:26.461Z,2025-05-17T14:01:33Z,6yreepfqr0qh9o2mlglzkri6t,R. Riski,,,5732516287,286,,5732516285,56,Back,5732516447,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710065,5,7,1,0,13,8eab5wbcnttsiosd1o8c71gmk,1,53.7,18.8,2025-05-17T14:01:26.462Z,2025-05-17T14:01:32Z,a9234jafv17dcvbu54expih91,A. Granlund,,,5732516415,167,,5732516427,233,5,5732516417,56,Right,5732516419,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710059,6,5,1,0,15,2rdnn9p03qrmmv34tyx1nahpa,1,51.4,101.3,2025-05-17T14:01:28.558Z,2025-05-17T14:54:56Z,6yreepfqr0qh9o2mlglzkri6t,R. Riski,,,5732516395,347,,5732519885,233,6,5732516393,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710109,6,5,1,0,15,8eab5wbcnttsiosd1o8c71gmk,0,48.6,-1.3,2025-05-17T14:01:28.558Z,2025-05-17T14:54:56Z,a9234jafv17dcvbu54expih91,A. Granlund,,,5732516573,56,Back,5732519895,233,6,5732516575,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710203,7,1,1,0,23,2rdnn9p03qrmmv34tyx1nahpa,1,61.2,100.0,2025-05-17T14:01:36.574Z,2025-05-17T14:04:06Z,enc30jhvcxxy3c53muws4gbje,O. Jukkola,,,5732516943,56,Back,5732516949,212,25.6,5732516953,1,,5732516951,213,3.57,5732516947,141,85.6,5732516945,140,39.0,5732516941,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710267,8,1,1,0,26,2rdnn9p03qrmmv34tyx1nahpa,1,39.0,85.6,2025-05-17T14:01:39.613Z,2025-05-17T14:01:45Z,1vt9w739g9cui1qrjhld5jgt1,S. Väisänen,,,5732517233,212,20.3,5732517229,140,58.2,5732517235,213,0.11,5732517237,1,,5732517227,56,Left,5732517231,141,89.0,5732517225,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710269,9,61,1,0,32,2rdnn9p03qrmmv34tyx1nahpa,1,58.2,89.0,2025-05-17T14:01:45.405Z,2025-05-17T14:01:45Z,a30y638aa4uo6vudqgrcjvpat,J. Veteli,,,5732517241,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710289,10,1,1,0,35,2rdnn9p03qrmmv34tyx1nahpa,0,48.4,89.6,2025-05-17T14:01:48.078Z,2025-05-17T14:01:48Z,enc30jhvcxxy3c53muws4gbje,O. Jukkola,,,5732517331,157,,5732517339,212,26.4,5732517343,1,,5732517341,213,0.06,5732517335,140,73.5,5732517337,141,91.8,5732517333,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710297,7,1,1,0,35,8eab5wbcnttsiosd1o8c71gmk,0,31.3,5.3,2025-05-17T14:01:48.885Z,2025-05-17T14:01:50Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5732517387,56,Back,5732517393,212,17.2,5732517385,3,,5732517391,141,6.5,5732517389,140,47.7,5732517395,213,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710333,11,1,1,0,38,2rdnn9p03qrmmv34tyx1nahpa,0,63.5,94.7,2025-05-17T14:01:51.805Z,2025-05-17T14:01:54Z,enc30jhvcxxy3c53muws4gbje,O. Jukkola,,,5732517565,212,11.9,5732517567,213,5.42,5732517559,56,Left,5732517563,141,81.4,5732517557,3,,5732517561,140,70.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710691,12,44,1,0,40,8eab5wbcnttsiosd1o8c71gmk,1,30.8,16.4,2025-05-17T14:01:53.404Z,2025-05-17T14:09:22Z,a9234jafv17dcvbu54expih91,A. Granlund,,,5732519151,56,Back,5732519903,233,12,5732519153,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710335,12,44,1,0,40,2rdnn9p03qrmmv34tyx1nahpa,0,69.2,83.6,2025-05-17T14:01:53.405Z,2025-05-17T14:09:21Z,87xd8a3n7mtk57za6pcc5l5n9,L. Ala-Myllymäki,,,5732519913,233,12,5732517571,56,Left,5732517573,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710339,8,1,1,0,40,8eab5wbcnttsiosd1o8c71gmk,1,33.5,11.4,2025-05-17T14:01:53.473Z,2025-05-17T14:02:53Z,a9234jafv17dcvbu54expih91,A. Granlund,,,5732517603,213,0.19,5732517599,141,16.2,5732517595,56,Right,5732517597,140,50.1,5732517591,3,,5732517601,212,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710341,9,61,1,0,41,8eab5wbcnttsiosd1o8c71gmk,0,50.1,16.2,2025-05-17T14:01:54.421Z,2025-05-17T14:01:54Z,bwn0e8pjrikjcpold20o2os2c,A. Essomba,,,5732517609,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710355,13,1,1,0,42,2rdnn9p03qrmmv34tyx1nahpa,0,53.1,93.5,2025-05-17T14:01:55.333Z,2025-05-17T14:02:09Z,a30y638aa4uo6vudqgrcjvpat,J. Veteli,,,5732517669,56,Back,5732517835,286,,5732517671,140,39.9,5732517829,236,,5732517677,213,2.78,5732517675,212,14.8,5732517831,233,10,5732517673,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710385,10,74,1,0,42,8eab5wbcnttsiosd1o8c71gmk,1,57.8,4.0,2025-05-17T14:01:55.334Z,2025-05-17T14:55:07Z,5fvzbq3mstt7eatkjpodbvpm2,J. Botué,,,5732517803,56,Right,5732517805,285,,5732517839,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710397,11,5,1,0,43,8eab5wbcnttsiosd1o8c71gmk,0,61.1,-1.6,2025-05-17T14:01:56.880Z,2025-05-17T14:54:57Z,bwn0e8pjrikjcpold20o2os2c,A. Essomba,,,5732517847,56,Right,5732517849,347,,5732520845,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710357,14,5,1,0,43,2rdnn9p03qrmmv34tyx1nahpa,1,38.9,101.6,2025-05-17T14:01:56.880Z,2025-05-17T14:54:57Z,a30y638aa4uo6vudqgrcjvpat,J. Veteli,,,5732517683,56,Back,5732517685,347,,5732520839,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710519,15,1,1,0,55,2rdnn9p03qrmmv34tyx1nahpa,0,39.3,100.0,2025-05-17T14:02:08.965Z,2025-05-17T14:07:08Z,cpxcd9wihjrac0ttpvfzv5kkq,M. Rale,,,5732520969,107,,5732518381,212,18.1,5732518377,140,50.3,5732518375,56,Left,5732518379,141,81.5,5732518383,213,5.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815715285,52,61,1,0,56,8eab5wbcnttsiosd1o8c71gmk,1,23.2,27.4,2025-05-17T14:02:09.895Z,2025-05-17T14:07:54Z,53kd57a8pwjno3l6cou3nexn9,J. Hämäläinen,,,5732541191,189,,5732541023,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815714433,71,1,1,0,57,2rdnn9p03qrmmv34tyx1nahpa,1,49.9,86.3,2025-05-17T14:02:10.393Z,2025-05-17T14:07:19Z,cpxcd9wihjrac0ttpvfzv5kkq,M. Rale,,,5732537911,140,63.4,5732537909,56,Center,5732537913,141,76.1,5732537907,3,,5732537917,213,5.83,5732537915,212,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815714437,72,1,1,0,58,2rdnn9p03qrmmv34tyx1nahpa,1,68.5,70.1,2025-05-17T14:02:11.568Z,2025-05-17T14:11:41Z,87xd8a3n7mtk57za6pcc5l5n9,L. Ala-Myllymäki,,,5732558723,56,Center,5732558725,140,57.1,5732558731,213,2.75,5732558727,141,77.3,5732558729,212,12.9,5732558909,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710531,16,1,1,1,0,2rdnn9p03qrmmv34tyx1nahpa,1,50.3,81.5,2025-05-17T14:02:13.229Z,2025-05-17T14:14:11Z,enc30jhvcxxy3c53muws4gbje,O. Jukkola,,,5732518459,213,6.00,5732518451,56,Center,5732518453,140,65.7,5732518457,212,16.9,5732518455,141,74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
