id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value
2815680143,1,34,16,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-05-17T13:27:58.164Z,2025-05-17T14:08:00Z,,,,,5732382119,30,"ebqj8v33xv3otev2pycc6xomh, 19xsgxk4g4gf1ickmbc92uzu, 9fpgvc2avj64hiii3wd6w74k, 7198rz1vtgazkeytaltke2noq, 18p445rm69t2xc13vggv5oueh, 95h8ci71qugckn045d3rumlm1, 5j2hy92q8f17nppznxrp8kxxx, 7mn880d3dieg0qb49tlzx1mfp, 8jb026oewf17pg61vdstcgj4l, eswp4t4r8ktirsnkodz26gyui, 4cooeu9zahategmvpj3zdr6xh, 5qgan4g8ci25xi4v0v5cp0f84, 7jv2mo9fes84761ebn6437axg, 59ktumjupjwefkwh3sciw4qac, 9e99gi213xgj9ekx62q7c7w2c, bas4d4drvf8kefls9tszu0oic, 74r7g6wijdghi1dnr994cclp1, e0p7anuqsx00gybhm4wnkoesp, c9yprnk5bqte686eqdm42oic5, 2e3yktcpxvr1dxy2z1z1dolxw",5732382133,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5732382127,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5732382123,59,"25, 28, 13, 8, 6, 3, 4, 10, 20, 99, 7, 11, 19, 97, 14, 21, 1, 2, 5, 24",5732382129,194,ebqj8v33xv3otev2pycc6xomh,5732382131,197,16086,5732382125,130,4,5732382121,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815685377,1,34,16,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-05-17T13:34:07.393Z,2025-05-17T15:20:06Z,,,,,5732407135,59,"33, 14, 21, 5, 17, 4, 26, 15, 9, 18, 37, 8, 10, 19, 27, 23, 29, 77, 16, 30",5732407131,30,"dl6lfojhwzis2gboqxonxu904, 8bk1u1zlolcgphg6dwdezdre, byudescfxvi1kxlpncbv0mymt, ro21tqqaeslyebto6ukon5zo, 8igk37zt3ixjxdtr1t9kwfnit, c5oixwvc8sk4fxliorsk7a311, 9bd4vf4tdzfipobqzp2r7gbft, 1ds8j4s1h4fydkkhl9qe9l5yi, btr893a8ljoe8av97ji8kwr11, 1nww1pe0ouxnuwt8q9zy4xrmc, c538ewmcaz4z73gcftzedbob9, apryim5dle6o29qp6hpio06sq, 4m7qbjhm8zl0z7px053siv6j9, 23yj26f5kapxyx90glndxs3kk, b9s6ecsxs323kktg3cs3pisk4, 5wtugxjwq7fvbeqcak5j5l5nt, e7mg2hccr1pqnai6u291nlx5g, 7dvn6m2z49c2n1ev0o9rvk93o, 41fgl6geucap62xgimc78e238, 6qgfzh7ijmj01m5mvxhtiq2ok",5732407139,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5732407141,194,c5oixwvc8sk4fxliorsk7a311,5732407145,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5732407137,130,23,5732407133,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5732407143,197,22105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709183,2,32,1,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-05-17T14:00:19.461Z,2025-05-17T14:00:19Z,,,,,5732512741,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709187,2,32,1,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-05-17T14:00:19.461Z,2025-05-17T14:00:22Z,,,,,5732512763,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709189,3,1,1,0,0,303582z192rnbr2x28o2t7u38,0,50.0,50.0,2025-05-17T14:00:19.528Z,2025-05-17T15:07:21Z,8jb026oewf17pg61vdstcgj4l,T. Pukki,,,5732512873,189,,5732512779,279,S,5732512773,141,41.2,5732512775,212,17.9,5732512771,140,33.9,5732512777,213,3.48,5732512769,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709239,3,43,1,0,1,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-05-17T14:00:21.063Z,2025-05-17T15:07:18Z,1ds8j4s1h4fydkkhl9qe9l5yi,C. Edlund,,,5732512971,141,68.4,5732512975,213,2.25,5732512965,56,Back,5732790611,144,1,5732512969,140,40.4,5732512973,212,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815726907,205,79,1,0,2,303582z192rnbr2x28o2t7u38,0,0.0,0.0,2025-05-17T14:00:22.146Z,2025-05-17T14:19:59Z,,,,,5732593147,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815726925,206,79,1,0,3,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-05-17T14:00:22.833Z,2025-05-17T14:20:29Z,,,,,5732593259,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815728557,160,50,1,0,4,8sy0cxovuxo76tuoas3uo55xj,1,59.0,90.2,2025-05-17T14:00:23.637Z,2025-05-17T14:52:40Z,byudescfxvi1kxlpncbv0mymt,M. Sumusalo,,,5732603649,189,,5732605647,233,249,5732603571,56,Left,5732603573,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815728555,249,7,1,0,4,303582z192rnbr2x28o2t7u38,0,41.0,9.8,2025-05-17T14:00:23.638Z,2025-05-17T14:52:40Z,19xsgxk4g4gf1ickmbc92uzu,M. Ylitolva,,,5732605617,285,,5732605613,56,Back,5732605641,233,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
