id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2817382511,1,34,16,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-05-20T14:06:03.289Z,2025-05-20T15:03:37Z,,,,,5741625715,59,"25, 28, 13, 21, 3, 6, 99, 8, 20, 4, 7, 11, 19, 91, 10, 14, 1, 2, 5, 24",5741625725,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5741625711,30,"ebqj8v33xv3otev2pycc6xomh, 19xsgxk4g4gf1ickmbc92uzu, 9fpgvc2avj64hiii3wd6w74k, bas4d4drvf8kefls9tszu0oic, 95h8ci71qugckn045d3rumlm1, 18p445rm69t2xc13vggv5oueh, eswp4t4r8ktirsnkodz26gyui, 7198rz1vtgazkeytaltke2noq, 8jb026oewf17pg61vdstcgj4l, 5j2hy92q8f17nppznxrp8kxxx, 4cooeu9zahategmvpj3zdr6xh, 5qgan4g8ci25xi4v0v5cp0f84, 7jv2mo9fes84761ebn6437axg, 4q9qes9db1l7plfu2re8q3v8, 7mn880d3dieg0qb49tlzx1mfp, 9e99gi213xgj9ekx62q7c7w2c, 74r7g6wijdghi1dnr994cclp1, e0p7anuqsx00gybhm4wnkoesp, c9yprnk5bqte686eqdm42oic5, 2e3yktcpxvr1dxy2z1z1dolxw",5741625717,130,8,5741625713,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5741625719,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5741625723,197,16086,5741625721,194,5j2hy92q8f17nppznxrp8kxxx,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817382553,1,34,16,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-05-20T14:09:15.239Z,2025-05-20T15:09:05Z,,,,,5741626185,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5741626171,30,"dcv3bj7tkpb8of9xh3br2510q, oqudbhzm03z0sfh8tw4qoqhg, 2qks3nbpd8o6igkqjl9e4po4q, bmbdwons7wudqebn3o3flm19l, 23ngtx061omtotnlvbzlgd3bo, 17p2jqe16w5j9qh5f8yr80g7o, f2qohaex1g5tvz10leo2ia6s, ciursygt8i2deeszjdebb28yx, 1coz8r44qcr2aau1u09888i6s, dytql3b2co1cst72z5qf879pl, 6l2pjfuvjdnb6vkv4b0eb8mc4, ayl3txfejfa46xvwnzzd76vze, 7glr1eur910fj5b5fg743job9, 9tz8pzof2v3ktjwsyt3gl18gk, 9f9rakq22c75ur58uel80f7ys, 2tnl1pjxxg2n4564fz9hcdsoa, e9tx4ca2kjj4kj9vm70fv2p04, dssxj3ymyofvhfjgmpg1ftuga, 6ytchu2v0xpk6vkrcpca9m2ac",5741626177,130,3,5741626179,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5741626173,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5741626181,194,bmbdwons7wudqebn3o3flm19l,5741626183,197,22108,5741626175,59,"1, 2, 3, 8, 16, 5, 18, 19, 21, 9, 33, 10, 7, 11, 17, 20, 30, 80, 23",,,,,,,,,,,,,,,,,,,,,,,,,,,
2817384661,2,32,1,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-05-20T15:00:33.126Z,2025-05-20T15:00:35Z,,,,,5741643161,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817384657,2,32,1,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-05-20T15:00:33.126Z,2025-05-20T15:00:33Z,,,,,5741643155,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817384671,3,1,1,0,0,303582z192rnbr2x28o2t7u38,1,49.7,50.4,2025-05-20T15:00:33.127Z,2025-05-20T15:00:36Z,8jb026oewf17pg61vdstcgj4l,T. Pukki,,,5741643205,56,Back,5741643207,140,40.7,5741643215,279,S,5741643211,212,9.5,5741643209,141,52.2,5741643213,213,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817384677,4,1,1,0,2,303582z192rnbr2x28o2t7u38,1,41.4,52.2,2025-05-20T15:00:35.936Z,2025-05-20T15:00:37Z,5j2hy92q8f17nppznxrp8kxxx,A. Ring,,,5741643245,212,27.5,5741643243,141,12.0,5741643247,213,4.83,5741643241,140,44.5,5741643239,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817384683,5,1,1,0,4,303582z192rnbr2x28o2t7u38,1,43.2,18.8,2025-05-20T15:00:37.200Z,2025-05-20T15:00:41Z,19xsgxk4g4gf1ickmbc92uzu,M. Ylitolva,,,5741643269,56,Back,5741643275,212,17.3,5741643271,140,30.5,5741643277,213,2.45,5741643273,141,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817384697,6,1,1,0,8,303582z192rnbr2x28o2t7u38,1,29.7,47.6,2025-05-20T15:00:41.360Z,2025-05-20T15:00:44Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5741643345,212,23.1,5741643341,140,30.8,5741643347,213,1.52,5741643343,141,81.5,5741643339,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817384705,7,1,1,0,10,303582z192rnbr2x28o2t7u38,1,30.3,80.8,2025-05-20T15:00:44Z,2025-05-20T15:00:46Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5741643385,141,63.6,5741643381,56,Back,5741643387,212,12.9,5741643383,140,25.1,5741643389,213,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817384711,8,1,1,0,13,303582z192rnbr2x28o2t7u38,1,26.1,63.1,2025-05-20T15:00:46.239Z,2025-05-20T15:00:51Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5741643431,56,Back,5741643437,212,21.3,5741643439,213,5.87,5741643433,140,44.7,5741643435,141,50.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
