id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value
2815261835,1,34,16,0,0,3cbke8cbou2ms925872vk6dwx,1,0.0,0.0,2025-05-16T14:10:26.473Z,2025-05-16T15:17:02Z,,,,,5730046475,130,2,5730046471,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5730046469,30,"dxlvcn8a2lhtne6py7w4tbpw5, anqhl7ehns6thx9ldto2jp5ud, nxt066bqaqw7grehjw514d7t, 19yfn0sushy5fc003vhn0skwl, 6q0g98fnbdx5sg52lazo2sqac, bpjmwp030jnapyjfii8nyqdhx, bbdoe533sbua0ikwxa8ldo91x, b7x9fczqecsf267ewzcvccmhh, d8t6nh7paunxlvadzlfx69xx, b0wmozayt7xbjz6ihhdiczq0a, 4a8qjfagq2xr6wqsv875jth0q, 8do2uv6sab8cz1556kk5o1q1g, 2h5u151i11d49on3k9cdtfqqc, 3nrf0fvktniv392ytt09npp1w, 5rov9d5353qn4to1rokchh250, 9l78gdpk7fx57b8am6to05gfe, bl43lr9kdb35de8gxvuk4xgk4, 455wfzlw9g457wbrz07i0drtg, d6muts0aeup4vfihqd9sr7310, ecuwplrj6gv5s67cg9lu342ui",5730046481,197,21330,5730046483,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730046473,59,"1, 22, 3, 44, 24, 40, 28, 26, 7, 10, 19, 9, 11, 20, 21, 6, 15, 25, 2, 30",5730046477,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730046479,194,anqhl7ehns6thx9ldto2jp5ud,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815261847,1,34,16,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-05-16T14:10:31.236Z,2025-05-16T15:22:47Z,,,,,5730046551,194,7glr1eur910fj5b5fg743job9,5730046555,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730046543,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",5730046549,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",5730046547,130,4,5730046541,30,"dcv3bj7tkpb8of9xh3br2510q, oqudbhzm03z0sfh8tw4qoqhg, 2qks3nbpd8o6igkqjl9e4po4q, e9tx4ca2kjj4kj9vm70fv2p04, 17p2jqe16w5j9qh5f8yr80g7o, czynssza36ggpaezb0i14si22, bmbdwons7wudqebn3o3flm19l, f2qohaex1g5tvz10leo2ia6s, ayl3txfejfa46xvwnzzd76vze, 9tz8pzof2v3ktjwsyt3gl18gk, 7glr1eur910fj5b5fg743job9, 9f9rakq22c75ur58uel80f7ys, ciursygt8i2deeszjdebb28yx, 2tnl1pjxxg2n4564fz9hcdsoa, 6l2pjfuvjdnb6vkv4b0eb8mc4, dssxj3ymyofvhfjgmpg1ftuga, 23ngtx061omtotnlvbzlgd3bo",5730046545,59,"1, 2, 3, 30, 5, 28, 8, 18, 10, 11, 7, 17, 19, 20, 33, 80, 16",5730046553,197,22108,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815265087,2,32,1,0,0,3cbke8cbou2ms925872vk6dwx,1,0.0,0.0,2025-05-16T15:00:41.121Z,2025-05-16T15:00:43Z,,,,,5730068645,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815265085,2,32,1,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-05-16T15:00:41.121Z,2025-05-16T15:00:41Z,,,,,5730068643,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815265089,3,1,1,0,0,3cbke8cbou2ms925872vk6dwx,1,50.4,50.0,2025-05-16T15:00:41.182Z,2025-05-16T15:00:44Z,b7x9fczqecsf267ewzcvccmhh,R. Eremenko,,,5730068647,56,Back,5730068649,140,23.3,5730068655,213,2.99,5730068651,141,56.3,5730068657,279,S,5730068653,212,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815265097,4,1,1,0,3,3cbke8cbou2ms925872vk6dwx,0,23.3,56.3,2025-05-16T15:00:44.223Z,2025-05-16T15:00:48Z,dxlvcn8a2lhtne6py7w4tbpw5,Á. Craninx,,,5730068701,157,,5730068705,140,72.2,5730068713,1,,5730068711,213,0.32,5730068703,56,Left,5730068707,141,81.4,5730068709,212,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815265101,3,12,1,0,6,ea3yd0dgq6uy6pupkpn17j5xg,1,23.5,18.5,2025-05-16T15:00:47.184Z,2025-05-16T15:03:15Z,17p2jqe16w5j9qh5f8yr80g7o,O. Väistö,,,5730068727,56,Back,5730068733,212,15.4,5730068729,140,36.7,5730068731,141,8.5,5730068735,213,5.83,5730068737,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815265105,5,61,1,0,10,3cbke8cbou2ms925872vk6dwx,1,67.5,82.1,2025-05-16T15:00:51.667Z,2025-05-16T15:03:32Z,anqhl7ehns6thx9ldto2jp5ud,J. Raitala,,,5730068751,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815265263,14,1,1,0,12,3cbke8cbou2ms925872vk6dwx,0,57.1,84.2,2025-05-16T15:00:53.174Z,2025-05-16T15:04:40Z,6q0g98fnbdx5sg52lazo2sqac,P. Gnanou,,,5730071513,1,,5730071501,56,Left,5730071505,141,79.1,5730071503,140,74.8,5730071511,213,6.10,5730071509,212,18.9,5730071499,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815265111,4,1,1,0,13,ea3yd0dgq6uy6pupkpn17j5xg,0,18.8,13.4,2025-05-16T15:00:54.539Z,2025-05-16T15:00:55Z,oqudbhzm03z0sfh8tw4qoqhg,G. Oksanen,,,5730068771,157,,5730068775,140,44.5,5730068781,213,0.26,5730068783,1,,5730068773,56,Back,5730068777,141,24.1,5730068779,212,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
