id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/11/value,qualifier/15/value,qualifier/16/value
2817813257,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-05-22T16:13:04.540Z,2025-05-23T18:10:08Z,,,,,5744153859,197,24385,5744104605,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5744104597,30,"emakjdiju8z2peey3ytjahz6y, e0nkqbugb4xkpluu5e42zf2ms, aejgqvdw1jftxaa538kaa15w4, 4rhxehi019n7z1z1m7a39w1sk, duvhbifjh37mvlm46akiy431m, em0yawcqyqwf53hbj0zlz4duc, 1el3mu4rgcx8tebrawgfvynf8, cf6zq49y8v1ekw07e7yi3uac, m031ocyfq011rual3olkegdm, bwozpgcm48s08t1glxfgjajmd, d1qyvtgj16160ufegxkspgb9w, 4brcvdxviy9f03iwcavxll80l, 7pnxa8wzxx5qxevcckxdd62tx, 4lac0f1ev5usxpka7gaev3hii, 3wx08y3aabvejd8phcglis3dg, 4olk8vflmyc2wo0uq37qbi9zo, 8rdndyl03uhh1u5id0qf3ymms, g2cgdv428rmpmb0om40ldses, d106tu53y5q02yu36iojbou8k, 4ieyvppe24gqdkm2xv2xlaluc",5744104603,130,7,5744104609,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5744104599,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5744104601,59,"16, 25, 3, 14, 2, 34, 11, 18, 15, 6, 9, 5, 7, 8, 22, 23, 24, 26, 27, 30",5744104607,194,bwozpgcm48s08t1glxfgjajmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817814921,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-05-22T16:21:16.804Z,2025-05-22T17:04:21Z,,,,,5744114637,59,"1, 2, 3, 27, 5, 4, 29, 6, 15, 8, 11, 9, 16, 17, 18, 21, 28, 33",5744161251,194,2uellcocrvapu7o70g5zdcmad,5744114641,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5744114639,130,8,5744114633,30,"9y3vs6l0mjj38z0kw062jlh3p, 6g671k5lvgoo2bgub2516q1w4, eyvv6b94feknnp1uew6n0ytat, 4a0jmv6qmwn01iuqp1mhnyzth, 2uellcocrvapu7o70g5zdcmad, 9213debwtuph6cjborx73sx78, 8viazilbghyogmhd7w3lg2six, e8vt8711wb40afht2v13omket, x3ad9hfxts6jpfugy3kvq9d5, ezbixgm2km8iapnsl57bn4wkp, 8i0o1b8rjsab9se3v6vteqmfo, 5mmgppapbchmcj9zdtyw0w5xw, dja68kdmhtsm9x5zqzgtpqas4, egnjbmbxkceiygmp2jty4b47o, 86mx27krl6c613x6e3t9g3cic, ab3nxxoj7bxlnhot9htoex1xw, 8xe0fufxfgf5cuwgysz3r2j85, 1j48dmn5tafd2gp4rjmjlbm6s",5744157891,197,19798,5744114635,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5744114643,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822445,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-05-22T17:02:12.204Z,2025-05-23T12:56:52Z,,,,,5744158507,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822449,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-05-22T17:02:12.204Z,2025-05-22T17:02:14Z,,,,,5744158513,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822453,3,1,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,50.0,50.0,2025-05-22T17:02:12.205Z,2025-05-22T17:02:16Z,x3ad9hfxts6jpfugy3kvq9d5,C. Björk,,,5744158567,213,3.58,5744158561,140,29.2,5744158559,56,Back,5744158563,141,34.8,5744158569,279,S,5744158565,212,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822459,4,1,1,0,3,ajtb177oqwawkdwbqhldmq6mx,0,29.2,34.8,2025-05-22T17:02:15.903Z,2025-05-22T18:01:56Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5744158607,213,0.18,5744158601,140,94.9,5744158599,56,Center,5744158603,141,53.0,5744158609,1,,5744158597,157,,5744158605,212,70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822467,3,44,1,0,5,bd4qakf7j0wwie8wke9km7uj8,1,11.8,42.5,2025-05-22T17:02:17.893Z,2025-05-22T19:06:53Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5744158647,233,5,5744158635,56,Back,5744158637,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822465,5,44,1,0,5,ajtb177oqwawkdwbqhldmq6mx,0,88.2,57.5,2025-05-22T17:02:17.894Z,2025-05-22T19:06:53Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5744158657,233,3,5744158633,286,,5744158631,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822471,4,12,1,0,5,bd4qakf7j0wwie8wke9km7uj8,1,22.9,34.9,2025-05-22T17:02:18.017Z,2025-05-23T12:57:10Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5744904229,15,,5744158681,141,40.4,5744158683,212,7.7,5744158685,213,0.51,5744158679,140,29.3,5744158677,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822475,5,1,1,0,8,bd4qakf7j0wwie8wke9km7uj8,1,29.3,40.4,2025-05-22T17:02:20.298Z,2025-05-22T17:02:21Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5744158705,140,32.5,5744158709,212,16.9,5744158703,56,Back,5744158713,1,,5744158707,141,64.8,5744158701,157,,5744158711,213,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822485,6,1,1,0,9,bd4qakf7j0wwie8wke9km7uj8,1,32.5,64.8,2025-05-22T17:02:21.417Z,2025-05-22T17:02:24Z,d1qyvtgj16160ufegxkspgb9w,M. Uhd,,,5744158769,56,Back,5744158775,212,16.1,5744158773,141,88.4,5744158767,3,,5744158771,140,33.3,5744158777,213,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822505,8,1,1,0,13,bd4qakf7j0wwie8wke9km7uj8,1,39.5,71.4,2025-05-22T17:02:25.393Z,2025-05-22T19:24:00Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5744158897,213,5.11,5744158891,140,44.8,5744158893,141,51.9,5744158895,212,14.4,5744158887,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822521,9,1,1,0,14,bd4qakf7j0wwie8wke9km7uj8,1,46.0,49.0,2025-05-22T17:02:27.161Z,2025-05-22T17:02:31Z,1el3mu4rgcx8tebrawgfvynf8,S. Baskaya,,,5744158979,140,60.0,5744158981,141,7.4,5744158977,56,Right,5744158985,213,5.19,5744158983,212,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822533,10,1,1,0,18,bd4qakf7j0wwie8wke9km7uj8,1,65.8,8.5,2025-05-22T17:02:31.168Z,2025-05-22T17:02:34Z,e0nkqbugb4xkpluu5e42zf2ms,F. Engqvist,,,5744159051,56,Right,5744159059,213,0.17,5744159057,212,26.6,5744159053,140,90.8,5744159055,141,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822535,11,3,1,0,22,bd4qakf7j0wwie8wke9km7uj8,0,90.4,10.6,2025-05-22T17:02:34.625Z,2025-05-23T18:11:15Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5744904377,464,,5745139203,233,6,5744159063,56,Right,5744159065,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822539,6,7,1,0,22,ajtb177oqwawkdwbqhldmq6mx,1,9.6,89.4,2025-05-22T17:02:34.626Z,2025-05-23T18:11:14Z,9213debwtuph6cjborx73sx78,O. Søe,,,5744904383,178,,5744159089,285,,5744159085,167,,5745139197,233,11,5744904381,385,,5744159087,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822557,7,5,1,0,23,ajtb177oqwawkdwbqhldmq6mx,0,9.1,101.8,2025-05-22T17:02:35.962Z,2025-05-22T19:09:25Z,9213debwtuph6cjborx73sx78,O. Søe,,,5744159179,56,Back,5744159651,233,12,5744159181,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822633,12,5,1,0,23,bd4qakf7j0wwie8wke9km7uj8,1,90.9,-1.8,2025-05-22T17:02:35.962Z,2025-05-22T19:09:24Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5744159623,56,Right,5744159625,347,,5744159645,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822655,13,1,1,0,47,bd4qakf7j0wwie8wke9km7uj8,0,88.3,0.0,2025-05-22T17:02:59.361Z,2025-05-22T17:03:01Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5744159771,107,,5744159777,141,32.8,5744159783,1,,5744159775,140,91.2,5744159779,212,23.6,5744159773,56,Center,5744159781,213,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
