id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value
2797065237,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-04-06T10:55:17.567Z,2025-04-06T14:17:05Z,,,,,5629580251,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629808131,197,12588,5629580235,30,"6sdv4s8oz558wfhx72vwlpvu2, ekx0wotp433tuaw4g93nybjmc, 4zpmxlmdfa5wx79cr0q14pfx1, 8ewvm6ux4yvpwgrzjkc1chqwa, 9delpquqv81o7ftrgefb0wpp0, 3xz0h3d6r2qgmv9egms8yaz56, 9fvf8z6p8ok0n5vu999ysfywa, 5u9zrgsm6wycfcbk04m64wd1w, e3546n3qj447qgmizao50zx1w, 9ircna8pbskreztmy1wiqwx9m, 8h3cyhuw5049gcxrsld3rw1ec, 7xde75gwrng67wvjkugv9xih, b55jtl3ixolidn6cvc4t90efo, 44gqeji9twbkdtrcr2ias4efo, e2aqcawslcbpp88nia8eko2y1, bq76t7rh2vynmvwx9mtvnl9g4, 5moycfv7blzfnjqiruao7dv6c, 423hv4unq5vvnp7kecv6wp3is, 6bajck5osvj7trnwt2a5mc3dg, 4uuqid6t4nspn0wspyltz3bx0",5629580255,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629580247,130,10,5629580243,59,"99, 7, 10, 3, 30, 4, 24, 23, 12, 17, 18, 1, 2, 8, 15, 16, 19, 20, 22, 33",5629580239,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5629812741,194,3xz0h3d6r2qgmv9egms8yaz56,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797066519,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-04-06T10:58:20.829Z,2025-04-06T14:13:51Z,,,,,5629797743,197,4652,5629588043,130,8,5629588041,59,"1, 2, 21, 10, 3, 15, 9, 5, 14, 17, 7, 4, 6, 8, 12, 16, 19, 25, 27, 38",5629588045,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629797739,194,1se7wkenvs4elrapvdw9mdnje,5629588047,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629588039,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5629588037,30,"7fkc01xxyl1trj3uav134ehyi, s8c0oxnoqt6zi7pi88rwawvd, 1se7wkenvs4elrapvdw9mdnje, 7wo1hk736v1xhovvu2t2trw89, aqc0qritba195wf770gyd1149, c7buy99bjqmkmno8w5t0189d6, 4mxciw9jsj9l437fd7bv78p91, bmkwmf5f2ssnw2cq7uga7yd5g, 4jve632xnmqujh4ioaxpaovai, 9n2nm6smh0txgv2482qbwhixg, 6hmsrr08cllpl4iumu92zskbt, 37mo55lynu3blqnb8k9ln8k16, 8k4wwchytdstpn0yhrxd5nbv9, 15yli690oxmbr4dl1ksti2p9m, ate1ymumg2iwzn8uyyf3ts222, 45bcgucg627rhrdgt8tn9hd9m, cqgmx6eiriomccxfhykh31r10, 839pm7rmjp6q1bt52f7ek9vys, 418pvntm5e5kcoeyjjnzm7hg4, 5sha6xhovfmuzd7rolx1om39w",,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109517,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-04-06T12:00:38.267Z,2025-04-06T12:00:38Z,,,,,5629809021,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109527,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-04-06T12:00:38.267Z,2025-04-06T12:00:40Z,,,,,5629809037,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109567,3,1,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,50.1,50.3,2025-04-06T12:00:38.268Z,2025-04-06T12:04:17Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5629809131,213,3.60,5629809123,56,Back,5629809127,141,33.9,5629809129,212,25.2,5629809133,279,S,5629809125,140,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109615,4,1,1,0,4,f1h34qp5zbfl489q8vnkhiq9s,0,32.2,39.1,2025-04-06T12:00:42.470Z,2025-04-06T12:00:45Z,aqc0qritba195wf770gyd1149,A. Skipper,,,5629809363,141,81.2,5629809369,1,,5629809367,213,0.65,5629809365,212,47.3,5629809359,56,Left,5629809357,155,,5629809361,140,68.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109647,3,1,1,0,8,b8oqgvx1ijeyn6y1cn6929ix4,0,36.8,25.0,2025-04-06T12:00:46.461Z,2025-04-06T12:00:47Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5629809515,213,0.28,5629809511,141,26.7,5629809505,3,,5629809507,56,Back,5629809513,212,4.3,5629809509,140,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109709,5,1,1,0,10,f1h34qp5zbfl489q8vnkhiq9s,0,63.5,82.6,2025-04-06T12:00:48.960Z,2025-04-06T12:00:50Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5629809771,140,66.5,5629809775,212,13.2,5629809769,56,Left,5629809767,3,,5629809779,213,1.33,5629809773,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109871,4,5,1,0,10,b8oqgvx1ijeyn6y1cn6929ix4,1,36.4,-1.6,2025-04-06T12:00:49.188Z,2025-04-06T14:03:18Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5629810521,347,,5629810563,233,6,5629810517,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109711,6,5,1,0,10,f1h34qp5zbfl489q8vnkhiq9s,0,63.6,101.6,2025-04-06T12:00:49.188Z,2025-04-06T14:03:18Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5629810623,233,4,5629809799,347,,5629809797,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
