id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/8/value,qualifier/16/value,qualifier/15/value
2709221941,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-08-16T16:21:35.703Z,2024-08-16T16:34:55Z,,,,,5150043993,30,"8mswl5vzza12hylodrrsq3zvu, 9lsylzgf7e3i5zb0fshnxo6xg, elsygne5tjybbxrqgehtovnro, bpldj4qdzfdm1n739atcadbmc, 5z7y55t2o577r8ki3i5855as, 9350utk4onh2hv5jznxqpkd7t, 1n4eldqa7h9jvcx1693zqu06i, 2tcdx5rp7vujnlid4oqqxdogk, 1fjkjzsei9slx2t4zhsqdkve1, bop31qof3lon7u6rvmb68ktzp, uiyol728wan4mxco2foplknp, 81gka3mi69fh8gyehyy8xo9as, 5i6n6yne6fh410vk7p7kkokmi, 8gqvlydur0v4cpmz1ozqkejh0, 3rok7i8nrt4yzx2melj4qiuqc, khqldwfq14b7giakss24l9t5, 55qsxtqivxajkxmpdeyccus5w, 85a9bmnu6fqvhlff28qm0e0a1, 7l7f98nn8gohmdacsdb2labkk, 3avg1grraylzm6xjt5kt18is4",5150044001,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5150043995,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5150062999,197,16110,5150043997,59,"1, 18, 5, 20, 7, 2, 8, 6, 9, 10, 17, 3, 4, 11, 14, 21, 26, 27, 34, 23",5150044003,194,5z7y55t2o577r8ki3i5855as,5150043999,130,8,5150044005,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709222785,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-08-16T16:25:12.592Z,2024-08-16T20:19:19Z,,,,,5150048867,194,619s1phj5bkgkug3aszc1y9cl,5150048865,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5150048857,30,"dqqswfn9s1tdxjoslts8ks6xg, 4m7gr5z6b40dj02yrmlwgeluc, 1icurh5jrnw1e6jdgqxjnhdnu, 11ngumxajbizagbzpm5kompxx, am3509ake84cde1xhb9264i22, 2pm5oqzyonn0dysa5nszgq3xm, e0u730to91qqtvvx16uhajz10, 69h930ebovyl7rut5dz4r2iok, 3mcj3wypzq3lno1ehc0vif1sl, 619s1phj5bkgkug3aszc1y9cl, bmvcofmie6om4muxij4kdkro4, 98zlz2sscsf6vb7d52ici074k, 74m58jsznzu8l89b8h7rkh1bd, 2lc9bt5639t572il73e9y044, 4ti8pdx03j8dh4mdb626ltmvo, eu574m78nqv6a5638b44oquqc, 3mgrufy83uhzs9liw8pwxi784, d2ukggo2v5jsw4pctznmaijo4, 45b72f8szmqnv8tz06j7mj1wq, egxik3guom123v43rthy89c7o",5150048863,130,7,5150048869,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5150093445,197,9535,5150048861,59,"1, 3, 5, 6, 2, 4, 30, 8, 26, 7, 27, 9, 10, 12, 21, 24, 28, 33, 14, 32",5150048859,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709230827,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-08-16T16:59:29.534Z,2024-08-16T16:59:29Z,,,,,5150094451,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709230833,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-08-16T16:59:29.534Z,2024-08-16T16:59:31Z,,,,,5150094475,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709230831,3,1,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,50.0,50.0,2024-08-16T16:59:29.535Z,2024-08-16T17:57:26Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,,5150094463,141,47.0,5150094465,212,2.5,5150094467,213,4.12,5150094459,56,Back,5150094461,140,48.7,5150094469,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709230835,4,1,1,0,1,aqtkb4mgrz8c6iqfufj6qjbv9,1,48.8,47.0,2024-08-16T16:59:31.431Z,2024-08-16T16:59:32Z,bop31qof3lon7u6rvmb68ktzp,M. Bay,,,5150094481,141,38.9,5150094483,212,11.8,5150094477,56,Back,5150094479,140,38.9,5150094485,213,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709230841,5,1,1,0,2,aqtkb4mgrz8c6iqfufj6qjbv9,1,38.9,38.9,2024-08-16T16:59:32.294Z,2024-08-16T16:59:35Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,,5150094523,141,69.4,5150094525,212,24.3,5150094527,213,2.12,5150094521,140,26.8,5150094519,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709230845,6,1,1,0,5,aqtkb4mgrz8c6iqfufj6qjbv9,1,27.5,71.7,2024-08-16T16:59:34.870Z,2024-08-16T16:59:37Z,9350utk4onh2hv5jznxqpkd7t,R. Møller,,,5150094545,140,37.5,5150094551,213,0.99,5150094543,56,Back,5150094547,141,95.3,5150094549,212,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709230853,7,1,1,0,7,aqtkb4mgrz8c6iqfufj6qjbv9,1,38.3,95.9,2024-08-16T16:59:37.118Z,2024-08-16T16:59:40Z,elsygne5tjybbxrqgehtovnro,L. Bøje-Larsen,,,5150094599,140,20.7,5150094601,141,84.2,5150094597,56,Back,5150094603,212,20.1,5150094605,213,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709230867,8,1,1,0,11,aqtkb4mgrz8c6iqfufj6qjbv9,1,22.4,82.1,2024-08-16T16:59:40.791Z,2024-08-16T16:59:46Z,9350utk4onh2hv5jznxqpkd7t,R. Møller,,,5150094697,56,Back,5150094699,140,24.7,5150094701,141,36.1,5150094705,213,4.79,5150094703,212,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
