id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2803795163,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-04-20T11:41:27.960Z,2025-04-20T15:44:44Z,,,,,5666670531,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5666670521,30,"8mswl5vzza12hylodrrsq3zvu, 81gka3mi69fh8gyehyy8xo9as, 85a9bmnu6fqvhlff28qm0e0a1, 5i6n6yne6fh410vk7p7kkokmi, 5z7y55t2o577r8ki3i5855as, 559w0q3q2smb3aeotyi724s9g, 5dlh0fa9yo6z283w9p58xmnoq, 2tcdx5rp7vujnlid4oqqxdogk, bop31qof3lon7u6rvmb68ktzp, 3avg1grraylzm6xjt5kt18is4, uiyol728wan4mxco2foplknp, 9350utk4onh2hv5jznxqpkd7t, 1n4eldqa7h9jvcx1693zqu06i, 1fjkjzsei9slx2t4zhsqdkve1, akiwokthm1z7rbifshqhs24t1, 3rok7i8nrt4yzx2melj4qiuqc, f0nicq49lzng7vjxm5gcpij8, 21bafxfg7hy0agd0upyqxw0a2, 7l7f98nn8gohmdacsdb2labkk, 74gioldvq6q6xgb3q7k1bv7dg",5666670525,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5666861627,194,5z7y55t2o577r8ki3i5855as,5666670529,130,13,5666670533,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5666880585,197,16344,5666670527,59,"1, 3, 27, 4, 7, 25, 12, 6, 10, 23, 17, 2, 8, 9, 11, 14, 16, 29, 34, 26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803807491,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-04-20T11:55:57.886Z,2025-04-20T12:26:55Z,,,,,5666732101,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5666732095,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5666732089,59,"1, 2, 3, 4, 14, 26, 18, 6, 9, 11, 10, 12, 22, 23, 24, 25, 27, 30, 34",5666732085,30,"c4esrbgbv6v715768v2cb676d, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, 81c40rn7lrb39qu0sam8kv6dw, 4rhxehi019n7z1z1m7a39w1sk, g2cgdv428rmpmb0om40ldses, cf6zq49y8v1ekw07e7yi3uac, bwozpgcm48s08t1glxfgjajmd, d1qyvtgj16160ufegxkspgb9w, 1el3mu4rgcx8tebrawgfvynf8, 7h02v4ymnko5fh01iylbh34es, 35og29e19w0ykeqcvudhpgr8, 3wx08y3aabvejd8phcglis3dg, 4olk8vflmyc2wo0uq37qbi9zo, 8rdndyl03uhh1u5id0qf3ymms, e0nkqbugb4xkpluu5e42zf2ms, d106tu53y5q02yu36iojbou8k, 4ieyvppe24gqdkm2xv2xlaluc, em0yawcqyqwf53hbj0zlz4duc",5666732099,194,bwozpgcm48s08t1glxfgjajmd,5666732087,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5666882289,197,24385,5666732093,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803838989,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-04-20T12:30:31.600Z,2025-04-20T12:30:31Z,,,,,5666893329,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803838999,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-04-20T12:30:31.600Z,2025-04-20T12:30:34Z,,,,,5666893359,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803839023,3,1,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,50.0,50.0,2025-04-20T12:30:31.601Z,2025-04-20T12:30:35Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5666893465,213,3.65,5666893461,141,36.9,5666893459,140,34.9,5666893463,212,18.2,5666893467,279,S,5666893457,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803864081,275,1,1,0,6,bd4qakf7j0wwie8wke9km7uj8,1,29.8,58.1,2025-04-20T12:30:37.616Z,2025-04-20T14:41:49Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5667551555,157,,5667551565,1,,5667551561,212,55.2,5667024927,56,Right,5667551559,141,15.6,5667551563,213,5.73,5667551557,140,74.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803839117,5,1,1,0,7,bd4qakf7j0wwie8wke9km7uj8,1,72.4,6.5,2025-04-20T12:30:39.286Z,2025-04-20T12:30:42Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5666894033,212,22.2,5666894029,140,93.4,5666894025,56,Right,5666894035,213,6.16,5666894017,3,,5666894021,168,,5666894031,141,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803839123,6,61,1,0,10,bd4qakf7j0wwie8wke9km7uj8,0,93.4,2.5,2025-04-20T12:30:42.086Z,2025-04-20T12:30:42Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5666894073,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803839247,3,5,1,0,11,aqtkb4mgrz8c6iqfufj6qjbv9,1,-1.1,88.8,2025-04-20T12:30:42.902Z,2025-04-20T14:51:26Z,85a9bmnu6fqvhlff28qm0e0a1,D. Johansen,,,5666894741,233,7,5666894737,56,Back,5666894739,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803839165,7,5,1,0,11,bd4qakf7j0wwie8wke9km7uj8,0,101.1,11.2,2025-04-20T12:30:42.902Z,2025-04-20T14:51:27Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5666894297,56,Right,5666894299,346,,5666894799,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803839287,4,1,1,0,22,aqtkb4mgrz8c6iqfufj6qjbv9,1,4.3,49.9,2025-04-20T12:30:53.879Z,2025-04-20T12:30:57Z,8mswl5vzza12hylodrrsq3zvu,A. Kappenberger,,,5666894983,141,27.7,5666894981,140,7.1,5666894977,124,,5666894985,212,15.4,5666894979,56,Back,5666894991,237,,5666894987,213,4.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803839333,5,1,1,0,25,aqtkb4mgrz8c6iqfufj6qjbv9,0,11.7,28.6,2025-04-20T12:30:57.351Z,2025-04-20T12:31:00Z,5i6n6yne6fh410vk7p7kkokmi,G. Arndal-Lauritzen,,,5666895219,213,6.12,5666895209,157,,5666895215,141,16.7,5666895211,56,Right,5666895221,1,,5666895217,212,48.7,5666895213,140,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803839371,8,1,1,0,29,bd4qakf7j0wwie8wke9km7uj8,1,37.1,93.3,2025-04-20T12:31:00.950Z,2025-04-20T12:31:02Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5666895433,213,4.55,5666895423,3,,5666895427,140,36.2,5666895431,212,5.9,5666895425,56,Back,5666895429,141,84.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803839379,9,1,1,0,31,bd4qakf7j0wwie8wke9km7uj8,0,36.2,84.7,2025-04-20T12:31:02.998Z,2025-04-20T12:31:03Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5666895485,168,,5666895495,213,0.47,5666895491,141,90.9,5666895489,140,44.2,5666895483,3,,5666895487,56,Back,5666895493,212,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803839421,6,1,1,0,31,aqtkb4mgrz8c6iqfufj6qjbv9,1,54.1,20.3,2025-04-20T12:31:03.207Z,2025-04-20T12:31:05Z,bop31qof3lon7u6rvmb68ktzp,M. Bay,,,5666895697,3,,5666895707,141,26.6,5666895709,212,8.5,5666895701,56,Back,5666895711,213,2.61,5666895705,140,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803839429,7,43,1,0,34,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-04-20T12:31:05.663Z,2025-04-20T12:31:13Z,5dlh0fa9yo6z283w9p58xmnoq,N. Schmidt,,,5666896399,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803839475,8,1,1,0,34,aqtkb4mgrz8c6iqfufj6qjbv9,1,47.1,26.8,2025-04-20T12:31:06.130Z,2025-04-20T12:31:09Z,5dlh0fa9yo6z283w9p58xmnoq,N. Schmidt,,,5666895967,212,14.2,5666895969,213,4.20,5666895965,141,8.6,5666895963,140,40.5,5666895961,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803839485,9,1,1,0,37,aqtkb4mgrz8c6iqfufj6qjbv9,1,40.5,8.6,2025-04-20T12:31:09.183Z,2025-04-20T12:31:09Z,559w0q3q2smb3aeotyi724s9g,W. Glindtvad,,,5666896011,56,Back,5666896013,140,45.2,5666896015,141,3.8,5666896019,213,5.70,5666896017,212,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803839501,10,1,1,0,38,aqtkb4mgrz8c6iqfufj6qjbv9,1,45.2,3.8,2025-04-20T12:31:09.719Z,2025-04-20T12:31:10Z,81gka3mi69fh8gyehyy8xo9as,C. Allen,,,5666896085,140,46.5,5666896091,213,1.46,5666896089,212,12.9,5666896083,56,Back,5666896087,141,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803839507,11,1,1,0,38,aqtkb4mgrz8c6iqfufj6qjbv9,1,46.5,22.6,2025-04-20T12:31:10.367Z,2025-04-20T12:31:11Z,bop31qof3lon7u6rvmb68ktzp,M. Bay,,,5666896113,141,22.7,5666896115,212,16.9,5666896109,140,30.4,5666896119,213,3.14,5666896107,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
