id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2780073543,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-02-23T13:14:02.433Z,2025-02-23T14:05:36Z,,,,,5536410063,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5536643037,194,3od63zrf6cay4d6ync9i2iuqc,5536410071,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5536410061,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 4bojyjyvkdgm1lss6n37q2t5g, 7rt4wpc0qphwnvhn8jeazesfe, b1kyjkhaaiw32cb4bubbpm7tg, 3od63zrf6cay4d6ync9i2iuqc, 7ztdirfvd9d0x2yw1v051xzbo, 23sc7wc7my7wes6cuaxw1v0no, ayxi2m0g0pm6rl1ba5pto66z9, 4m3slt6iikaxklqd12i719rl5, y4dl1rer075c9wz6zhx7skbt, cu2l7ju3t72stqhwaurrnqbqh, bvc80w5ai425plu54nhgx5fxl, dgcbjg2ymgi70yv1n8ugkv02c, 6wfu6s6xo5zjeke21fgbouql0, 6lb4k3g75nzgi8bp1y1mzxkru, 91xtn2wlot8g8ue89zn4iiyqy, 2zt1yrfv8m2mhpo720n0uydck, 289rctmvd5ppy9zqn98jbe4et",5536642617,197,11563,5536410065,59,"90, 14, 17, 6, 4, 5, 13, 21, 7, 11, 97, 1, 2, 3, 8, 9, 19, 20, 98",5536410067,130,4,5536410069,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780076391,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-02-23T13:17:39.105Z,2025-02-24T06:31:21Z,,,,,5536424673,130,13,5536597413,197,9535,5536424671,59,"1, 3, 21, 4, 22, 16, 6, 10, 26, 11, 5, 14, 17, 20, 23, 24, 28, 29, 31, 8",5536424669,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5536424667,30,"dqqswfn9s1tdxjoslts8ks6xg, 4m7gr5z6b40dj02yrmlwgeluc, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 5nved2kta2hk8103hkyhq33hm, 67p0s4o54xcmiustgy8k5gljo, 11ngumxajbizagbzpm5kompxx, 74m58jsznzu8l89b8h7rkh1bd, 3mcj3wypzq3lno1ehc0vif1sl, abhfq12njxxutqjtb9zvcusyc, 1icurh5jrnw1e6jdgqxjnhdnu, egxik3guom123v43rthy89c7o, 6orujbbswf771s9rv0dcd8kd0, d2ukggo2v5jsw4pctznmaijo4, 7al9w77ailhli8g487tkl32tw, eu574m78nqv6a5638b44oquqc, 3mgrufy83uhzs9liw8pwxi784, bwxxfcjd31gykfbpomwr1od90, k43cten7yb6p59yo0firhb84, 444n8m1tirk6lp739iigw42c5",5536424677,194,3mcj3wypzq3lno1ehc0vif1sl,5536424679,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5536424675,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112287,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-02-23T14:00:40.289Z,2025-02-23T14:00:42Z,,,,,5536616471,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112283,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-02-23T14:00:40.289Z,2025-02-23T14:00:40Z,,,,,5536616451,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112311,3,1,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,49.9,49.9,2025-02-23T14:00:40.290Z,2025-02-23T14:00:43Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5536616581,212,23.1,5536616585,279,S,5536616575,56,Back,5536616583,213,3.09,5536616577,140,27.9,5536616579,141,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112335,4,1,1,0,2,8cfkisxf1fkxdqtt6tx1tup48,0,27.9,51.8,2025-02-23T14:00:42.888Z,2025-02-23T14:00:46Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5536616753,213,0.32,5536616751,212,43.0,5536616747,140,66.8,5536616749,141,71.4,5536616743,56,Center,5536616755,1,,5536616741,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112397,5,1,1,0,7,8cfkisxf1fkxdqtt6tx1tup48,0,60.3,68.7,2025-02-23T14:00:47.966Z,2025-02-23T14:00:51Z,11ngumxajbizagbzpm5kompxx,M. Chacón,,,5536617111,212,17.3,5536617113,213,0.86,5536617109,141,88.0,5536617107,140,71.0,5536617103,56,Left,5536617099,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112437,4,44,1,0,10,6wwwud48qahpwrfxs20334qk5,1,29.8,16.2,2025-02-23T14:00:50.461Z,2025-02-23T16:14:03Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,,5536617309,233,6,5536617289,56,Back,5536617291,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112405,6,44,1,0,10,8cfkisxf1fkxdqtt6tx1tup48,0,70.2,83.8,2025-02-23T14:00:50.462Z,2025-02-23T16:14:03Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5536617139,56,Left,5536617141,286,,5536617345,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112427,3,1,1,0,10,6wwwud48qahpwrfxs20334qk5,0,29.3,20.2,2025-02-23T14:00:50.666Z,2025-02-23T14:00:52Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,,5536617239,141,23.6,5536617237,140,35.2,5536617229,3,,5536617233,56,Back,5536617241,212,6.6,5536617243,213,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112455,5,1,1,0,12,6wwwud48qahpwrfxs20334qk5,0,31.2,23.0,2025-02-23T14:00:52.369Z,2025-02-23T14:00:54Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,,5536617411,213,4.02,5536617403,140,23.9,5536617401,56,Back,5536617397,3,,5536617407,141,9.4,5536617409,212,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112473,7,3,1,0,13,8cfkisxf1fkxdqtt6tx1tup48,0,77.2,89.6,2025-02-23T14:00:54.175Z,2025-02-23T14:02:23Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5536624593,233,20,5536617497,286,,5536617491,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780113831,20,7,1,0,13,6wwwud48qahpwrfxs20334qk5,1,22.8,10.4,2025-02-23T14:00:54.176Z,2025-02-23T14:02:22Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5536624481,285,,5536624535,233,7,5536624477,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112509,6,1,1,0,15,6wwwud48qahpwrfxs20334qk5,0,25.9,16.1,2025-02-23T14:00:55.776Z,2025-02-23T14:00:56Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,,5536617625,56,Back,5536617629,141,11.0,5536617631,212,4.1,5536617627,140,28.0,5536617633,213,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112515,8,1,1,0,15,8cfkisxf1fkxdqtt6tx1tup48,1,76.1,90.9,2025-02-23T14:00:55.782Z,2025-02-23T14:04:25Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5536617669,141,77.3,5536617673,213,4.55,5536617665,140,74.7,5536617661,56,Center,5536617671,212,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780115733,35,61,1,0,16,8cfkisxf1fkxdqtt6tx1tup48,1,61.2,91.4,2025-02-23T14:00:57.190Z,2025-02-23T14:59:05Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5536634587,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780173235,373,61,1,0,17,8cfkisxf1fkxdqtt6tx1tup48,0,72.3,84.2,2025-02-23T14:00:57.289Z,2025-02-23T14:59:16Z,74m58jsznzu8l89b8h7rkh1bd,C. Jensen,,,5536948497,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112587,8,1,1,0,18,6wwwud48qahpwrfxs20334qk5,1,29.7,21.8,2025-02-23T14:00:59.032Z,2025-02-23T14:01:00Z,7rt4wpc0qphwnvhn8jeazesfe,F. Winther,,,5536617981,141,22.0,5536617985,213,0.01,5536617983,212,10.5,5536617977,56,Back,5536617979,140,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780120683,101,1,1,0,19,6wwwud48qahpwrfxs20334qk5,1,43.5,21.5,2025-02-23T14:00:59.421Z,2025-02-23T14:08:43Z,ayxi2m0g0pm6rl1ba5pto66z9,G. Marcussen,,,5536661117,213,1.40,5536661115,212,16.7,5536661111,140,46.2,5536661109,56,Back,5536661113,141,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112607,9,61,1,0,20,6wwwud48qahpwrfxs20334qk5,0,42.8,20.2,2025-02-23T14:01:01.242Z,2025-02-23T14:08:37Z,23sc7wc7my7wes6cuaxw1v0no,J. Lindekilde,,,5536618101,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112777,9,61,1,0,23,8cfkisxf1fkxdqtt6tx1tup48,1,49.7,54.6,2025-02-23T14:01:03.478Z,2025-02-23T14:01:50Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5536618935,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112785,10,43,1,0,30,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-02-23T14:01:10.686Z,2025-02-23T14:01:15Z,11ngumxajbizagbzpm5kompxx,M. Chacón,,,5536619033,13,0,5536619359,144,4,5536619041,286,0,5536619039,265,0,5536619037,152,0,5536619035,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112821,11,1,1,0,33,8cfkisxf1fkxdqtt6tx1tup48,0,51.0,66.1,2025-02-23T14:01:13.511Z,2025-02-23T14:02:00Z,11ngumxajbizagbzpm5kompxx,M. Chacón,,,5536619193,213,1.75,5536619179,152,,5536619177,5,,5536619183,140,46.8,5536619181,56,Back,5536619187,141,100.0,5536619191,212,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112819,11,5,1,0,33,6wwwud48qahpwrfxs20334qk5,1,53.0,-1.1,2025-02-23T14:01:13.665Z,2025-02-23T15:00:37Z,7rt4wpc0qphwnvhn8jeazesfe,F. Winther,,,5536619161,56,Right,5536619163,347,,5536619257,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112825,12,5,1,0,33,8cfkisxf1fkxdqtt6tx1tup48,0,47.0,101.1,2025-02-23T14:01:13.665Z,2025-02-23T16:13:28Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5536619211,56,Back,5536619307,233,11,5536619213,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
