id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value
2720697713,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-09-15T11:04:51.888Z,2024-09-15T12:56:33Z,,,,,5213232819,197,4652,5213032231,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5213232817,194,eas91my7qw7etoha5plxfk9yi,5213032227,130,8,5213032223,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5213032221,30,"7fkc01xxyl1trj3uav134ehyi, eas91my7qw7etoha5plxfk9yi, bmkwmf5f2ssnw2cq7uga7yd5g, 7wo1hk736v1xhovvu2t2trw89, aqc0qritba195wf770gyd1149, c7buy99bjqmkmno8w5t0189d6, 6hmsrr08cllpl4iumu92zskbt, 15yli690oxmbr4dl1ksti2p9m, 4jve632xnmqujh4ioaxpaovai, auv81snxkpk2ybxzi8giy5azt, ate1ymumg2iwzn8uyyf3ts222, 37mo55lynu3blqnb8k9ln8k16, efh8bbfaqg4riyedthbbviuad, bdxcd38y99nrbv72uh2v4fhg4, 6m4anciafmzc24s44xszymbc9, 45bcgucg627rhrdgt8tn9hd9m, 9n2nm6smh0txgv2482qbwhixg, 839pm7rmjp6q1bt52f7ek9vys, 98mkoolgahktzky97y0khdq1g, 46nx0rm8sod6bbo4a3d7g6jv8",5213032225,59,"1, 2, 5, 10, 3, 15, 7, 8, 14, 19, 12, 4, 6, 9, 11, 16, 17, 25, 26, 39",5213032229,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720699501,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-09-15T11:08:17.672Z,2024-09-15T12:02:12Z,,,,,5213233257,194,2uellcocrvapu7o70g5zdcmad,5213233259,197,25972,5213041151,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5213041147,130,8,5213041143,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5213041141,30,"b2gkyjq8emj9pywryc3rycogl, 6g671k5lvgoo2bgub2516q1w4, eyvv6b94feknnp1uew6n0ytat, 5u9zrgsm6wycfcbk04m64wd1w, 2uellcocrvapu7o70g5zdcmad, 8xe0fufxfgf5cuwgysz3r2j85, egnjbmbxkceiygmp2jty4b47o, e8vt8711wb40afht2v13omket, 8i0o1b8rjsab9se3v6vteqmfo, 4a0jmv6qmwn01iuqp1mhnyzth, kqj7nh6pqmqbt0abyyu0fcpg, 9y3vs6l0mjj38z0kw062jlh3p, 5mmgppapbchmcj9zdtyw0w5xw, dja68kdmhtsm9x5zqzgtpqas4, 86mx27krl6c613x6e3t9g3cic, ct7z1lwc3kc5oblzcewgipzl6, 6dki65mdd3letfjjj51i0w3c9, ab3nxxoj7bxlnhot9htoex1xw, 8xfqengyrwgxhhi86ok88vf2s, 15nwvne76hmc6vgtju60bl7md",5213041145,59,"13, 2, 3, 6, 5, 28, 17, 14, 11, 27, 22, 1, 9, 16, 18, 19, 20, 21, 26, 4",5213041149,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720739141,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-09-15T12:03:35.658Z,2024-09-15T12:03:48Z,,,,,5213239511,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720739135,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-09-15T12:03:35.658Z,2024-09-15T12:03:35Z,,,,,5213239489,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720739181,3,1,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,50.0,50.0,2024-09-15T12:03:35.659Z,2024-09-15T12:03:38Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5213239713,141,60.5,5213239717,213,2.67,5213239719,279,S,5213239709,140,36.8,5213239715,212,15.6,5213239705,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720739221,4,1,1,0,1,ajtb177oqwawkdwbqhldmq6mx,1,36.8,60.5,2024-09-15T12:03:37.531Z,2024-09-15T12:03:40Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5213239883,140,30.4,5213239887,212,16.0,5213239881,56,Back,5213239885,141,39.2,5213239889,213,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720739303,5,1,1,0,5,ajtb177oqwawkdwbqhldmq6mx,0,30.4,39.2,2024-09-15T12:03:40.660Z,2024-09-15T12:03:46Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5213240379,140,100.0,5213240375,157,,5213240377,56,Right,5213240387,1,,5213240383,212,76.9,5213240381,141,7.6,5213240385,213,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720741155,21,56,1,0,7,f1h34qp5zbfl489q8vnkhiq9s,1,3.4,87.6,2024-09-15T12:03:43.293Z,2024-09-15T13:03:51Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5213249865,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720739577,3,5,1,0,11,f1h34qp5zbfl489q8vnkhiq9s,1,-0.8,89.8,2024-09-15T12:03:46.674Z,2024-09-15T13:00:49Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5213241743,233,6,5213241689,346,,5213241687,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720739321,6,5,1,0,11,ajtb177oqwawkdwbqhldmq6mx,0,100.8,10.2,2024-09-15T12:03:46.674Z,2024-09-15T13:00:49Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5213240471,346,,5213241805,233,3,5213240469,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
