id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2738525265,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-10-25T16:04:34.371Z,2024-10-25T16:56:22Z,,,,,5310625133,197,12587,5310625131,194,3xz0h3d6r2qgmv9egms8yaz56,5310625135,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5310625127,130,19,5310625125,59,"1, 9, 29, 5, 4, 3, 33, 8, 16, 17, 24, 11, 12, 15, 18, 21, 22, 23, 32, 99",5310625129,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5310625123,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5310625121,30,"52vwj2s29n7wngablotd7pboq, 9618hk1lq7i6see347k7plkyy, ekx0wotp433tuaw4g93nybjmc, dqssvdpt2iwg8qn9wto3miind, 3xz0h3d6r2qgmv9egms8yaz56, 8ewvm6ux4yvpwgrzjkc1chqwa, 4uuqid6t4nspn0wspyltz3bx0, f58yr2jmfp8kpgprfxbokt1t6, dyzzo6n83rg4fpvmqqa69moes, 9ircna8pbskreztmy1wiqwx9m, 9fvf8z6p8ok0n5vu999ysfywa, f1ba9g771s0zeel0titcj3omi, e3546n3qj447qgmizao50zx1w, 2qedb8t85t1ieeed9613c9crt, 8h3cyhuw5049gcxrsld3rw1ec, 1u46uhxe7outj2f8tsga2nx0p, 6bajck5osvj7trnwt2a5mc3dg, cqgmx6eiriomccxfhykh31r10, 3ywgt5v070xudujs9f7cuqm7d, 6sdv4s8oz558wfhx72vwlpvu2",,,,,,,,,,,,,,,,,,,,,,,,,,
2738525987,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-10-25T16:06:07.472Z,2024-10-25T16:57:37Z,,,,,5310629001,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5310678221,197,26351,5310628995,130,13,5310628999,194,am3509ake84cde1xhb9264i22,5310628989,30,"dqqswfn9s1tdxjoslts8ks6xg, 4m7gr5z6b40dj02yrmlwgeluc, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 5nved2kta2hk8103hkyhq33hm, am3509ake84cde1xhb9264i22, 3mgrufy83uhzs9liw8pwxi784, 67p0s4o54xcmiustgy8k5gljo, 3mcj3wypzq3lno1ehc0vif1sl, 74m58jsznzu8l89b8h7rkh1bd, 1icurh5jrnw1e6jdgqxjnhdnu, 11ngumxajbizagbzpm5kompxx, 69h930ebovyl7rut5dz4r2iok, 98zlz2sscsf6vb7d52ici074k, e2aqcawslcbpp88nia8eko2y1, bwxxfcjd31gykfbpomwr1od90, 45b72f8szmqnv8tz06j7mj1wq, c8exa9vh1xxpieov380g8r3hm, e0u730to91qqtvvx16uhajz10, d2ukggo2v5jsw4pctznmaijo4",5310628991,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5310628997,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5310628993,59,"1, 3, 21, 4, 22, 2, 28, 16, 26, 10, 5, 6, 8, 9, 11, 12, 14, 27, 30, 33",,,,,,,,,,,,,,,,,,,,,,,,,,
2738553441,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-10-25T17:00:21.228Z,2024-10-25T17:00:21Z,,,,,5310775359,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553449,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-10-25T17:00:21.228Z,2024-10-27T16:01:20Z,,,,,5310775373,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553455,3,1,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,50.0,50.0,2024-10-25T17:00:21.229Z,2024-10-25T17:00:23Z,f58yr2jmfp8kpgprfxbokt1t6,M. Vestergård,,,5310775407,212,18.5,5310775411,279,S,5310775405,141,54.9,5310775409,213,2.96,5310775403,140,32.7,5310775401,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553473,4,1,1,0,2,b8oqgvx1ijeyn6y1cn6929ix4,1,31.1,56.1,2024-10-25T17:00:23.445Z,2024-10-25T17:00:25Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5310775477,56,Back,5310775485,213,4.27,5310775481,141,42.1,5310775483,212,10.5,5310775479,140,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553491,5,1,1,0,4,b8oqgvx1ijeyn6y1cn6929ix4,0,26.9,42.8,2024-10-25T17:00:25.789Z,2024-10-25T17:06:39Z,52vwj2s29n7wngablotd7pboq,J. Ægidius,,,5310775579,140,63.0,5310775587,1,,5310775575,157,,5310775585,213,6.26,5310775577,56,Center,5310775583,212,37.9,5310775581,141,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553497,3,44,1,0,7,8cfkisxf1fkxdqtt6tx1tup48,1,33.0,59.2,2024-10-25T17:00:28.267Z,2024-10-25T19:28:04Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5310775607,56,Back,5310775663,233,6,5310775609,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553493,6,44,1,0,7,b8oqgvx1ijeyn6y1cn6929ix4,0,67.0,40.8,2024-10-25T17:00:28.268Z,2024-10-25T19:28:04Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5310775595,286,,5310775671,233,3,5310775593,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553521,4,1,1,0,7,8cfkisxf1fkxdqtt6tx1tup48,0,26.3,60.0,2024-10-25T17:00:28.610Z,2024-10-25T19:18:24Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5310775725,3,,5310775729,140,29.4,5310775733,212,4.5,5310775731,141,64.5,5310775727,56,Back,5310775735,213,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
