id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/14/value,qualifier/8/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2781986743,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-03-01T12:09:12.535Z,2025-03-01T16:04:13Z,,,,,5546985789,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5546985787,30,"6sdv4s8oz558wfhx72vwlpvu2, ekx0wotp433tuaw4g93nybjmc, 4zpmxlmdfa5wx79cr0q14pfx1, 8ewvm6ux4yvpwgrzjkc1chqwa, b55jtl3ixolidn6cvc4t90efo, 3xz0h3d6r2qgmv9egms8yaz56, 5u9zrgsm6wycfcbk04m64wd1w, 423hv4unq5vvnp7kecv6wp3is, b6l4m6bmqgil9bjjov4tnuivo, 9fvf8z6p8ok0n5vu999ysfywa, e3546n3qj447qgmizao50zx1w, 7xde75gwrng67wvjkugv9xih, dqssvdpt2iwg8qn9wto3miind, 9618hk1lq7i6see347k7plkyy, f1ba9g771s0zeel0titcj3omi, 9ircna8pbskreztmy1wiqwx9m, 8h3cyhuw5049gcxrsld3rw1ec, 5moycfv7blzfnjqiruao7dv6c, 9delpquqv81o7ftrgefb0wpp0, 4uuqid6t4nspn0wspyltz3bx0",5546985797,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5547203521,197,12587,5546985793,130,17,5546985795,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5547006745,194,3xz0h3d6r2qgmv9egms8yaz56,5546985791,59,"99, 7, 10, 3, 2, 4, 23, 20, 14, 24, 12, 1, 5, 9, 11, 17, 18, 19, 30, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782001359,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-03-01T12:27:41.419Z,2025-03-01T13:00:42Z,,,,,5547059669,30,"b2gkyjq8emj9pywryc3rycogl, eyvv6b94feknnp1uew6n0ytat, ab3nxxoj7bxlnhot9htoex1xw, 4a0jmv6qmwn01iuqp1mhnyzth, 8xe0fufxfgf5cuwgysz3r2j85, 6dki65mdd3letfjjj51i0w3c9, 86mx27krl6c613x6e3t9g3cic, ezbixgm2km8iapnsl57bn4wkp, 8i0o1b8rjsab9se3v6vteqmfo, x3ad9hfxts6jpfugy3kvq9d5, kqj7nh6pqmqbt0abyyu0fcpg, 9y3vs6l0mjj38z0kw062jlh3p, 6g671k5lvgoo2bgub2516q1w4, 6otr0cifkk9jbmxc2ew2spka, dja68kdmhtsm9x5zqzgtpqas4, egnjbmbxkceiygmp2jty4b47o, 8viazilbghyogmhd7w3lg2six, e3n8xatusmgu7ttqpfdjanp3p, 52xeb867n93p1wftf42wxu1w4, erb2xg622lfmo3jp5lgwcsrh0",5547136091,194,ezbixgm2km8iapnsl57bn4wkp,5547059671,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5547059677,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5547059679,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5547059673,59,"13, 3, 21, 27, 28, 20, 18, 8, 11, 15, 10, 1, 2, 7, 16, 17, 29, 30, 32, 14",5547059675,130,4,5547202453,197,25972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782030855,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-03-01T13:00:13.957Z,2025-03-01T13:00:15Z,,,,,5547215391,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782030833,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-03-01T13:00:13.957Z,2025-03-01T13:00:14Z,,,,,5547215267,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782030875,3,1,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,49.8,50.1,2025-03-01T13:00:13.958Z,2025-03-01T13:00:17Z,b6l4m6bmqgil9bjjov4tnuivo,C. Palm,,,5547215533,212,25.7,5547215537,279,S,5547215535,213,3.11,5547215527,56,Back,5547215529,140,25.3,5547215531,141,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782030921,4,1,1,0,3,b8oqgvx1ijeyn6y1cn6929ix4,1,25.3,51.2,2025-03-01T13:00:16.984Z,2025-03-01T13:00:20Z,b55jtl3ixolidn6cvc4t90efo,J. Vadstrup,,,5547215773,212,9.2,5547215775,213,1.41,5547215771,141,64.6,5547215767,56,Back,5547215769,140,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782030947,5,1,1,0,5,b8oqgvx1ijeyn6y1cn6929ix4,1,26.0,64.8,2025-03-01T13:00:19.816Z,2025-03-01T13:00:21Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5547215929,141,52.4,5547215927,140,9.4,5547215925,56,Back,5547215933,213,3.59,5547215931,212,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782030977,6,1,1,0,7,b8oqgvx1ijeyn6y1cn6929ix4,1,9.4,52.4,2025-03-01T13:00:21.321Z,2025-03-01T13:00:23Z,6sdv4s8oz558wfhx72vwlpvu2,L. Moser,,,5547216073,140,15.1,5547216077,212,18.7,5547216071,56,Back,5547216079,213,5.04,5547216075,141,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782030987,7,1,1,0,9,b8oqgvx1ijeyn6y1cn6929ix4,1,17.4,25.6,2025-03-01T13:00:23.065Z,2025-03-01T13:00:24Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5547216173,212,14.3,5547216175,213,1.01,5547216169,140,24.6,5547216171,141,43.4,5547216167,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782031007,8,1,1,0,10,b8oqgvx1ijeyn6y1cn6929ix4,1,24.6,43.4,2025-03-01T13:00:24.225Z,2025-03-01T13:00:26Z,423hv4unq5vvnp7kecv6wp3is,M. Saaby,,,5547216275,140,33.6,5547216281,213,5.29,5547216273,56,Back,5547216277,141,22.2,5547216279,212,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782031089,9,1,1,0,11,b8oqgvx1ijeyn6y1cn6929ix4,1,33.6,22.2,2025-03-01T13:00:25.704Z,2025-03-01T13:00:31Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5547216785,140,33.4,5547216789,212,10.1,5547216787,141,7.3,5547216783,56,Back,5547216791,213,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782031131,10,1,1,0,17,b8oqgvx1ijeyn6y1cn6929ix4,1,34.1,7.1,2025-03-01T13:00:31.672Z,2025-03-01T13:54:23Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5547216983,140,22.7,5547216987,212,12.9,5547216989,213,2.76,5547216985,141,14.1,5547216981,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782031221,11,1,1,0,19,b8oqgvx1ijeyn6y1cn6929ix4,1,25.0,17.3,2025-03-01T13:00:33.690Z,2025-03-01T13:00:38Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5547217461,140,21.8,5547217455,56,Back,5547217467,212,16.8,5547217469,213,1.77,5547217465,141,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782031267,12,1,1,0,24,b8oqgvx1ijeyn6y1cn6929ix4,1,24.3,56.4,2025-03-01T13:00:38.512Z,2025-03-01T13:00:41Z,b55jtl3ixolidn6cvc4t90efo,J. Vadstrup,,,5547217711,212,14.5,5547217709,141,35.7,5547217707,140,27.5,5547217713,213,4.95,5547217705,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
