id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2792473853,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-03-29T11:09:48.327Z,2025-03-29T14:50:54Z,,,,,5604491109,59,"1, 2, 21, 5, 3, 15, 9, 17, 14, 10, 7, 4, 6, 8, 11, 12, 16, 19, 25, 32",5604491115,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5604602603,197,7812,5604512497,194,1se7wkenvs4elrapvdw9mdnje,5604491105,30,"7fkc01xxyl1trj3uav134ehyi, s8c0oxnoqt6zi7pi88rwawvd, 1se7wkenvs4elrapvdw9mdnje, bmkwmf5f2ssnw2cq7uga7yd5g, aqc0qritba195wf770gyd1149, c7buy99bjqmkmno8w5t0189d6, 4mxciw9jsj9l437fd7bv78p91, 9n2nm6smh0txgv2482qbwhixg, 4jve632xnmqujh4ioaxpaovai, 7wo1hk736v1xhovvu2t2trw89, 6hmsrr08cllpl4iumu92zskbt, 37mo55lynu3blqnb8k9ln8k16, 8k4wwchytdstpn0yhrxd5nbv9, 15yli690oxmbr4dl1ksti2p9m, 6m4anciafmzc24s44xszymbc9, ate1ymumg2iwzn8uyyf3ts222, 45bcgucg627rhrdgt8tn9hd9m, cqgmx6eiriomccxfhykh31r10, 839pm7rmjp6q1bt52f7ek9vys, ayjuukbjjzrldkn4d4shfnggk",5604491113,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5604491107,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5604491111,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792475785,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-03-29T11:14:08.450Z,2025-03-29T18:18:10Z,,,,,5604521255,194,a30gduuv9d1s4pkthgu2jhyol,5604501787,130,4,5604501791,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5604501785,59,"1, 30, 23, 8, 28, 2, 10, 14, 9, 16, 22, 4, 6, 7, 15, 18, 24, 26, 27, 29",5604602727,197,11501,5604501783,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5604501781,30,"bl9em2c9quspd4afzwqn81xxw, 45dqseup0cmujyl4nprr29y0a, 6dzg820946z4848whaa6ny2nd, dm6xpphbyyooqriwaambi7njd, 3pk6hii2s8tbv2zux8mvbapec, a30gduuv9d1s4pkthgu2jhyol, 615e0bjcd0tyge047sy43y5sl, 9r07ooissj5mz15g87x5rmbx1, 9tt9eo9bsff7dp7aqjal1obo4, 1cumsropo1r0msfzxxteml1w, dncrhma6gwcn6pxiu7hfc6qz8, aajgld24isoem1ycoysyxxp1w, 4oxf446ya7jwulq6hxlp8r36d, 2cup1vjw8n43kbzzxfflnmplg, bfvdr7ckiersz26ya2kq9f1g4, 1basznqpux0hkrrd06eaxodsl, 5e5fuj7mbkpvf0bug32ixxc5x, 3njsc9nturnshsiofmiy19gr8, 21i8eq6dgpzydeyrame6xp05w, 4qz1pnlx3d0m5wkhpocl0euj8",5604501789,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496175,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-03-29T12:00:52.144Z,2025-03-29T12:00:54Z,,,,,5604610821,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496169,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-03-29T12:00:52.144Z,2025-03-29T12:00:52Z,,,,,5604610797,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496219,3,1,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,49.5,49.5,2025-03-29T12:00:52.145Z,2025-03-29T12:00:56Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5604611071,140,34.9,5604611069,56,Back,5604611079,279,S,5604611073,141,38.2,5604611075,212,17.1,5604611077,213,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496259,4,1,1,0,4,f1h34qp5zbfl489q8vnkhiq9s,1,34.8,38.1,2025-03-29T12:00:56.355Z,2025-03-29T12:47:58Z,aqc0qritba195wf770gyd1149,A. Skipper,,,5604611245,56,Left,5604611255,1,,5604611247,140,64.8,5604611249,141,80.2,5604611253,213,0.74,5604611243,155,,5604611251,212,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496331,5,1,1,0,6,f1h34qp5zbfl489q8vnkhiq9s,1,64.4,83.5,2025-03-29T12:00:58.234Z,2025-03-29T12:01:04Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5604611607,141,84.0,5604611603,56,Left,5604611611,213,0.07,5604611609,212,5.1,5604611605,140,69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496333,6,50,1,0,9,f1h34qp5zbfl489q8vnkhiq9s,1,67.5,90.0,2025-03-29T12:01:01.778Z,2025-03-29T13:02:01Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5604611617,286,,5604611693,233,3,5604611615,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496311,3,7,1,0,9,8gxd9ry2580pu1b1dd5ny9ymy,0,32.5,10.0,2025-03-29T12:01:01.779Z,2025-03-29T13:02:01Z,1cumsropo1r0msfzxxteml1w,J. Adjei-Broni,,,5604611529,285,,5604611633,233,6,5604611527,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496351,7,61,1,0,10,f1h34qp5zbfl489q8vnkhiq9s,1,69.5,87.0,2025-03-29T12:01:03.054Z,2025-03-29T14:08:33Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5604611691,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496361,4,5,1,0,11,8gxd9ry2580pu1b1dd5ny9ymy,1,33.4,-0.8,2025-03-29T12:01:03.473Z,2025-03-29T14:07:16Z,1cumsropo1r0msfzxxteml1w,J. Adjei-Broni,,,5604611761,233,8,5604611737,347,,5604611735,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496365,8,5,1,0,11,f1h34qp5zbfl489q8vnkhiq9s,0,66.6,100.8,2025-03-29T12:01:03.473Z,2025-03-29T14:07:16Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5604611739,56,Left,5604611777,233,4,5604611741,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496389,5,1,1,0,13,8gxd9ry2580pu1b1dd5ny9ymy,1,34.6,0.0,2025-03-29T12:01:05.393Z,2025-03-29T12:01:09Z,45dqseup0cmujyl4nprr29y0a,M. Fredslund,,,5604611869,141,13.4,5604611871,212,18.1,5604611873,213,2.54,5604611863,107,,5604611865,56,Back,5604611867,140,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496403,6,1,1,0,17,8gxd9ry2580pu1b1dd5ny9ymy,1,19.0,13.7,2025-03-29T12:01:09.168Z,2025-03-29T12:01:10Z,3pk6hii2s8tbv2zux8mvbapec,N. Jungvig,,,5604611937,213,2.26,5604611935,212,18.7,5604611933,141,34.9,5604611931,140,7.6,5604611929,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496417,7,1,1,0,18,8gxd9ry2580pu1b1dd5ny9ymy,1,6.5,34.0,2025-03-29T12:01:10.432Z,2025-03-29T12:01:11Z,bl9em2c9quspd4afzwqn81xxw,T. Sander,,,5604611985,213,5.81,5604611979,140,13.3,5604611981,141,28.6,5604611977,56,Back,5604611983,212,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496451,8,1,1,0,19,8gxd9ry2580pu1b1dd5ny9ymy,1,13.3,28.6,2025-03-29T12:01:11.664Z,2025-03-29T12:01:13Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,,5604612163,212,13.7,5604612157,56,Back,5604612161,141,10.1,5604612159,140,8.1,5604612165,213,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496467,9,1,1,0,21,8gxd9ry2580pu1b1dd5ny9ymy,0,9.6,5.9,2025-03-29T12:01:13.824Z,2025-03-29T12:01:15Z,3pk6hii2s8tbv2zux8mvbapec,N. Jungvig,,,5604612225,212,16.0,5604612221,140,24.8,5604612223,141,7.9,5604612219,56,Back,5604612227,213,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496519,10,1,1,0,24,f1h34qp5zbfl489q8vnkhiq9s,1,69.2,83.1,2025-03-29T12:01:16.189Z,2025-03-29T12:01:25Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,1.0,,5604612497,141,76.8,5604612495,140,72.7,5604612865,210,13,5604612501,213,5.42,5604612493,56,Center,5604612499,212,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496523,11,13,1,0,26,f1h34qp5zbfl489q8vnkhiq9s,1,76.3,70.2,2025-03-29T12:01:18.331Z,2025-03-29T14:19:16Z,4mxciw9jsj9l437fd7bv78p91,J. Ankersen,,,5604612519,18,,5604612901,230,98.8,5604612899,215,,5604612889,29,,5604612897,103,5.6,5604612517,22,,5605274185,83,,5604612891,55,10,5604612903,231,51.8,5604612521,56,Center,5604612677,20,5604612895,102,59.0,,,,,,,,,,,,,,,,
2792496809,10,5,1,0,27,8gxd9ry2580pu1b1dd5ny9ymy,1,-1.2,39.0,2025-03-29T12:01:19.963Z,2025-03-29T14:07:16Z,3pk6hii2s8tbv2zux8mvbapec,N. Jungvig,,,5604613949,56,Back,5604613989,233,12,5604613951,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496533,12,5,1,0,27,f1h34qp5zbfl489q8vnkhiq9s,0,101.2,61.0,2025-03-29T12:01:19.963Z,2025-03-29T14:07:17Z,4mxciw9jsj9l437fd7bv78p91,J. Ankersen,,,5604612553,56,Center,5604613999,233,10,5604612555,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496861,11,1,1,0,47,8gxd9ry2580pu1b1dd5ny9ymy,0,4.4,46.4,2025-03-29T12:01:39.737Z,2025-03-29T12:01:44Z,bl9em2c9quspd4afzwqn81xxw,T. Sander,,,5604614247,1,,5604614239,140,60.1,5604614245,213,6.04,5604614243,212,60.3,5604614251,74,,5604614235,124,,5604614237,56,Center,5604614241,141,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496855,13,44,1,0,50,f1h34qp5zbfl489q8vnkhiq9s,1,37.1,76.2,2025-03-29T12:01:43.068Z,2025-03-29T13:02:10Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5604614205,56,Back,5604614305,233,12,5604614207,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496863,12,44,1,0,50,8gxd9ry2580pu1b1dd5ny9ymy,0,62.9,23.8,2025-03-29T12:01:43.069Z,2025-03-29T13:02:11Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,,5604614255,286,,5604614333,233,13,5604614253,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496859,14,1,1,0,51,f1h34qp5zbfl489q8vnkhiq9s,0,32.5,78.3,2025-03-29T12:01:43.370Z,2025-03-29T12:01:43Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5604614225,56,Back,5604614227,140,33.0,5604614229,141,76.3,5604614231,212,1.5,5604614233,213,5.08,5604614223,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496873,13,61,1,0,52,8gxd9ry2580pu1b1dd5ny9ymy,1,60.1,25.0,2025-03-29T12:01:44.826Z,2025-03-29T12:01:45Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,,5604614309,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496899,16,1,1,0,53,f1h34qp5zbfl489q8vnkhiq9s,1,39.3,67.5,2025-03-29T12:01:45.819Z,2025-03-29T12:01:58Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5604614417,141,61.7,5604614421,212,4.3,5604614411,56,Back,5604614423,213,5.12,5604614415,140,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496915,17,1,1,0,54,f1h34qp5zbfl489q8vnkhiq9s,0,43.8,54.4,2025-03-29T12:01:47.067Z,2025-03-29T12:48:50Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5604614497,213,5.83,5604614493,141,50.7,5604614489,56,Back,5604614491,140,48.7,5604614487,3,,5604614495,212,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496931,14,1,1,0,56,8gxd9ry2580pu1b1dd5ny9ymy,1,38.6,48.7,2025-03-29T12:01:48.864Z,2025-03-29T12:01:49Z,6dzg820946z4848whaa6ny2nd,N. Clausen,,,5604614611,141,38.8,5604614607,56,Back,5604614613,212,12.3,5604614605,155,,5604614615,213,5.70,5604614609,140,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496977,16,1,1,0,57,8gxd9ry2580pu1b1dd5ny9ymy,1,48.4,38.8,2025-03-29T12:01:49.736Z,2025-03-29T12:01:52Z,dm6xpphbyyooqriwaambi7njd,F. Krogstad,,,5604614807,213,1.37,5604614799,140,50.4,5604614805,212,10.7,5604614803,141,54.3,5604614795,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496983,17,1,1,1,0,8gxd9ry2580pu1b1dd5ny9ymy,0,49.4,52.7,2025-03-29T12:01:52.504Z,2025-03-29T14:07:43Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,,5604614821,140,47.9,5604614825,212,9.1,5604614819,56,Back,5604614823,141,39.5,5604614827,213,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792496993,18,8,1,1,2,f1h34qp5zbfl489q8vnkhiq9s,1,44.1,60.1,2025-03-29T12:01:54.611Z,2025-03-29T12:01:54Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5604614921,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792497007,18,5,1,1,2,8gxd9ry2580pu1b1dd5ny9ymy,1,49.8,-1.8,2025-03-29T12:01:54.664Z,2025-03-29T14:07:17Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,,5604615011,233,19,5604614965,56,Back,5604614971,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792497009,19,5,1,1,2,f1h34qp5zbfl489q8vnkhiq9s,0,50.2,101.8,2025-03-29T12:01:54.664Z,2025-03-29T14:07:18Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5604614987,347,,5604615025,233,18,5604614985,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792497121,19,1,1,1,12,8gxd9ry2580pu1b1dd5ny9ymy,1,47.1,0.0,2025-03-29T12:02:04.640Z,2025-03-29T12:02:08Z,45dqseup0cmujyl4nprr29y0a,M. Fredslund,,,5604615583,107,,5604615589,141,16.6,5604615587,140,55.1,5604615591,212,14.8,5604615593,213,0.97,5604615585,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792497151,20,1,1,1,16,8gxd9ry2580pu1b1dd5ny9ymy,1,54.1,16.6,2025-03-29T12:02:08.184Z,2025-03-29T12:02:10Z,dm6xpphbyyooqriwaambi7njd,F. Krogstad,,,5604615741,212,32.3,5604615737,140,23.4,5604615743,213,3.18,5604615735,56,Back,5604615745,1,,5604615739,141,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792497169,21,1,1,1,18,8gxd9ry2580pu1b1dd5ny9ymy,1,23.3,14.5,2025-03-29T12:02:10.728Z,2025-03-29T12:02:13Z,3pk6hii2s8tbv2zux8mvbapec,N. Jungvig,,,5604615817,56,Back,5604615821,141,43.6,5604615825,213,1.56,5604615823,212,19.8,5604615819,140,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792497217,22,1,1,1,21,8gxd9ry2580pu1b1dd5ny9ymy,1,23.3,43.6,2025-03-29T12:02:13.361Z,2025-03-29T12:02:17Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,,5604616025,212,29.9,5604616017,155,,5604616027,213,5.87,5604616021,140,49.4,5604616019,56,Back,5604616023,141,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792497237,23,44,1,1,24,8gxd9ry2580pu1b1dd5ny9ymy,1,54.1,22.5,2025-03-29T12:02:16.410Z,2025-03-29T13:02:11Z,1cumsropo1r0msfzxxteml1w,J. Adjei-Broni,,,5604616103,56,Center,5604616141,286,,5604616137,233,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792497209,20,44,1,1,24,f1h34qp5zbfl489q8vnkhiq9s,0,45.9,77.5,2025-03-29T12:02:16.411Z,2025-03-29T13:02:11Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5604616151,233,23,5604616003,285,,5604616001,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792497249,24,1,1,1,25,8gxd9ry2580pu1b1dd5ny9ymy,1,49.4,26.0,2025-03-29T12:02:17.289Z,2025-03-29T14:08:34Z,1cumsropo1r0msfzxxteml1w,J. Adjei-Broni,,,5604616181,141,28.3,5604616179,140,48.9,5604616209,156,,5604616183,212,1.6,5604616185,213,1.89,5604616177,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792497277,25,1,1,1,26,8gxd9ry2580pu1b1dd5ny9ymy,0,54.8,28.1,2025-03-29T12:02:18.960Z,2025-03-29T14:08:34Z,615e0bjcd0tyge047sy43y5sl,M. Spelmann,,,5604616333,56,Center,5604616341,213,6.27,5604616337,141,27.5,5604616335,140,79.7,5604616339,212,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792497305,22,1,1,1,28,f1h34qp5zbfl489q8vnkhiq9s,1,31.1,67.9,2025-03-29T12:02:20.930Z,2025-03-29T12:02:23Z,aqc0qritba195wf770gyd1149,A. Skipper,,,5604616475,141,55.0,5604616477,212,22.6,5604616471,56,Back,5604616479,213,3.54,5604616473,140,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
