id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2809151299,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-05-03T09:40:00.631Z,2025-05-03T10:39:25Z,,,,5696332689,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5696332681,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5696332687,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5696395965,194,8ewvm6ux4yvpwgrzjkc1chqwa,5696332679,30,"6sdv4s8oz558wfhx72vwlpvu2, ekx0wotp433tuaw4g93nybjmc, f1ba9g771s0zeel0titcj3omi, 8ewvm6ux4yvpwgrzjkc1chqwa, b55jtl3ixolidn6cvc4t90efo, 9delpquqv81o7ftrgefb0wpp0, 5u9zrgsm6wycfcbk04m64wd1w, 423hv4unq5vvnp7kecv6wp3is, 9ircna8pbskreztmy1wiqwx9m, 9fvf8z6p8ok0n5vu999ysfywa, b6l4m6bmqgil9bjjov4tnuivo, 7xde75gwrng67wvjkugv9xih, 44gqeji9twbkdtrcr2ias4efo, e3546n3qj447qgmizao50zx1w, aszp26w7k6ycpwmcpvfteov84, bq76t7rh2vynmvwx9mtvnl9g4, 8h3cyhuw5049gcxrsld3rw1ec, 5moycfv7blzfnjqiruao7dv6c, 6bajck5osvj7trnwt2a5mc3dg, 4uuqid6t4nspn0wspyltz3bx0",5696395967,197,12588,5696332683,59,"99, 7, 11, 3, 2, 30, 23, 20, 17, 24, 14, 1, 8, 12, 13, 16, 18, 19, 22, 33",5696332685,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809152449,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-05-03T09:45:55.345Z,2025-05-03T16:41:49Z,,,,5696340511,30,"bl9em2c9quspd4afzwqn81xxw, 45dqseup0cmujyl4nprr29y0a, 6dzg820946z4848whaa6ny2nd, a30gduuv9d1s4pkthgu2jhyol, 630daj1ef34rczbhng0eoncvd, 3pk6hii2s8tbv2zux8mvbapec, 4oxf446ya7jwulq6hxlp8r36d, dm6xpphbyyooqriwaambi7njd, 5e5fuj7mbkpvf0bug32ixxc5x, dncrhma6gwcn6pxiu7hfc6qz8, 9r07ooissj5mz15g87x5rmbx1, aajgld24isoem1ycoysyxxp1w, 9tt9eo9bsff7dp7aqjal1obo4, 615e0bjcd0tyge047sy43y5sl, 1basznqpux0hkrrd06eaxodsl, 7ymn0ytcqi6l43nqraxt9s1zo, 3njsc9nturnshsiofmiy19gr8, 21i8eq6dgpzydeyrame6xp05w, 4qz1pnlx3d0m5wkhpocl0euj8, db671oj1jx2uknf12t8b3s7x0",5696340519,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5696340521,194,a30gduuv9d1s4pkthgu2jhyol,5696340517,130,13,5696397229,197,11501,5696340523,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5696340515,59,"1, 30, 23, 2, 25, 28, 6, 8, 24, 22, 14, 4, 9, 10, 18, 19, 26, 27, 29, 42",5696340513,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163729,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-05-03T10:31:48.201Z,2025-05-03T10:31:50Z,,,,5696399755,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163725,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-05-03T10:31:48.201Z,2025-05-03T10:31:48Z,,,,5696399749,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163743,3,1,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,50.1,49.8,2025-05-03T10:31:48.202Z,2025-05-03T10:32:19Z,b6l4m6bmqgil9bjjov4tnuivo,C. Palm,,5696399811,141,60.4,5696399809,140,26.7,5696399817,279,S,5696399807,56,Back,5696399813,212,25.6,5696399815,213,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163763,4,1,1,0,1,b8oqgvx1ijeyn6y1cn6929ix4,1,26.7,60.4,2025-05-03T10:31:50.190Z,2025-05-03T10:31:55Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,5696399919,56,Right,5696399925,212,55.2,5696399923,141,16.3,5696399927,213,5.71,5696399917,157,,5696399921,140,70.8,5696399929,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163771,5,1,1,0,6,b8oqgvx1ijeyn6y1cn6929ix4,0,70.8,16.3,2025-05-03T10:31:54.919Z,2025-05-03T10:31:57Z,9delpquqv81o7ftrgefb0wpp0,L. Callø,,5696399957,141,20.4,5696399959,212,5.3,5696399951,3,,5696399953,56,Right,5696399955,140,75.1,5696399961,213,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163765,3,44,1,0,7,8gxd9ry2580pu1b1dd5ny9ymy,1,23.2,75.8,2025-05-03T10:31:55.335Z,2025-05-03T12:33:56Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,5696399935,285,,5696399933,56,Back,5696400051,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163781,6,44,1,0,7,b8oqgvx1ijeyn6y1cn6929ix4,0,76.8,24.2,2025-05-03T10:31:55.336Z,2025-05-03T12:33:56Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,5696399999,286,,5696399997,56,Center,5696400091,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163787,4,1,1,0,7,8gxd9ry2580pu1b1dd5ny9ymy,1,20.5,69.7,2025-05-03T10:31:55.502Z,2025-05-03T10:31:57Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,5696400011,212,6.1,5696400005,56,Back,5696400003,3,,5696400009,141,74.7,5696400013,213,0.59,5696400007,140,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163791,5,44,1,0,8,8gxd9ry2580pu1b1dd5ny9ymy,1,28.6,78.8,2025-05-03T10:31:57.126Z,2025-05-03T12:33:56Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,5696400031,56,Back,5696400033,285,,5696400171,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163819,7,44,1,0,8,b8oqgvx1ijeyn6y1cn6929ix4,0,71.4,21.2,2025-05-03T10:31:57.127Z,2025-05-03T12:33:57Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,5696400175,233,5,5696400165,286,,5696400163,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163807,6,1,1,0,9,8gxd9ry2580pu1b1dd5ny9ymy,0,25.4,74.7,2025-05-03T10:31:57.382Z,2025-05-03T10:33:39Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,5696400127,140,31.3,5696400131,212,6.5,5696400125,56,Back,5696400123,3,,5696400129,141,71.7,5696400133,213,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163833,8,1,1,0,13,b8oqgvx1ijeyn6y1cn6929ix4,1,71.2,16.0,2025-05-03T10:32:01.790Z,2025-05-03T10:33:16Z,423hv4unq5vvnp7kecv6wp3is,M. Saaby,,5696400237,213,3.80,5696400229,56,Right,5696400233,141,6.4,5696400235,212,10.7,5696400231,140,63.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163843,9,1,1,0,15,b8oqgvx1ijeyn6y1cn6929ix4,0,63.1,6.4,2025-05-03T10:32:03.359Z,2025-05-03T10:32:05Z,9delpquqv81o7ftrgefb0wpp0,L. Callø,,5696400269,1,,5696400257,155,,5696400261,140,93.2,5696400263,141,26.8,5696400265,212,34.5,5696400259,56,Center,5696400267,213,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
