id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value
2817813395,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-05-22T16:13:53.961Z,2025-05-22T19:10:57Z,,,,,5744105577,194,5z7y55t2o577r8ki3i5855as,5744150877,197,16110,5744105457,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5744105459,59,"1, 3, 27, 4, 7, 21, 6, 12, 17, 9, 8, 2, 5, 10, 11, 22, 23, 25, 26, 34",5744105455,30,"8mswl5vzza12hylodrrsq3zvu, 81gka3mi69fh8gyehyy8xo9as, 85a9bmnu6fqvhlff28qm0e0a1, 5i6n6yne6fh410vk7p7kkokmi, 5z7y55t2o577r8ki3i5855as, khqldwfq14b7giakss24l9t5, 2tcdx5rp7vujnlid4oqqxdogk, 5dlh0fa9yo6z283w9p58xmnoq, uiyol728wan4mxco2foplknp, 1fjkjzsei9slx2t4zhsqdkve1, 1n4eldqa7h9jvcx1693zqu06i, 9350utk4onh2hv5jznxqpkd7t, elsygne5tjybbxrqgehtovnro, bop31qof3lon7u6rvmb68ktzp, akiwokthm1z7rbifshqhs24t1, e0u730to91qqtvvx16uhajz10, 3avg1grraylzm6xjt5kt18is4, 559w0q3q2smb3aeotyi724s9g, 74gioldvq6q6xgb3q7k1bv7dg, 7l7f98nn8gohmdacsdb2labkk",5744105463,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5744105461,130,18,5744105465,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817814297,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-05-22T16:18:18.071Z,2025-05-22T19:10:48Z,,,,,5744110995,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5744110993,194,139g7ilwvcpl519v3scnweg2d,5744110987,59,"1, 7, 2, 73, 19, 27, 20, 22, 49, 31, 47, 3, 4, 10, 17, 18, 30",5744110991,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",5744155637,197,23642,5744110989,130,11,5744110983,30,"64vlnkuqfh7rnymg8qku8amwa, 139g7ilwvcpl519v3scnweg2d, bvw5oc4c040ey5dt5wn0choiy, oywgthoxa153nf48la1j8v10, 8rn42gm9xm3yunk883yan9vdg, 6t6k24gn6zwxz1g6c3n4ph0q, bh06w40pwo6dy3cjrw3r2i0ru, 5hr1cb6e6xb3eyjnau7w4825l, ju24rgwcctj5yizl54o91gfe, 9vbxe5gvruap8h546efz3nx1w, 9gr9rdahnavv0irjauh5xim8k, 6gi9kejni27hjp7b43djczz6d, duahzgqspyuy2gu31u3s8ky96, 9nafz0c0x2qvmo5ldm0djmcq1, 11cna826ls27ahux2w0ckapqt, ag1psg17osvgbq5fz9xo7kmj8, 1655gyu9bjnslw7vfloe40h2i",5744110985,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822567,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-05-22T17:02:42.373Z,2025-05-22T17:02:42Z,,,,,5744159227,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822569,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-05-22T17:02:42.373Z,2025-05-22T17:02:44Z,,,,,5744159229,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822581,3,1,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,49.8,50.0,2025-05-22T17:02:42.374Z,2025-05-22T17:02:45Z,ju24rgwcctj5yizl54o91gfe,S. Borgelin,,,5744159275,213,2.64,5744159269,140,37.0,5744159273,212,15.3,5744159265,56,Back,5744159277,279,S,5744159271,141,60.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822623,4,1,1,0,2,7gkglopz9cjsysn2u6sbhuvc5,1,37.0,60.8,2025-05-22T17:02:44.925Z,2025-05-22T17:02:52Z,5hr1cb6e6xb3eyjnau7w4825l,R. Thellufsen,,,5744159539,141,85.1,5744159537,140,36.1,5744159535,56,Back,5744159541,212,16.6,5744159543,213,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822589,3,43,1,0,5,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-05-22T17:02:48.172Z,2025-05-22T17:03:42Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,,5744159643,399,9gr9rdahnavv0irjauh5xim8k,5744161177,144,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822631,5,1,1,0,9,7gkglopz9cjsysn2u6sbhuvc5,1,35.6,85.0,2025-05-22T17:02:52.269Z,2025-05-22T17:02:55Z,9gr9rdahnavv0irjauh5xim8k,M. Munck,,,5744159613,213,3.52,5744159611,212,20.9,5744159605,56,Back,5744159607,140,17.1,5744159609,141,73.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822635,6,1,1,0,12,7gkglopz9cjsysn2u6sbhuvc5,1,15.1,73.0,2025-05-22T17:02:54.950Z,2025-05-22T17:02:55Z,oywgthoxa153nf48la1j8v10,M. Lauritsen,,,5744159631,141,54.8,5744159627,56,Back,5744159633,212,13.7,5744159629,140,9.6,5744159635,213,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822659,7,1,1,0,13,7gkglopz9cjsysn2u6sbhuvc5,1,9.6,54.8,2025-05-22T17:02:56.165Z,2025-05-22T17:03:01Z,64vlnkuqfh7rnymg8qku8amwa,L. Schulz,,,5744159801,56,Back,5744159809,213,1.33,5744159807,212,24.2,5744159803,140,15.0,5744159805,141,89.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
