id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2726778939,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-09-28T11:17:25.402Z,2024-09-28T20:30:54Z,,,,,5246423311,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5246423307,59,"1, 30, 23, 2, 25, 5, 88, 14, 9, 22, 7, 11, 16, 17, 19, 21, 27, 28, 29, 31",5246423313,194,a30gduuv9d1s4pkthgu2jhyol,5246423305,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5246423315,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5246423303,30,"d9hh01mit4geyadol3gmzco9, 45dqseup0cmujyl4nprr29y0a, 6dzg820946z4848whaa6ny2nd, a30gduuv9d1s4pkthgu2jhyol, 630daj1ef34rczbhng0eoncvd, dshwz1df0rbe0fztksawvd0wl, dm6xpphbyyooqriwaambi7njd, 9r07ooissj5mz15g87x5rmbx1, 9tt9eo9bsff7dp7aqjal1obo4, dncrhma6gwcn6pxiu7hfc6qz8, 2cup1vjw8n43kbzzxfflnmplg, 6uwvbagahvoavs630k8uksxjp, 1cumsropo1r0msfzxxteml1w, dwpns7gcg4s1c35df5td9ow7o, 7ymn0ytcqi6l43nqraxt9s1zo, 37rzipex1y0nhv8o2dr7h2bys, 21i8eq6dgpzydeyrame6xp05w, 3pk6hii2s8tbv2zux8mvbapec, 4qz1pnlx3d0m5wkhpocl0euj8, 907vtkod58b7986k7u1619gr8",5246423309,130,17,5246635255,197,11501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726788083,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-09-28T11:29:58.074Z,2024-09-28T14:45:08Z,,,,,5246471051,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5246471047,59,"1, 4, 2, 73, 34, 19, 6, 29, 10, 17, 20, 3, 7, 9, 11, 16, 22, 27, 37, 49",5246471045,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5246471053,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5246471043,30,"64vlnkuqfh7rnymg8qku8amwa, duahzgqspyuy2gu31u3s8ky96, bvw5oc4c040ey5dt5wn0choiy, oywgthoxa153nf48la1j8v10, 18vvlxsaoloypja4fdddj687o, 8rn42gm9xm3yunk883yan9vdg, egwhlgopjtjkop7ozy7ltk1cl, 78iynnu6cnznv6fxpo4br4mlm, 9nafz0c0x2qvmo5ldm0djmcq1, 11cna826ls27ahux2w0ckapqt, 7j35sfip0xb51mpa91wzikrh0, 6gi9kejni27hjp7b43djczz6d, 139g7ilwvcpl519v3scnweg2d, 9l89n30nejpn2u22ygvchwnze, 7ar33yy0wd5ah5o8om1l12pgq, dy7tdtffhczukm4vrkgp1ctn8, 5hr1cb6e6xb3eyjnau7w4825l, 6t6k24gn6zwxz1g6c3n4ph0q, 6xnn9048x2zmwprfsg0lhq61g, ju24rgwcctj5yizl54o91gfe",5246471049,130,10,5246635241,197,23642,5247869765,194,egwhlgopjtjkop7ozy7ltk1cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726819065,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-09-28T11:59:45.718Z,2024-09-28T11:59:45Z,,,,,5246637127,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726819069,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-09-28T11:59:45.718Z,2024-09-28T11:59:47Z,,,,,5246637147,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726819099,3,1,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,50.0,50.0,2024-09-28T11:59:45.719Z,2024-09-28T11:59:48Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,,5246637313,140,39.0,5246637319,213,2.91,5246637321,279,S,5246637311,56,Back,5246637317,212,11.9,5246637315,141,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726819127,4,1,1,0,1,8gxd9ry2580pu1b1dd5ny9ymy,1,36.8,51.9,2024-09-28T11:59:47.658Z,2024-09-28T11:59:50Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,,5246637481,212,18.3,5246637479,141,26.2,5246637483,213,4.41,5246637477,140,31.6,5246637475,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726819175,5,1,1,0,4,8gxd9ry2580pu1b1dd5ny9ymy,1,31.3,23.9,2024-09-28T11:59:50.131Z,2024-09-28T11:59:53Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,,5246637727,141,4.6,5246637729,212,14.2,5246637723,56,Back,5246637725,140,36.5,5246637731,213,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726819203,6,50,1,0,5,8gxd9ry2580pu1b1dd5ny9ymy,1,39.2,8.6,2024-09-28T11:59:51.554Z,2024-09-28T15:42:58Z,45dqseup0cmujyl4nprr29y0a,M. Fredslund,,,5246976183,286,,5246985247,233,3,5246637825,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726819185,3,7,1,0,5,7gkglopz9cjsysn2u6sbhuvc5,0,60.8,91.4,2024-09-28T11:59:51.555Z,2024-09-28T14:16:57Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,,5246985117,233,6,5246976327,56,Left,5246976329,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726819243,7,1,1,0,8,8gxd9ry2580pu1b1dd5ny9ymy,1,33.9,8.6,2024-09-28T11:59:54.281Z,2024-09-28T15:43:32Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,,5246638043,140,51.6,5246638049,213,0.06,5246638047,212,18.6,5246638041,56,Right,5246638045,141,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
