id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value
2719739465,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-09-14T11:33:08.037Z,2024-09-14T11:59:41Z,,,,,5207910795,130,13,5207910791,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5208020655,197,16110,5207910799,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5208026627,194,5z7y55t2o577r8ki3i5855as,5207910793,59,"1, 3, 5, 4, 7, 21, 6, 12, 9, 17, 8, 2, 10, 20, 22, 23, 26, 27, 34, 29",5207910789,30,"8mswl5vzza12hylodrrsq3zvu, 81gka3mi69fh8gyehyy8xo9as, elsygne5tjybbxrqgehtovnro, 5i6n6yne6fh410vk7p7kkokmi, 5z7y55t2o577r8ki3i5855as, khqldwfq14b7giakss24l9t5, 2tcdx5rp7vujnlid4oqqxdogk, 5dlh0fa9yo6z283w9p58xmnoq, 1fjkjzsei9slx2t4zhsqdkve1, uiyol728wan4mxco2foplknp, 1n4eldqa7h9jvcx1693zqu06i, 9350utk4onh2hv5jznxqpkd7t, bop31qof3lon7u6rvmb68ktzp, bpldj4qdzfdm1n739atcadbmc, b8tw9d3b8tgnfezy68vadwnx0, 3avg1grraylzm6xjt5kt18is4, 74gioldvq6q6xgb3q7k1bv7dg, 85a9bmnu6fqvhlff28qm0e0a1, 7l7f98nn8gohmdacsdb2labkk, 21bafxfg7hy0agd0upyqxw0a2",5207910797,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,
2719741645,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-09-14T11:35:39.178Z,2024-09-14T12:08:52Z,,,,,5207921595,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5207921591,130,8,5208024895,194,139g7ilwvcpl519v3scnweg2d,5207921587,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5208024897,197,23642,5207921585,30,"64vlnkuqfh7rnymg8qku8amwa, duahzgqspyuy2gu31u3s8ky96, bvw5oc4c040ey5dt5wn0choiy, a7eramyy1bd8msxmg84ctc8ut, ef7l91pb4w6yk7lijxjxlievp, 8rn42gm9xm3yunk883yan9vdg, 139g7ilwvcpl519v3scnweg2d, egwhlgopjtjkop7ozy7ltk1cl, ju24rgwcctj5yizl54o91gfe, 7j35sfip0xb51mpa91wzikrh0, 11cna826ls27ahux2w0ckapqt, 6gi9kejni27hjp7b43djczz6d, 9l89n30nejpn2u22ygvchwnze, 9nafz0c0x2qvmo5ldm0djmcq1, dy7tdtffhczukm4vrkgp1ctn8, 5hr1cb6e6xb3eyjnau7w4825l, 6t6k24gn6zwxz1g6c3n4ph0q, 78iynnu6cnznv6fxpo4br4mlm, 6xnn9048x2zmwprfsg0lhq61g, oywgthoxa153nf48la1j8v10",5207921589,59,"1, 4, 2, 8, 5, 19, 7, 6, 49, 20, 17, 3, 9, 10, 16, 22, 27, 29, 37, 73",5207921593,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,
2719762083,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-09-14T12:01:11.386Z,2024-09-14T12:01:18Z,,,,,5208031321,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719762081,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-09-14T12:01:11.386Z,2024-09-14T12:01:11Z,,,,,5208031285,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719762115,3,1,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,49.9,50.3,2024-09-14T12:01:11.387Z,2024-09-14T12:01:15Z,ju24rgwcctj5yizl54o91gfe,S. Borgelin,,,5208031455,56,Back,5208031463,213,3.49,5208031459,141,37.1,5208031457,140,26.5,5208031465,279,S,5208031461,212,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719762133,4,1,1,0,3,7gkglopz9cjsysn2u6sbhuvc5,1,26.3,39.4,2024-09-14T12:01:15.109Z,2024-09-14T12:01:17Z,ef7l91pb4w6yk7lijxjxlievp,M. Greve,,,5208031561,56,Back,5208031575,213,1.60,5208031567,141,62.4,5208031563,140,25.9,5208031571,212,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719762161,5,1,1,0,5,7gkglopz9cjsysn2u6sbhuvc5,1,25.9,62.4,2024-09-14T12:01:17.277Z,2024-09-14T12:01:20Z,8rn42gm9xm3yunk883yan9vdg,B. Clemmensen,,,5208031703,56,Back,5208031707,141,68.1,5208031709,212,8.9,5208031711,213,0.45,5208031705,140,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719762183,6,1,1,0,8,7gkglopz9cjsysn2u6sbhuvc5,0,35.0,69.7,2024-09-14T12:01:20.022Z,2024-09-14T12:01:22Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5208031801,212,42.9,5208031797,140,75.8,5208031793,155,,5208031805,1,,5208031799,141,68.2,5208031803,213,6.26,5208031795,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719762217,3,1,1,0,12,aqtkb4mgrz8c6iqfufj6qjbv9,1,18.8,26.4,2024-09-14T12:01:23.750Z,2024-09-14T12:23:32Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,,5208031953,213,0.41,5208031945,56,Back,5208031949,141,32.8,5208031951,212,10.9,5208031943,3,,5208031947,140,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719762237,5,1,1,0,14,aqtkb4mgrz8c6iqfufj6qjbv9,1,29.1,33.4,2024-09-14T12:01:25.987Z,2024-09-14T12:01:27Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,,5208032047,213,3.67,5208032039,56,Back,5208032043,141,17.6,5208032045,212,21.5,5208032041,140,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
