id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2742517847,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-11-02T10:57:06.070Z,2024-11-02T11:58:46Z,,,,,5332473521,59,"99, 15, 29, 5, 4, 3, 33, 8, 22, 17, 24, 2, 9, 12, 18, 21, 25, 32, 1",5332473519,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5332473529,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5332473523,130,19,5332473525,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5332473517,30,"6sdv4s8oz558wfhx72vwlpvu2, 2qedb8t85t1ieeed9613c9crt, ekx0wotp433tuaw4g93nybjmc, dqssvdpt2iwg8qn9wto3miind, 3xz0h3d6r2qgmv9egms8yaz56, 8ewvm6ux4yvpwgrzjkc1chqwa, 4uuqid6t4nspn0wspyltz3bx0, f58yr2jmfp8kpgprfxbokt1t6, 6bajck5osvj7trnwt2a5mc3dg, 9ircna8pbskreztmy1wiqwx9m, 9fvf8z6p8ok0n5vu999ysfywa, b55jtl3ixolidn6cvc4t90efo, 9618hk1lq7i6see347k7plkyy, e3546n3qj447qgmizao50zx1w, 8h3cyhuw5049gcxrsld3rw1ec, 1u46uhxe7outj2f8tsga2nx0p, cqgmx6eiriomccxfhykh31r10, 3ywgt5v070xudujs9f7cuqm7d, 52vwj2s29n7wngablotd7pboq",5332473527,194,3xz0h3d6r2qgmv9egms8yaz56,5332556129,197,12588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742517885,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-11-02T10:57:17.001Z,2024-11-02T15:34:00Z,,,,,5332556613,197,17324,5332473701,194,bwozpgcm48s08t1glxfgjajmd,5332473697,130,4,5332473703,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5332473695,59,"1, 2, 3, 6, 12, 4, 23, 14, 18, 7, 15, 8, 10, 11, 16, 20, 22, 25, 26, 27",5332473693,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5332473699,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5332473691,30,"8r9iqig43yjty7l1oq6yg73mc, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, bwozpgcm48s08t1glxfgjajmd, 35og29e19w0ykeqcvudhpgr8, 81c40rn7lrb39qu0sam8kv6dw, 6zhj070huc77sl5o5bx6ey5g4, 4rhxehi019n7z1z1m7a39w1sk, cf6zq49y8v1ekw07e7yi3uac, 7pnxa8wzxx5qxevcckxdd62tx, m031ocyfq011rual3olkegdm, 4lac0f1ev5usxpka7gaev3hii, 7h02v4ymnko5fh01iylbh34es, 1el3mu4rgcx8tebrawgfvynf8, emakjdiju8z2peey3ytjahz6y, ass2un9by50uzrp6i9njn7nkk, 65f1ckijc2btnprgz3s593dw4, e0nkqbugb4xkpluu5e42zf2ms, g2cgdv428rmpmb0om40ldses, d106tu53y5q02yu36iojbou8k",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534175,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-11-02T12:01:32.183Z,2024-11-02T12:01:34Z,,,,,5332560661,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534163,3,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-11-02T12:01:32.183Z,2024-11-02T12:01:32Z,,,,,5332560615,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534197,4,1,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,50.0,50.0,2024-11-02T12:01:32.184Z,2024-11-02T12:01:35Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5332560751,141,53.3,5332560753,212,15.2,5332560755,213,2.99,5332560749,140,35.7,5332560757,279,S,5332560747,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534255,5,1,1,0,1,bd4qakf7j0wwie8wke9km7uj8,1,35.7,53.3,2024-11-02T12:01:34.105Z,2024-11-02T12:01:40Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5332561025,56,Back,5332561027,140,33.4,5332561029,141,7.3,5332561033,213,4.64,5332561031,212,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534271,6,1,1,0,7,bd4qakf7j0wwie8wke9km7uj8,0,31.1,10.0,2024-11-02T12:01:39.936Z,2024-11-02T12:01:42Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5332561141,212,40.2,5332561133,155,,5332561139,141,17.0,5332561137,140,69.1,5332561135,56,Right,5332561143,213,0.12,5332561145,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534301,3,1,1,0,10,b8oqgvx1ijeyn6y1cn6929ix4,1,16.0,86.2,2024-11-02T12:01:42.818Z,2024-11-02T12:01:45Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5332561265,56,Back,5332561269,141,92.4,5332561263,3,,5332561273,213,0.64,5332561267,140,21.4,5332561271,212,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534327,4,1,1,0,13,b8oqgvx1ijeyn6y1cn6929ix4,0,21.9,91.2,2024-11-02T12:01:45.705Z,2024-11-02T12:01:48Z,4uuqid6t4nspn0wspyltz3bx0,J. Musbaudeen,,,5332561405,213,0.23,5332561397,140,52.2,5332561401,212,32.7,5332561399,141,100.0,5332561393,157,,5332561395,56,Left,5332561407,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534333,5,5,1,0,15,b8oqgvx1ijeyn6y1cn6929ix4,0,50.4,102.0,2024-11-02T12:01:47.922Z,2024-11-02T14:18:20Z,4uuqid6t4nspn0wspyltz3bx0,J. Musbaudeen,,,5332561789,233,7,5332561423,56,Left,5332561425,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534407,7,5,1,0,15,bd4qakf7j0wwie8wke9km7uj8,1,49.6,-2.0,2024-11-02T12:01:47.922Z,2024-11-02T14:18:19Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5332561783,347,,5332561785,233,5,5332561781,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534433,8,1,1,0,23,bd4qakf7j0wwie8wke9km7uj8,1,63.4,0.0,2024-11-02T12:01:55.975Z,2024-11-02T12:01:59Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5332561911,107,,5332561921,213,1.40,5332561915,140,66.6,5332561919,212,19.7,5332561913,56,Center,5332561917,141,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534437,9,61,1,0,26,bd4qakf7j0wwie8wke9km7uj8,0,64.4,26.5,2024-11-02T12:01:59.104Z,2024-11-02T12:01:59Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5332561939,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534463,7,3,1,0,29,b8oqgvx1ijeyn6y1cn6929ix4,0,35.2,72.0,2024-11-02T12:02:01.799Z,2024-11-02T12:02:11Z,f58yr2jmfp8kpgprfxbokt1t6,M. Vestergård,,,5332562067,56,Back,5332562107,286,,5332562109,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534465,10,7,1,0,29,bd4qakf7j0wwie8wke9km7uj8,0,64.8,28.0,2024-11-02T12:02:01.800Z,2024-11-02T12:02:06Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5332562073,285,,5332562079,233,7,5332562071,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534493,8,50,1,0,33,b8oqgvx1ijeyn6y1cn6929ix4,1,34.4,71.2,2024-11-02T12:02:05.217Z,2024-11-02T13:07:22Z,6bajck5osvj7trnwt2a5mc3dg,I. Tånnander,,,5332562203,56,Back,5332562371,286,,5332562373,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534519,11,7,1,0,33,bd4qakf7j0wwie8wke9km7uj8,0,65.6,28.8,2024-11-02T12:02:05.218Z,2024-11-02T13:02:47Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5332562335,233,8,5332562303,56,Center,5332562305,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742572759,446,61,1,0,34,b8oqgvx1ijeyn6y1cn6929ix4,1,40.2,59.0,2024-11-02T12:02:06.376Z,2024-11-02T13:06:15Z,6bajck5osvj7trnwt2a5mc3dg,I. Tånnander,,,5332756531,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742535851,26,1,1,0,34,bd4qakf7j0wwie8wke9km7uj8,0,54.4,34.5,2024-11-02T12:02:06.673Z,2024-11-02T12:04:21Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5332568653,56,Center,5332568661,213,0.54,5332568659,212,14.5,5332568657,141,45.5,5332568655,140,66.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534545,9,1,1,0,35,b8oqgvx1ijeyn6y1cn6929ix4,1,32.4,59.9,2024-11-02T12:02:07.625Z,2024-11-02T13:05:40Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5332562417,212,20.2,5332562411,56,Back,5332562409,155,,5332562413,140,45.7,5332562419,213,0.81,5332562415,141,81.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534563,10,1,1,0,36,b8oqgvx1ijeyn6y1cn6929ix4,1,45.7,81.4,2024-11-02T12:02:08.753Z,2024-11-02T12:02:11Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5332562487,56,Back,5332562491,141,91.2,5332562495,213,2.59,5332562485,3,,5332562493,212,12.8,5332562489,140,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534605,11,1,1,0,39,b8oqgvx1ijeyn6y1cn6929ix4,1,41.8,89.6,2024-11-02T12:02:11.232Z,2024-11-02T12:02:15Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5332562723,213,5.88,5332562721,212,23.0,5332562719,141,76.3,5332562717,140,61.9,5332562715,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534589,12,83,1,0,41,bd4qakf7j0wwie8wke9km7uj8,0,35.1,21.3,2024-11-02T12:02:13.464Z,2024-11-02T12:02:17Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5332562841,399,9ircna8pbskreztmy1wiqwx9m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534625,12,1,1,0,42,b8oqgvx1ijeyn6y1cn6929ix4,1,61.6,62.6,2024-11-02T12:02:14.977Z,2024-11-02T12:02:17Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5332562807,56,Center,5332562811,141,24.7,5332562813,212,26.3,5332562809,140,66.4,5332562815,213,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
