id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value
2712562941,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-08-24T16:08:44.294Z,2024-08-24T20:14:10Z,,,,5168469989,59,"1, 29, 11, 3, 5, 4, 18, 24, 17, 12, 7, 2, 8, 9, 15, 16, 25, 27, 32, 33",5168469987,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5168469985,30,"52vwj2s29n7wngablotd7pboq, ekx0wotp433tuaw4g93nybjmc, f1ba9g771s0zeel0titcj3omi, 8ewvm6ux4yvpwgrzjkc1chqwa, dqssvdpt2iwg8qn9wto3miind, 3xz0h3d6r2qgmv9egms8yaz56, 8h3cyhuw5049gcxrsld3rw1ec, 9fvf8z6p8ok0n5vu999ysfywa, 9ircna8pbskreztmy1wiqwx9m, e3546n3qj447qgmizao50zx1w, 1nn1wc14k9zd3wtu73loj7kes, b55jtl3ixolidn6cvc4t90efo, f58yr2jmfp8kpgprfxbokt1t6, 9618hk1lq7i6see347k7plkyy, 2qedb8t85t1ieeed9613c9crt, dyzzo6n83rg4fpvmqqa69moes, cqgmx6eiriomccxfhykh31r10, ae86fel4p9nioy219v3lg62hg, 3ywgt5v070xudujs9f7cuqm7d, 4uuqid6t4nspn0wspyltz3bx0",5168469991,130,17,5168469993,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5168469995,194,1nn1wc14k9zd3wtu73loj7kes,5168469997,197,12587,5168469999,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,
2712576915,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-08-24T16:22:40.544Z,2024-08-24T19:56:38Z,,,,5168729569,194,bwozpgcm48s08t1glxfgjajmd,5168539939,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5168539931,30,"8r9iqig43yjty7l1oq6yg73mc, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, g2cgdv428rmpmb0om40ldses, 4brcvdxviy9f03iwcavxll80l, 99tm7b6ux9s4qocz0y4pcahas, 4rhxehi019n7z1z1m7a39w1sk, bwozpgcm48s08t1glxfgjajmd, m031ocyfq011rual3olkegdm, 7pnxa8wzxx5qxevcckxdd62tx, 7h02v4ymnko5fh01iylbh34es, 4lac0f1ev5usxpka7gaev3hii, 1el3mu4rgcx8tebrawgfvynf8, 35og29e19w0ykeqcvudhpgr8, emakjdiju8z2peey3ytjahz6y, 6bkuzenpse2kzirt9q7qeisd0, cf6zq49y8v1ekw07e7yi3uac, 65f1ckijc2btnprgz3s593dw4, 4ieyvppe24gqdkm2xv2xlaluc, d106tu53y5q02yu36iojbou8k",5168728651,197,24385,5168539937,130,18,5168539935,59,"1, 2, 3, 26, 5, 19, 14, 6, 15, 7, 10, 8, 11, 12, 16, 17, 18, 22, 30, 27",5168539933,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5168539941,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,
2712614117,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-08-24T17:00:35.596Z,2024-08-24T17:00:38Z,,,,5168734961,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712614107,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-08-24T17:00:35.596Z,2024-08-24T17:00:35Z,,,,5168734919,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712614125,3,1,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,49.9,50.3,2024-08-24T17:00:35.797Z,2024-08-24T17:00:39Z,e3546n3qj447qgmizao50zx1w,F. Møller,,5168734997,279,S,5168734995,213,3.37,5168734991,141,43.4,5168734993,212,20.4,5168734987,56,Back,5168734989,140,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712614189,4,1,1,0,3,b8oqgvx1ijeyn6y1cn6929ix4,1,31.0,41.8,2024-08-24T17:00:39.083Z,2024-08-24T17:00:42Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,5168735351,140,75.8,5168735359,1,,5168735347,157,,5168735353,141,78.8,5168735357,213,0.49,5168735355,212,53.3,5168735349,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712614221,5,1,1,0,6,b8oqgvx1ijeyn6y1cn6929ix4,0,75.8,78.8,2024-08-24T17:00:42.435Z,2024-08-24T17:00:45Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,5168735579,56,Left,5168735589,213,0.01,5168735583,140,92.1,5168735577,168,,5168735587,212,17.1,5168735575,3,,5168735585,141,79.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712614271,3,12,1,0,12,bd4qakf7j0wwie8wke9km7uj8,1,2.5,24.0,2024-08-24T17:00:48.429Z,2024-08-24T17:00:50Z,4brcvdxviy9f03iwcavxll80l,H. Askham,,5168735775,56,Back,5168735829,167,,5168735779,141,0.0,5168735777,140,22.8,5168735783,213,5.60,5168735781,212,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712614277,4,5,1,0,13,bd4qakf7j0wwie8wke9km7uj8,0,26.6,-1.6,2024-08-24T17:00:49.134Z,2024-08-24T19:16:09Z,4brcvdxviy9f03iwcavxll80l,H. Askham,,5168735811,347,,5168735809,56,Back,5168736301,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712614349,6,5,1,0,13,b8oqgvx1ijeyn6y1cn6929ix4,1,73.4,101.6,2024-08-24T17:00:49.134Z,2024-08-24T19:16:09Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,5168736285,233,4,5168736277,56,Left,5168736279,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
