id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,qualifier/16/value
2725047805,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-09-23T16:02:52.273Z,2024-09-23T19:40:14Z,,,,,5236769495,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5236769491,59,"1, 18, 27, 4, 7, 21, 6, 12, 9, 8, 17, 2, 10, 19, 20, 22, 23, 26, 29, 34",5236769487,30,"8mswl5vzza12hylodrrsq3zvu, 9lsylzgf7e3i5zb0fshnxo6xg, 85a9bmnu6fqvhlff28qm0e0a1, 5i6n6yne6fh410vk7p7kkokmi, 5z7y55t2o577r8ki3i5855as, khqldwfq14b7giakss24l9t5, 2tcdx5rp7vujnlid4oqqxdogk, 5dlh0fa9yo6z283w9p58xmnoq, 1fjkjzsei9slx2t4zhsqdkve1, 1n4eldqa7h9jvcx1693zqu06i, uiyol728wan4mxco2foplknp, 9350utk4onh2hv5jznxqpkd7t, bop31qof3lon7u6rvmb68ktzp, 1hlx5mvl8th7y82gocnuxacd0, bpldj4qdzfdm1n739atcadbmc, b8tw9d3b8tgnfezy68vadwnx0, 3avg1grraylzm6xjt5kt18is4, 55qsxtqivxajkxmpdeyccus5w, 21bafxfg7hy0agd0upyqxw0a2, 7l7f98nn8gohmdacsdb2labkk",5236876249,194,5z7y55t2o577r8ki3i5855as,5236769497,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5236769489,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5236769493,130,13,5236876251,197,16110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725051485,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-09-23T16:11:41.821Z,2024-09-23T19:27:02Z,,,,,5236877413,197,11644,5236790143,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 4bojyjyvkdgm1lss6n37q2t5g, 7ztdirfvd9d0x2yw1v051xzbo, dgcbjg2ymgi70yv1n8ugkv02c, 3od63zrf6cay4d6ync9i2iuqc, 4m3slt6iikaxklqd12i719rl5, 23sc7wc7my7wes6cuaxw1v0no, 9jqox80arzpytv1b136jobhpm, y4dl1rer075c9wz6zhx7skbt, 289rctmvd5ppy9zqn98jbe4et, cu2l7ju3t72stqhwaurrnqbqh, bvc80w5ai425plu54nhgx5fxl, 7rt4wpc0qphwnvhn8jeazesfe, ayxi2m0g0pm6rl1ba5pto66z9, 6wfu6s6xo5zjeke21fgbouql0, 91xtn2wlot8g8ue89zn4iiyqy, 2zt1yrfv8m2mhpo720n0uydck",5236790147,59,"90, 14, 17, 13, 3, 5, 11, 21, 16, 97, 98, 1, 2, 6, 7, 8, 19, 20",5237428921,194,3od63zrf6cay4d6ync9i2iuqc,5236790145,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5236790151,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5236790153,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5236790149,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066443,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-09-23T17:02:05.922Z,2024-09-23T17:02:07Z,,,,,5236878199,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066425,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-09-23T17:02:05.922Z,2024-09-23T17:02:06Z,,,,,5236878107,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066463,3,1,1,0,0,6wwwud48qahpwrfxs20334qk5,1,49.7,49.1,2024-09-23T17:02:05.923Z,2024-09-23T17:02:10Z,9jqox80arzpytv1b136jobhpm,A. Bøndergaard,,,5236878313,140,31.9,5236878317,212,18.7,5236878321,279,S,5236878319,213,3.06,5236878311,56,Back,5236878315,141,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066475,4,1,1,0,4,6wwwud48qahpwrfxs20334qk5,1,38.4,36.4,2024-09-23T17:02:09.963Z,2024-09-23T17:02:11Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,,5236878375,140,54.5,5236878381,213,5.80,5236878379,212,19.1,5236878377,141,23.3,5236878373,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066503,5,1,1,0,5,6wwwud48qahpwrfxs20334qk5,1,57.2,22.8,2024-09-23T17:02:11.667Z,2024-09-23T17:02:15Z,4m3slt6iikaxklqd12i719rl5,M. Opondo,,,5236878535,140,29.4,5236878549,213,3.42,5236878531,56,Back,5236878539,141,10.6,5236878545,212,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066527,6,1,1,0,9,6wwwud48qahpwrfxs20334qk5,1,32.2,13.2,2024-09-23T17:02:14.939Z,2024-09-23T17:02:19Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5236878681,141,50.6,5236878685,213,1.14,5236878683,212,27.9,5236878679,140,43.2,5236878677,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066533,7,3,1,0,11,6wwwud48qahpwrfxs20334qk5,0,44.7,50.3,2024-09-23T17:02:17.659Z,2024-09-23T18:00:55Z,23sc7wc7my7wes6cuaxw1v0no,J. Lindekilde,,,5236878717,286,,5236878883,233,3,5236878715,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066557,3,7,1,0,11,aqtkb4mgrz8c6iqfufj6qjbv9,0,55.3,49.7,2024-09-23T17:02:17.660Z,2024-09-23T19:13:11Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,,5236878833,285,,5236878865,233,7,5236878831,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066539,8,61,1,0,12,6wwwud48qahpwrfxs20334qk5,1,43.2,50.6,2024-09-23T17:02:18.192Z,2024-09-23T17:06:58Z,23sc7wc7my7wes6cuaxw1v0no,J. Lindekilde,,,5236878751,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066565,4,61,1,0,16,aqtkb4mgrz8c6iqfufj6qjbv9,1,64.3,48.1,2024-09-23T17:02:22.087Z,2024-09-23T19:13:09Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,,5236878863,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066573,5,3,1,0,17,aqtkb4mgrz8c6iqfufj6qjbv9,0,71.6,43.4,2024-09-23T17:02:23.018Z,2024-09-23T17:08:13Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,,5236878915,56,Center,5236879011,233,9,5236878917,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066559,9,7,1,0,17,6wwwud48qahpwrfxs20334qk5,0,28.4,56.6,2024-09-23T17:02:23.019Z,2024-09-23T17:08:12Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5236878979,233,5,5236878837,285,,5236878835,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066635,7,1,1,0,19,aqtkb4mgrz8c6iqfufj6qjbv9,1,71.0,40.4,2024-09-23T17:02:25.683Z,2024-09-23T17:02:29Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,,5236879299,56,Right,5236879307,141,8.0,5236879303,140,76.2,5236879311,213,4.96,5236879309,212,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066641,8,1,1,0,23,aqtkb4mgrz8c6iqfufj6qjbv9,1,76.2,8.0,2024-09-23T17:02:29.402Z,2024-09-23T19:13:13Z,9lsylzgf7e3i5zb0fshnxo6xg,S. Sharif,,,5236879349,212,17.3,5236879351,213,2.37,5236879345,140,64.4,5236879343,56,Center,5236879347,141,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066687,9,1,1,0,24,aqtkb4mgrz8c6iqfufj6qjbv9,1,64.4,25.8,2024-09-23T17:02:30.379Z,2024-09-23T17:02:35Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,,5236879645,141,14.7,5236879641,56,Right,5236879649,213,3.77,5236879647,212,12.8,5236879643,140,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066721,10,1,1,0,29,aqtkb4mgrz8c6iqfufj6qjbv9,1,54.6,14.7,2024-09-23T17:02:35.090Z,2024-09-23T19:13:15Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,,5236879835,140,60.7,5236879837,141,27.3,5236879833,56,Center,5236879839,212,10.7,5236879841,213,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
