id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2787806427,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-03-14T17:25:11.845Z,2025-03-14T21:02:41Z,,,,,5578902511,59,"1, 4, 2, 73, 8, 5, 22, 20, 18, 6, 10, 7, 9, 17, 19, 23, 27, 47, 49, 30",5578967141,197,23642,5578902507,30,"64vlnkuqfh7rnymg8qku8amwa, duahzgqspyuy2gu31u3s8ky96, bvw5oc4c040ey5dt5wn0choiy, oywgthoxa153nf48la1j8v10, a7eramyy1bd8msxmg84ctc8ut, abrdu87vmuqj50ebgalr3c7op, 5hr1cb6e6xb3eyjnau7w4825l, bh06w40pwo6dy3cjrw3r2i0ru, ag1psg17osvgbq5fz9xo7kmj8, egwhlgopjtjkop7ozy7ltk1cl, 9nafz0c0x2qvmo5ldm0djmcq1, 139g7ilwvcpl519v3scnweg2d, 9l89n30nejpn2u22ygvchwnze, 11cna826ls27ahux2w0ckapqt, 8rn42gm9xm3yunk883yan9vdg, 4csz412vb3lquessbnf999ct0, 6t6k24gn6zwxz1g6c3n4ph0q, 9gr9rdahnavv0irjauh5xim8k, ju24rgwcctj5yizl54o91gfe, 1655gyu9bjnslw7vfloe40h2i",5578902513,130,13,5578902515,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5578902517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5578902509,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5578967359,194,a7eramyy1bd8msxmg84ctc8ut,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787807039,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-03-14T17:27:23.267Z,2025-03-14T20:57:45Z,,,,,5578970687,197,11563,5578961557,194,3od63zrf6cay4d6ync9i2iuqc,5578905959,59,"90, 14, 2, 6, 4, 5, 8, 13, 7, 11, 98, 1, 3, 9, 12, 17, 19, 21, 22, 97",5578905961,130,8,5578905957,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5578905963,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5578905955,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, bvc80w5ai425plu54nhgx5fxl, 7rt4wpc0qphwnvhn8jeazesfe, b1kyjkhaaiw32cb4bubbpm7tg, 3od63zrf6cay4d6ync9i2iuqc, 6wfu6s6xo5zjeke21fgbouql0, 7ztdirfvd9d0x2yw1v051xzbo, ayxi2m0g0pm6rl1ba5pto66z9, 4m3slt6iikaxklqd12i719rl5, 289rctmvd5ppy9zqn98jbe4et, cu2l7ju3t72stqhwaurrnqbqh, dgcbjg2ymgi70yv1n8ugkv02c, 6lb4k3g75nzgi8bp1y1mzxkru, 1ai0gvdx68lxclbj6m255w72t, 4bojyjyvkdgm1lss6n37q2t5g, 91xtn2wlot8g8ue89zn4iiyqy, 23sc7wc7my7wes6cuaxw1v0no, 876cmwkx9p9wsqgdddfzmipzo, y4dl1rer075c9wz6zhx7skbt",5578905965,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819203,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-03-14T18:00:46.464Z,2025-03-14T18:00:49Z,,,,,5578970019,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819199,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-03-14T18:00:46.464Z,2025-03-14T18:00:46Z,,,,,5578970005,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819223,3,1,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,50.1,50.6,2025-03-14T18:00:46.465Z,2025-03-14T18:00:49Z,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,,,5578970129,141,58.5,5578970133,213,2.87,5578970135,279,S,5578970127,140,31.9,5578970131,212,19.9,5578970123,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819247,4,1,1,0,2,7gkglopz9cjsysn2u6sbhuvc5,1,33.3,61.1,2025-03-14T18:00:49.127Z,2025-03-14T18:00:54Z,oywgthoxa153nf48la1j8v10,M. Lauritsen,,,5578970271,1,,5578970265,141,24.3,5578970263,140,67.3,5578970267,212,43.6,5578970261,56,Center,5578970259,157,,5578970269,213,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819263,5,44,1,0,6,7gkglopz9cjsysn2u6sbhuvc5,1,67.8,11.5,2025-03-14T18:00:52.594Z,2025-03-14T20:26:23Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5578970345,233,3,5578970341,286,,5578970337,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819237,3,44,1,0,6,6wwwud48qahpwrfxs20334qk5,0,32.2,88.5,2025-03-14T18:00:52.595Z,2025-03-14T20:26:23Z,bvc80w5ai425plu54nhgx5fxl,D. Thøgersen,,,5578970205,285,,5578970203,56,Back,5578970369,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819273,6,1,1,0,6,7gkglopz9cjsysn2u6sbhuvc5,0,67.2,23.9,2025-03-14T18:00:53.376Z,2025-03-14T20:25:32Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5578970397,140,78.2,5578970395,56,Right,5578970393,3,,5578970401,212,21.1,5578970399,141,0.0,5578970403,213,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819325,4,5,1,0,9,6wwwud48qahpwrfxs20334qk5,1,23.0,101.8,2025-03-14T18:00:56.317Z,2025-03-14T20:19:40Z,bvc80w5ai425plu54nhgx5fxl,D. Thøgersen,,,5578970675,347,,5578970673,56,Back,5578970691,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819277,7,5,1,0,9,7gkglopz9cjsysn2u6sbhuvc5,0,77.0,-1.8,2025-03-14T18:00:56.317Z,2025-03-14T20:19:40Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,,5578970409,347,,5578970407,56,Right,5578970711,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819347,5,1,1,0,18,6wwwud48qahpwrfxs20334qk5,1,25.2,100.0,2025-03-14T18:01:05.195Z,2025-03-14T18:01:06Z,bvc80w5ai425plu54nhgx5fxl,D. Thøgersen,,,5578970767,141,92.3,5578970765,140,13.0,5578970763,56,Back,5578970771,213,3.60,5578970769,212,14.3,5578970761,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819381,6,1,1,0,20,6wwwud48qahpwrfxs20334qk5,1,13.0,92.3,2025-03-14T18:01:06.610Z,2025-03-14T18:01:09Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5578970931,140,2.0,5578970935,212,20.4,5578970933,141,67.6,5578970937,213,4.11,5578970929,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819405,7,1,1,0,22,6wwwud48qahpwrfxs20334qk5,1,2.0,67.5,2025-03-14T18:01:09.163Z,2025-03-14T18:15:36Z,eiy7fhqxdx3ypg4dq4454hpbe,V. Birksø,,,5578971017,157,,5578971029,1,,5578971021,140,43.4,5578971027,213,0.42,5578971019,56,Back,5578971025,212,47.7,5578971023,141,96.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819409,8,61,1,0,25,6wwwud48qahpwrfxs20334qk5,0,41.0,94.7,2025-03-14T18:01:12.098Z,2025-03-14T18:15:38Z,289rctmvd5ppy9zqn98jbe4et,A. Muçolli,,,5578971045,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819415,8,61,1,0,26,7gkglopz9cjsysn2u6sbhuvc5,1,63.9,10.4,2025-03-14T18:01:12.824Z,2025-03-14T18:01:13Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5578971083,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819445,10,1,1,0,28,7gkglopz9cjsysn2u6sbhuvc5,1,62.7,14.4,2025-03-14T18:01:14.800Z,2025-03-14T18:01:15Z,bh06w40pwo6dy3cjrw3r2i0ru,I. Nikolov,,,5578971219,56,Center,5578971227,213,1.70,5578971223,141,24.1,5578971225,212,6.6,5578971221,140,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819463,11,1,1,0,29,7gkglopz9cjsysn2u6sbhuvc5,1,61.9,24.1,2025-03-14T18:01:15.752Z,2025-03-14T18:01:18Z,5hr1cb6e6xb3eyjnau7w4825l,R. Thellufsen,,,5578971329,212,23.4,5578971327,141,6.4,5578971323,56,Right,5578971331,213,5.74,5578971325,140,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819491,12,1,1,0,32,7gkglopz9cjsysn2u6sbhuvc5,0,82.2,8.0,2025-03-14T18:01:18.559Z,2025-03-14T18:01:20Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,,5578971465,212,22.3,5578971455,2,,5578971463,141,34.6,5578971467,213,0.94,5578971457,155,,5578971461,140,94.7,5578971459,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
