id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2719914163,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-09-14T14:22:48.504Z,2024-09-14T16:07:04Z,,,,,5208823811,59,"16, 20, 2, 8, 4, 29, 6, 18, 30, 10, 11, 1, 5, 7, 14, 19, 24, 26, 28, 40",5209206453,194,4clmd8g8jogdfvauhijd7n55h,5208823807,30,"4clmd8g8jogdfvauhijd7n55h, e42jh6bbwn4aybdnysonrvutx, 1mml4inucvyomv1dcog3c1pt5, 97xbmht3t4t1p9iu6598oq7l5, dqtarwrqvkopmzbt2ovp2dln9, ev2s21ogvpjtata4fndi868ve, e9o7q10wnhex4e8eo47mobbvt, 2z8u8kyv91shp0la8alkn6kus, 80s55a7uw8kypoikefwhtdm5m, 5wmik73cqursg7sv3w14ue5pm, 1b32j0lqi7ggcabdra4tygxzo, 2g019dl7zougqjo7usig0rf11, eq15hjcxpdrl5vca2q7s4tr3e, wha77a8wm7jyn32743y0w79x, 2uw6m0yavlvkkiob73hoywb56, rbk7g9mpasw3edltliscyzv8, 19wdr5lrjw3aqm0ap9nklwefo, ewh6t7yo6clfewu89uznll9uc, wrckom9vy4352nos44600ydw, 15jhbyn4wsbd865fd9djcwaok",5208823815,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5208823809,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5208823813,130,4,5208823817,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719947017,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-09-14T14:37:31.931Z,2024-09-14T17:05:48Z,,,,,5209003339,59,"1, 25, 12, 20, 4, 24, 22, 17, 21, 10, 15, 8, 14, 18, 19, 31, 34, 45, 9, 11",5209204659,194,8uhv14rin2znrr0wqgvcc2f2t,5209003341,130,8,5209204661,197,6601,5209003333,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, bdz03qovxerzrv12lgljae1p0, dfxs5u8rdcxhzp33aks3acdn8, 5lu7bn7uec3zjqpoi1x81gbu1, 4lxxyqy78jkglhv2w6crzcnsa, 6k7khwtkxpem9z17bl5rrf2p6, 9dh7cnu4uzbraeck0t5iqlj4k, cqsc3mj8klukkgutdrpegybdg, 81w1fqi66z0ibawynhraybaxg, cl4xl80n4gew1ox03r3ooshrd, cphvg2nexeks2vwd2ezb4zuok, eso2tbbpnxu9qvx6zy07m5jx0, 5w0giylttgiapseaw6qky0mxg, dsfbfzwy3c06mu50ee89qrbsa, 2h94np282g0qtzal1czznequi, 4i0jiisff5k1efcgf27skpqfo, 4m9sp9mxlsjk6fv7v218yqfv9, a48bpdpt0siemxqtr3rubwbu, 3epwf56ozg73hueacwmckk0r9",5209003343,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5209003337,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5209003345,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719987931,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-09-14T15:02:09.101Z,2024-09-14T15:02:11Z,,,,,5209216027,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719987915,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-09-14T15:02:09.101Z,2024-09-14T15:02:09Z,,,,,5209215949,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719987973,3,1,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,50.0,50.0,2024-09-14T15:02:09.102Z,2024-09-14T15:02:12Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5209216221,212,21.4,5209216215,56,Back,5209216217,140,31.2,5209216219,141,37.9,5209216223,213,3.54,5209216225,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719988061,4,1,1,0,3,dbl7ir1qugqz8nvp1vzn8im50,0,31.6,37.7,2024-09-14T15:02:12.397Z,2024-09-14T15:02:16Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5209216607,140,77.3,5209216605,56,Left,5209216611,212,58.6,5209216603,157,,5209216613,213,0.61,5209216615,1,,5209216609,141,87.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719988103,3,1,1,0,8,a9vw7ikerpr4cuweeeka5aneg,0,23.0,14.6,2024-09-14T15:02:17.164Z,2024-09-14T15:02:36Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5209216837,212,18.1,5209216835,141,14.6,5209216833,140,40.2,5209216831,56,Back,5209216839,213,0.00,5209216829,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719988155,5,44,1,0,12,dbl7ir1qugqz8nvp1vzn8im50,1,62.9,80.6,2024-09-14T15:02:21.636Z,2024-09-14T16:59:03Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5210116383,233,4,5209217063,286,,5209217061,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719988175,4,44,1,0,12,a9vw7ikerpr4cuweeeka5aneg,0,37.1,19.4,2024-09-14T15:02:21.637Z,2024-09-14T16:59:04Z,dfxs5u8rdcxhzp33aks3acdn8,K. Lusavec,,,5210116431,233,5,5209217163,285,,5209217161,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719988183,6,61,1,0,12,dbl7ir1qugqz8nvp1vzn8im50,1,68.9,85.3,2024-09-14T15:02:21.638Z,2024-09-14T17:05:46Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5209217189,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
