id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2709218469,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-08-16T16:06:56.681Z,2024-08-16T19:43:53Z,,,,,5150024021,30,"6sdv4s8oz558wfhx72vwlpvu2, ekx0wotp433tuaw4g93nybjmc, f1ba9g771s0zeel0titcj3omi, 8ewvm6ux4yvpwgrzjkc1chqwa, dqssvdpt2iwg8qn9wto3miind, 3xz0h3d6r2qgmv9egms8yaz56, 9fvf8z6p8ok0n5vu999ysfywa, 8h3cyhuw5049gcxrsld3rw1ec, 9ircna8pbskreztmy1wiqwx9m, 9618hk1lq7i6see347k7plkyy, 1nn1wc14k9zd3wtu73loj7kes, 52vwj2s29n7wngablotd7pboq, b55jtl3ixolidn6cvc4t90efo, e3546n3qj447qgmizao50zx1w, b6l4m6bmqgil9bjjov4tnuivo, 2qedb8t85t1ieeed9613c9crt, dyzzo6n83rg4fpvmqqa69moes, zjklvm2eeuit947oxvxc2o0k, 3ywgt5v070xudujs9f7cuqm7d, 4uuqid6t4nspn0wspyltz3bx0",5150024031,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5150024023,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5150024029,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5150024027,130,17,5150064577,197,12588,5150024025,59,"99, 29, 11, 3, 5, 4, 24, 18, 17, 9, 7, 1, 2, 12, 14, 15, 16, 30, 32, 33",5150064571,194,1nn1wc14k9zd3wtu73loj7kes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709221875,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-08-16T16:21:20.291Z,2024-08-16T19:12:42Z,,,,,5150043675,59,"1, 25, 14, 18, 4, 24, 15, 17, 7, 11, 45, 8, 9, 12, 21, 31, 33, 34, 32, 10",5150608019,194,8uhv14rin2znrr0wqgvcc2f2t,5150043681,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5150043677,130,23,5150043679,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5150043673,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5150043671,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, eso2tbbpnxu9qvx6zy07m5jx0, 5w0giylttgiapseaw6qky0mxg, 5lu7bn7uec3zjqpoi1x81gbu1, 4lxxyqy78jkglhv2w6crzcnsa, cl4xl80n4gew1ox03r3ooshrd, 9dh7cnu4uzbraeck0t5iqlj4k, 4mxciw9jsj9l437fd7bv78p91, 3epwf56ozg73hueacwmckk0r9, 4m9sp9mxlsjk6fv7v218yqfv9, cphvg2nexeks2vwd2ezb4zuok, a48bpdpt0siemxqtr3rubwbu, bdz03qovxerzrv12lgljae1p0, cqsc3mj8klukkgutdrpegybdg, 2h94np282g0qtzal1czznequi, 61vr9xr91fr4g6ayzga5vn9w5, 4i0jiisff5k1efcgf27skpqfo, 51ymbnikkta369rn3exb1g7bo, 81w1fqi66z0ibawynhraybaxg",5150064329,197,6601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231009,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-08-16T17:00:36.589Z,2024-08-16T17:00:36Z,,,,,5150095499,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231017,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-08-16T17:00:36.589Z,2024-08-16T17:00:38Z,,,,,5150095537,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231019,3,1,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,50.0,50.0,2024-08-16T17:00:36.603Z,2024-08-16T17:00:39Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5150095551,213,2.76,5150095545,140,24.0,5150095553,279,S,5150095543,56,Back,5150095549,212,29.4,5150095547,141,66.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231045,4,1,1,0,2,a9vw7ikerpr4cuweeeka5aneg,0,24.0,66.2,2024-08-16T17:00:39.356Z,2024-08-16T17:00:41Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5150095707,140,72.2,5150095709,141,27.4,5150095703,157,,5150095713,213,5.80,5150095715,1,,5150095705,56,Center,5150095711,212,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231071,3,1,1,0,5,b8oqgvx1ijeyn6y1cn6929ix4,0,24.2,75.3,2024-08-16T17:00:42.544Z,2024-08-16T17:00:46Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5150095863,213,0.20,5150095855,56,Back,5150095861,212,16.2,5150095853,3,,5150095857,140,39.3,5150095859,141,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231073,5,44,1,0,8,a9vw7ikerpr4cuweeeka5aneg,1,57.8,22.8,2024-08-16T17:00:45.408Z,2024-08-16T19:08:10Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5150095871,56,Center,5150095929,233,4,5150095873,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231075,4,44,1,0,8,b8oqgvx1ijeyn6y1cn6929ix4,0,42.2,77.2,2024-08-16T17:00:45.409Z,2024-08-16T19:08:11Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5150095949,233,5,5150095879,285,,5150095877,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231079,6,1,1,0,9,a9vw7ikerpr4cuweeeka5aneg,0,52.9,27.7,2024-08-16T17:00:45.709Z,2024-08-16T17:00:46Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5150095899,56,Center,5150095905,212,11.0,5150095897,3,,5150095901,140,63.3,5150095907,213,6.17,5150095903,141,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
