id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/8/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2711314621,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-08-20T15:46:56.073Z,2024-08-20T19:19:01Z,,,,,5161638627,197,9535,5161606609,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5161606599,30,"dqqswfn9s1tdxjoslts8ks6xg, 4m7gr5z6b40dj02yrmlwgeluc, 1icurh5jrnw1e6jdgqxjnhdnu, 11ngumxajbizagbzpm5kompxx, am3509ake84cde1xhb9264i22, 2pm5oqzyonn0dysa5nszgq3xm, d2ukggo2v5jsw4pctznmaijo4, 69h930ebovyl7rut5dz4r2iok, 3mcj3wypzq3lno1ehc0vif1sl, 619s1phj5bkgkug3aszc1y9cl, e0u730to91qqtvvx16uhajz10, 98zlz2sscsf6vb7d52ici074k, 74m58jsznzu8l89b8h7rkh1bd, 2lc9bt5639t572il73e9y044, 45b72f8szmqnv8tz06j7mj1wq, 4ti8pdx03j8dh4mdb626ltmvo, 5nved2kta2hk8103hkyhq33hm, eu574m78nqv6a5638b44oquqc, 3mgrufy83uhzs9liw8pwxi784",5161612823,194,619s1phj5bkgkug3aszc1y9cl,5161606607,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5161606605,130,7,5161606601,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5161606603,59,"1, 3, 5, 6, 2, 4, 33, 8, 26, 7, 30, 9, 10, 12, 14, 21, 22, 24, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711314747,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-08-20T15:48:03.765Z,2024-08-20T16:27:35Z,,,,,5161607365,30,"b2gkyjq8emj9pywryc3rycogl, 6g671k5lvgoo2bgub2516q1w4, eyvv6b94feknnp1uew6n0ytat, 5u9zrgsm6wycfcbk04m64wd1w, 2uellcocrvapu7o70g5zdcmad, 9213debwtuph6cjborx73sx78, as7qhgi67gngq0nb3zmwg8jro, e8vt8711wb40afht2v13omket, 8i0o1b8rjsab9se3v6vteqmfo, 4a0jmv6qmwn01iuqp1mhnyzth, kqj7nh6pqmqbt0abyyu0fcpg, 9y3vs6l0mjj38z0kw062jlh3p, ezbixgm2km8iapnsl57bn4wkp, zpl7lyln792rt0b2oedamvbo, dja68kdmhtsm9x5zqzgtpqas4, 86mx27krl6c613x6e3t9g3cic, 6dki65mdd3letfjjj51i0w3c9, ab3nxxoj7bxlnhot9htoex1xw, 8xfqengyrwgxhhi86ok88vf2s, 8xe0fufxfgf5cuwgysz3r2j85",5161607367,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5161638265,197,19798,5161638263,194,2uellcocrvapu7o70g5zdcmad,5161607369,59,"13, 2, 3, 6, 5, 12, 10, 14, 11, 27, 22, 1, 8, 9, 16, 18, 20, 21, 26, 28",5161607373,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5161607375,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5161607371,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320269,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-08-20T16:30:40.523Z,2024-08-20T16:30:42Z,,,,,5161640421,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320267,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-08-20T16:30:40.523Z,2024-08-20T16:30:40Z,,,,,5161640419,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320275,3,1,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,49.9,50.1,2024-08-20T16:30:40.524Z,2024-08-20T16:31:51Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5161640469,141,47.5,5161640473,213,3.21,5161640475,279,S,5161640471,212,26.4,5161640465,56,Back,5161640467,140,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320377,17,1,1,0,2,ajtb177oqwawkdwbqhldmq6mx,1,41.2,41.9,2024-08-20T16:30:42.564Z,2024-08-20T16:31:48Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5161641497,56,Back,5161641499,140,25.1,5161641505,213,3.11,5161641501,141,42.7,5161641503,212,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320277,4,1,1,0,5,ajtb177oqwawkdwbqhldmq6mx,0,24.8,47.5,2024-08-20T16:30:46.124Z,2024-08-20T16:31:53Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5161640483,140,71.6,5161640481,56,Center,5161640485,141,24.4,5161640479,157,,5161640487,212,51.6,5161640489,213,5.97,5161640491,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320281,3,1,1,0,6,8cfkisxf1fkxdqtt6tx1tup48,0,27.3,75.1,2024-08-20T16:30:47.065Z,2024-08-20T16:30:49Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5161640507,3,,5161640509,56,Back,5161640517,213,0.44,5161640515,212,14.5,5161640511,140,39.8,5161640513,141,84.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320283,5,1,1,0,7,ajtb177oqwawkdwbqhldmq6mx,0,44.2,13.7,2024-08-20T16:30:48.400Z,2024-08-20T16:33:27Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,,5161640531,212,20.2,5161640527,140,62.2,5161640533,213,0.36,5161640529,141,24.3,5161640523,3,,5161640525,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320575,18,61,1,0,9,8cfkisxf1fkxdqtt6tx1tup48,1,41.0,88.3,2024-08-20T16:30:49.800Z,2024-08-20T16:33:18Z,e0u730to91qqtvvx16uhajz10,S. Jalaei,,,5161642855,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
