id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2802129227,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-04-17T10:07:12.195Z,2025-04-17T13:48:32Z,,,,,5657555877,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657555871,130,4,5657555867,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5657555873,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657555869,59,"1, 2, 3, 14, 4, 25, 18, 23, 17, 10, 31, 11, 13, 15, 21, 24, 26, 29, 32, 40",5657555865,30,"2g019dl7zougqjo7usig0rf11, 1mml4inucvyomv1dcog3c1pt5, bxamae8lo647u6k3kruigir8q, 2uw6m0yavlvkkiob73hoywb56, dqtarwrqvkopmzbt2ovp2dln9, auk14ut8cwaqop549u2zmfgt1, 2z8u8kyv91shp0la8alkn6kus, 15jhbyn4wsbd865fd9djcwaok, axyrfq1u8nwcj2ss5498u8qhg, 5wmik73cqursg7sv3w14ue5pm, 5vwzliaibdlhfm38g8v5z0r8p, 1b32j0lqi7ggcabdra4tygxzo, 4n002w0ii1wqwx8t5xc1bzf2s, 8f1mw21tbkct0slelpdznf7dg, 6eg3kxxg5aneckolraz03xzpw, 19wdr5lrjw3aqm0ap9nklwefo, ewh6t7yo6clfewu89uznll9uc, ev2s21ogvpjtata4fndi868ve, 1vfh2k9yurk6t5s1vmgmlmfpw, 3ukx6q0q54uzz78gl7k10o2dw",5657594829,197,4604,5657555875,194,2g019dl7zougqjo7usig0rf11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802129793,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-04-17T10:10:54.173Z,2025-04-17T14:13:35Z,,,,,5657559179,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5657559187,194,3xz0h3d6r2qgmv9egms8yaz56,5657559181,59,"99, 7, 10, 3, 2, 4, 23, 20, 17, 24, 14, 1, 11, 12, 16, 18, 19, 22, 30, 33",5657601613,197,12588,5657559183,130,17,5657559189,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657559177,30,"6sdv4s8oz558wfhx72vwlpvu2, ekx0wotp433tuaw4g93nybjmc, 4zpmxlmdfa5wx79cr0q14pfx1, 8ewvm6ux4yvpwgrzjkc1chqwa, b55jtl3ixolidn6cvc4t90efo, 3xz0h3d6r2qgmv9egms8yaz56, 5u9zrgsm6wycfcbk04m64wd1w, 423hv4unq5vvnp7kecv6wp3is, 9ircna8pbskreztmy1wiqwx9m, 9fvf8z6p8ok0n5vu999ysfywa, b6l4m6bmqgil9bjjov4tnuivo, 7xde75gwrng67wvjkugv9xih, f1ba9g771s0zeel0titcj3omi, e3546n3qj447qgmizao50zx1w, bq76t7rh2vynmvwx9mtvnl9g4, 8h3cyhuw5049gcxrsld3rw1ec, 5moycfv7blzfnjqiruao7dv6c, 6bajck5osvj7trnwt2a5mc3dg, 9delpquqv81o7ftrgefb0wpp0, 4uuqid6t4nspn0wspyltz3bx0",5657559185,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137493,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-04-17T11:00:22.051Z,2025-04-17T11:00:24Z,,,,,5657604315,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137491,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-04-17T11:00:22.051Z,2025-04-18T16:18:35Z,,,,,5657604311,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137495,3,1,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,50.0,50.0,2025-04-17T11:00:22.052Z,2025-04-17T11:02:07Z,b6l4m6bmqgil9bjjov4tnuivo,C. Palm,,,5657604335,140,33.7,5657604339,212,17.6,5657604343,279,S,5657604337,141,56.1,5657604333,56,Back,5657604341,213,2.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137507,4,1,1,0,3,b8oqgvx1ijeyn6y1cn6929ix4,0,33.8,56.1,2025-04-17T11:00:25.890Z,2025-04-17T11:01:14Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5657604395,56,Right,5657604399,141,13.8,5657604393,157,,5657604401,212,48.7,5657604405,1,,5657604397,140,71.2,5657604403,213,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137509,3,1,1,0,6,dbl7ir1qugqz8nvp1vzn8im50,0,32.5,85.1,2025-04-17T11:00:28.772Z,2025-04-17T11:00:30Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5657604427,213,1.06,5657604419,56,Back,5657604421,140,34.7,5657604417,3,,5657604425,212,4.7,5657604423,141,91.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137517,4,83,1,0,9,dbl7ir1qugqz8nvp1vzn8im50,0,33.2,95.4,2025-04-17T11:00:31.219Z,2025-04-17T13:03:59Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5657721223,399,ekx0wotp433tuaw4g93nybjmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137511,5,61,1,0,10,b8oqgvx1ijeyn6y1cn6929ix4,0,69.9,5.3,2025-04-17T11:00:32.321Z,2025-04-17T11:00:32Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5657604431,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137521,5,5,1,0,10,dbl7ir1qugqz8nvp1vzn8im50,1,30.2,101.9,2025-04-17T11:00:32.938Z,2025-04-17T13:12:05Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5657604473,233,6,5657604469,56,Back,5657604471,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137515,6,5,1,0,10,b8oqgvx1ijeyn6y1cn6929ix4,0,69.8,-1.9,2025-04-17T11:00:32.938Z,2025-04-17T13:12:06Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5657604477,233,5,5657604441,347,,5657604437,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137527,6,1,1,0,14,dbl7ir1qugqz8nvp1vzn8im50,1,33.4,100.0,2025-04-17T11:00:36.891Z,2025-04-17T11:00:41Z,bxamae8lo647u6k3kruigir8q,A. Sørensen,,,5657604511,140,24.1,5657604517,213,4.03,5657604507,107,,5657604513,141,83.9,5657604515,212,15.6,5657604509,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
