id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/15/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2787800613,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-03-14T17:04:49.468Z,2025-03-14T21:42:29Z,,,,,5578869123,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, bdz03qovxerzrv12lgljae1p0, dfxs5u8rdcxhzp33aks3acdn8, 5lu7bn7uec3zjqpoi1x81gbu1, 4i0jiisff5k1efcgf27skpqfo, cqsc3mj8klukkgutdrpegybdg, 9dh7cnu4uzbraeck0t5iqlj4k, 3epwf56ozg73hueacwmckk0r9, 6k7khwtkxpem9z17bl5rrf2p6, 81w1fqi66z0ibawynhraybaxg, 6qko3f8w2ap9ynbuq2g55i5n8, a48bpdpt0siemxqtr3rubwbu, cl4xl80n4gew1ox03r3ooshrd, 51ymbnikkta369rn3exb1g7bo, d9hh01mit4geyadol3gmzco9, c2x3pewqx6d9q3c5dup0udxw, 7hso2bszmf4qal560jhrg2904, 61vr9xr91fr4g6ayzga5vn9w5, 4m9sp9mxlsjk6fv7v218yqfv9",5578869127,59,"1, 25, 12, 20, 4, 34, 21, 17, 11, 22, 10, 3, 9, 15, 16, 23, 26, 32, 33, 45",5578869131,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5578869129,130,6,5578869135,197,6601,5578869137,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5578869133,194,8uhv14rin2znrr0wqgvcc2f2t,5578869125,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787802251,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-03-14T17:09:17.099Z,2025-03-14T22:04:07Z,,,,,5578878247,30,"7fkc01xxyl1trj3uav134ehyi, s8c0oxnoqt6zi7pi88rwawvd, 1se7wkenvs4elrapvdw9mdnje, bmkwmf5f2ssnw2cq7uga7yd5g, aqc0qritba195wf770gyd1149, c7buy99bjqmkmno8w5t0189d6, 4mxciw9jsj9l437fd7bv78p91, 15yli690oxmbr4dl1ksti2p9m, 4jve632xnmqujh4ioaxpaovai, 9n2nm6smh0txgv2482qbwhixg, ate1ymumg2iwzn8uyyf3ts222, 37mo55lynu3blqnb8k9ln8k16, 8k4wwchytdstpn0yhrxd5nbv9, 6hmsrr08cllpl4iumu92zskbt, 6m4anciafmzc24s44xszymbc9, 45bcgucg627rhrdgt8tn9hd9m, cqgmx6eiriomccxfhykh31r10, 418pvntm5e5kcoeyjjnzm7hg4, ayjuukbjjzrldkn4d4shfnggk, 5sha6xhovfmuzd7rolx1om39w",5578878253,130,7,5578878257,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5578878249,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5578878251,59,"1, 2, 21, 5, 3, 15, 9, 8, 14, 17, 12, 4, 6, 7, 11, 16, 19, 27, 32, 38",5578965355,194,1se7wkenvs4elrapvdw9mdnje,5578878255,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5578964081,197,4652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819331,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-03-14T18:01:05Z,2025-03-14T18:01:07Z,,,,,5578970689,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819329,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-03-14T18:01:05Z,2025-03-14T18:01:05Z,,,,,5578970685,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819367,3,1,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,50.4,50.3,2025-03-14T18:01:05.001Z,2025-03-14T18:01:08Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5578970873,140,33.2,5578970877,212,19.1,5578970869,56,Back,5578970879,213,3.48,5578970881,279,S,5578970875,141,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819417,4,1,1,0,2,f1h34qp5zbfl489q8vnkhiq9s,1,34.2,43.4,2025-03-14T18:01:07.955Z,2025-03-14T18:01:28Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5578971089,157,,5578971097,212,57.6,5578971093,140,84.8,5578971099,213,5.89,5578971095,141,10.7,5578971101,1,,5578971091,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819419,5,44,1,0,6,f1h34qp5zbfl489q8vnkhiq9s,1,82.1,20.7,2025-03-14T18:01:11.196Z,2025-03-14T20:25:37Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5578971109,56,Right,5578971153,233,3,5578971111,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819403,3,44,1,0,6,a9vw7ikerpr4cuweeeka5aneg,0,17.9,79.3,2025-03-14T18:01:11.197Z,2025-03-14T20:25:37Z,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,,,5578971173,233,5,5578971015,285,,5578971013,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819437,6,1,1,0,7,f1h34qp5zbfl489q8vnkhiq9s,0,84.8,10.7,2025-03-14T18:01:12.131Z,2025-03-14T18:02:12Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5578971199,212,16.7,5578971193,56,Right,5578971197,141,14.6,5578971189,3,,5578971191,168,,5578971195,140,100.0,5578971201,213,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819589,4,5,1,0,10,a9vw7ikerpr4cuweeeka5aneg,1,-0.4,81.4,2025-03-14T18:01:15Z,2025-03-14T20:24:36Z,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,,,5578971975,346,,5578971973,56,Back,5578971997,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
