id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value
2701836251,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-07-19T16:15:30.075Z,2024-07-19T17:12:44Z,,,,,5109041227,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5109041229,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5109041221,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5109071043,194,139g7ilwvcpl519v3scnweg2d,5109041225,130,8,5109041219,30,"64vlnkuqfh7rnymg8qku8amwa, duahzgqspyuy2gu31u3s8ky96, bvw5oc4c040ey5dt5wn0choiy, 7j35sfip0xb51mpa91wzikrh0, ef7l91pb4w6yk7lijxjxlievp, 18vvlxsaoloypja4fdddj687o, 139g7ilwvcpl519v3scnweg2d, a7eramyy1bd8msxmg84ctc8ut, 4csz412vb3lquessbnf999ct0, 11cna826ls27ahux2w0ckapqt, 9nafz0c0x2qvmo5ldm0djmcq1, 6gi9kejni27hjp7b43djczz6d, egwhlgopjtjkop7ozy7ltk1cl, 9l89n30nejpn2u22ygvchwnze, 7ar33yy0wd5ah5o8om1l12pgq, dy7tdtffhczukm4vrkgp1ctn8, 5hr1cb6e6xb3eyjnau7w4825l, 6t6k24gn6zwxz1g6c3n4ph0q, 78iynnu6cnznv6fxpo4br4mlm, alvc454edslfjld3g3wcn7yp6",5109071045,197,11731,5109041223,59,"1, 4, 2, 20, 5, 34, 7, 8, 23, 17, 10, 3, 6, 9, 11, 16, 22, 27, 29, 44",,,,,,,,,,,,,,,,,,,,,,,,
2701836623,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-07-19T16:17:24.374Z,2024-07-19T17:23:41Z,,,,,5109043347,30,"8r9iqig43yjty7l1oq6yg73mc, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, 4rhxehi019n7z1z1m7a39w1sk, 99tm7b6ux9s4qocz0y4pcahas, 81c40rn7lrb39qu0sam8kv6dw, cf6zq49y8v1ekw07e7yi3uac, bwozpgcm48s08t1glxfgjajmd, 1el3mu4rgcx8tebrawgfvynf8, 7pnxa8wzxx5qxevcckxdd62tx, 7h02v4ymnko5fh01iylbh34es, 35og29e19w0ykeqcvudhpgr8, m031ocyfq011rual3olkegdm, emakjdiju8z2peey3ytjahz6y, 6bkuzenpse2kzirt9q7qeisd0, ass2un9by50uzrp6i9njn7nkk, 8rdndyl03uhh1u5id0qf3ymms, e0nkqbugb4xkpluu5e42zf2ms",5109043349,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5109043351,59,"1, 2, 3, 14, 19, 4, 18, 6, 11, 7, 10, 12, 15, 16, 17, 20, 24, 25",5109043357,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5109072187,197,24385,5109043353,130,8,5109071065,194,bwozpgcm48s08t1glxfgjajmd,5109043355,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,
2701841353,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-07-19T17:00:00.217Z,2024-07-19T17:00:01Z,,,,,5109071155,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841347,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-07-19T17:00:00.217Z,2024-07-19T18:56:45Z,,,,,5109071133,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841361,3,1,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,49.8,50.1,2024-07-19T17:00:00.218Z,2024-07-19T17:00:04Z,7h02v4ymnko5fh01iylbh34es,R. Arabaci,,,5109071193,212,18.3,5109071195,213,2.92,5109071189,140,32.8,5109071187,56,Back,5109071197,279,S,5109071191,141,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841363,4,1,1,0,3,bd4qakf7j0wwie8wke9km7uj8,1,33.0,60.6,2024-07-19T17:00:04.016Z,2024-07-19T17:00:06Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5109071203,56,Back,5109071205,140,24.6,5109071207,141,71.2,5109071209,212,11.4,5109071211,213,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841375,5,1,1,0,6,bd4qakf7j0wwie8wke9km7uj8,1,24.6,70.8,2024-07-19T17:00:06.768Z,2024-07-19T17:00:11Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5109071253,141,36.6,5109071255,212,23.3,5109071249,56,Back,5109071257,213,4.76,5109071251,140,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841383,6,1,1,0,10,bd4qakf7j0wwie8wke9km7uj8,1,26.3,36.3,2024-07-19T17:00:11.136Z,2024-07-19T17:00:13Z,99tm7b6ux9s4qocz0y4pcahas,V. Montell,,,5109071281,141,51.9,5109071283,212,19.3,5109071277,56,Back,5109071279,140,10.9,5109071285,213,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841387,7,1,1,0,12,bd4qakf7j0wwie8wke9km7uj8,1,10.8,51.5,2024-07-19T17:00:13.152Z,2024-07-19T17:00:19Z,8r9iqig43yjty7l1oq6yg73mc,M. Brylov,,,5109071341,212,21.2,5109071335,56,Back,5109071339,141,23.0,5109071343,213,5.13,5109071337,140,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841389,8,1,1,0,19,bd4qakf7j0wwie8wke9km7uj8,0,20.8,18.5,2024-07-19T17:00:19.312Z,2024-07-19T17:00:20Z,99tm7b6ux9s4qocz0y4pcahas,V. Montell,,,5109071357,140,64.9,5109071359,141,11.6,5109071361,212,46.5,5109071365,1,,5109071355,56,Right,5109071353,157,,5109071363,213,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
